Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AAN,2002-02-21,Y,4.81,4.81,4.8,4.8,0.0,4.81,0.0,22,5.34,4.8,11.01,5.34,11.01
AAN,2002-04-25,Y,6.85,6.91,6.91,6.91,0.87,6.92,1.02,22,7.94,6.91,15.91,7.71,12.55
AAN,2002-07-24,Y,5.95,5.99,6.1,5.99,2.52,6.1,2.52,23,6.95,5.99,16.8,6.95,16.8
AAN,2002-10-30,Y,6.79,6.86,6.86,6.76,1.03,6.79,0.0,16,6.86,6.2,-8.68,6.23,-8.24
AAN,2003-02-26,Y,5.45,5.5,5.53,5.5,1.46,5.53,1.46,23,5.8,5.5,6.42,5.8,6.42
AAN,2003-04-28,Y,6.13,6.13,6.13,6.13,0.0,6.13,0.0,18,6.41,6.12,4.56,6.26,2.12
AAN,2003-07-29,Y,7.62,7.73,7.81,7.73,2.49,7.79,2.23,17,9.41,7.67,23.49,9.15,20.07
AAN,2003-10-28,Y,14.0,12.9,12.9,12.9,7.85,12.9,-7.85,24,12.9,12.9,7.85,12.9,-7.85
AAN,2004-02-24,Y,14.57,14.54,14.54,14.1,-3.22,14.54,-0.2,24,15.0,14.1,-3.22,14.9,2.26
AAN,2004-04-26,Y,14.5,16.5,17.2,16.5,18.62,16.5,13.79,25,17.2,16.5,18.62,16.8,15.86
AAN,2004-07-28,Y,19.13,19.36,20.17,19.36,5.43,19.98,4.49,23,20.17,11.8,-38.31,12.5,-34.65
AAN,2004-10-28,Y,13.69,13.8,13.8,13.3,-2.84,13.5,-1.38,22,14.0,13.0,-5.04,14.0,2.26
AAN,2005-02-23,Y,12.8,12.67,12.67,11.82,-7.65,11.95,-6.64,23,12.85,11.73,-8.35,12.55,-1.95
AAN,2005-04-27,Y,11.27,12.0,13.33,12.0,18.27,13.17,16.85,23,14.03,12.0,24.48,13.44,19.25
AAN,2005-07-27,Y,13.4,14.13,14.61,13.8,9.02,13.9,3.73,23,15.25,13.8,13.8,14.53,8.43
AAN,2005-10-27,Y,12.43,12.43,12.43,11.67,-6.11,11.99,-3.53,22,12.47,11.67,-6.11,12.14,-2.33
AAN,2006-02-22,Y,15.4,16.07,16.27,15.97,5.64,16.27,5.64,23,16.32,15.49,5.97,16.32,6.03
AAN,2006-04-27,Y,16.23,16.39,16.39,16.27,0.98,16.27,0.24,22,17.03,15.53,4.92,16.89,4.06
AAN,2006-07-26,Y,16.0,15.68,15.68,14.71,-8.06,14.71,-8.06,23,15.68,13.87,-13.31,14.0,-12.5
AAN,2006-10-25,Y,14.83,15.47,15.47,15.23,4.31,15.23,2.69,23,16.6,15.07,11.93,16.0,7.88
AAN,2007-02-20,Y,17.94,17.8,17.8,16.76,-6.57,16.84,-6.13,24,17.8,15.6,-13.04,16.26,-9.36
AAN,2007-04-25,Y,17.23,17.17,17.17,17.17,0.4,17.17,-0.4,23,17.5,16.23,-5.85,16.59,-3.77
AAN,2007-07-24,Y,16.27,15.84,15.84,15.17,-6.76,15.33,-5.77,24,16.0,14.67,-9.83,15.5,-4.73
AAN,2007-10-24,Y,13.12,12.79,13.0,12.65,-3.58,12.65,-3.58,23,13.99,12.0,-8.53,13.99,6.63
AAN,2008-02-19,Y,11.33,11.07,12.83,11.07,13.23,12.3,8.56,31,13.43,11.07,18.53,13.43,18.53
AAN,2008-04-22,Y,12.7,14.0,14.67,13.33,15.51,13.73,8.11,24,15.5,13.33,22.04,14.5,14.17
AAN,2008-07-22,Y,15.0,16.48,16.48,15.44,9.86,15.51,3.39,24,16.48,15.03,9.86,15.9,6.0
AAN,2008-10-28,Y,9.97,11.0,12.11,10.55,21.46,12.11,21.46,24,13.83,10.55,38.71,12.5,25.37
AAN,2009-02-16,Y,13.28,13.9,13.9,13.8,4.66,13.9,4.66,4,13.92,13.79,4.81,13.79,3.84
AAN,2009-04-27,Y,16.17,16.8,19.05,16.8,17.81,18.67,15.46,18,23.33,16.8,44.27,17.16,6.12
AAN,2009-07-21,Y,16.43,14.55,14.67,14.45,-12.05,14.65,-10.83,31,19.57,14.2,19.11,14.83,-9.73
AAN,2009-10-21,Y,12.7,13.93,13.93,13.56,9.68,13.91,9.52,30,14.6,9.56,-24.72,13.79,8.58
AAN,2010-02-16,Y,16.43,16.22,16.25,15.94,-2.98,16.25,-1.09,3,16.5,15.25,-7.18,15.25,-7.18
AAN,2010-04-26,Y,19.35,19.1,19.85,18.75,-3.1,19.05,-1.55,25,21.59,15.42,-20.31,16.02,-17.2
AAN,2010-07-26,Y,14.5,14.36,14.36,13.72,-5.37,14.36,-0.96,25,17.72,12.34,22.2,13.94,-3.86
AAN,2010-10-25,Y,17.59,17.6,20.18,17.6,14.72,18.89,7.39,25,20.57,16.63,16.94,19.28,9.6
AAN,2011-02-15,Y,20.37,22.97,23.95,22.64,17.57,23.84,17.03,3,24.59,22.64,20.71,23.91,17.37
AAN,2011-04-25,Y,25.95,27.22,28.98,26.91,11.67,28.92,11.44,25,29.29,26.8,12.87,27.19,4.77
AAN,2011-07-25,Y,25.92,25.89,27.06,25.3,4.39,25.51,-1.58,25,27.06,22.05,-14.93,23.35,-9.91
AAN,2011-10-24,Y,28.2,25.9,26.38,24.44,-13.33,26.23,-6.98,25,28.23,24.19,-14.21,24.64,-12.62
AAN,2012-02-09,Y,28.63,28.89,31.65,27.7,10.54,27.85,-2.72,8,31.65,27.7,10.54,28.33,-1.04
AAN,2012-04-27,Y,27.8,27.84,27.88,26.98,-2.94,27.08,-2.58,21,27.88,25.19,-9.38,25.35,-8.81
AAN,2012-07-24,Y,29.05,29.57,29.57,28.51,-1.85,28.97,-0.27,24,31.19,28.47,7.36,30.01,3.3
AAN,2012-10-25,Y,26.52,26.8,30.24,26.8,14.02,30.15,13.68,22,32.53,26.8,22.66,28.81,8.63
AAN,2013-02-07,Y,29.62,29.43,30.17,28.52,-3.71,29.95,1.11,8,30.38,28.52,-3.71,29.21,-1.38
AAN,2013-04-25,Y,28.59,27.83,28.51,27.23,-4.75,28.21,-1.32,22,29.48,27.23,-4.75,28.69,0.34
AAN,2013-07-24,Y,28.97,28.76,29.05,28.15,-2.83,28.5,-1.62,23,29.31,27.29,-5.79,27.51,-5.03
AAN,2013-10-25,N,29.4,28.5,28.89,27.87,-5.2,28.35,-3.57,21,30.25,27.87,-5.2,30.22,2.78
