Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ABBV,2013-04-26,N,44.24,44.95,46.31,44.75,4.67,45.84,3.61,21,47.34,43.25,7.0,47.17,6.62
ABBV,2013-07-26,N,44.24,45.01,45.12,44.17,1.98,44.79,1.24,21,45.91,42.42,-4.11,43.0,-2.8
ABBV,2013-10-25,N,47.93,49.1,49.83,48.56,3.96,49.3,2.85,21,50.2,46.83,4.73,48.44,1.06
ABBV,2014-01-31,N,48.31,49.94,50.55,49.07,4.63,49.23,1.9,21,52.11,46.95,7.86,51.04,5.65
ABBV,2014-04-25,N,49.32,50.21,50.98,48.95,3.36,49.14,-0.36,21,53.09,48.95,7.64,52.93,7.31
ABBV,2014-07-25,N,54.08,54.4,54.49,53.03,-1.94,53.18,-1.66,21,54.58,51.37,-5.01,53.9,-0.33
ABBV,2014-10-31,N,61.18,63.06,63.99,62.37,4.59,63.46,3.72,22,68.06,61.31,11.24,67.78,10.78
ABBV,2015-01-30,N,63.12,62.09,62.68,60.12,-4.75,60.35,-4.38,21,62.68,55.18,-12.57,61.3,-2.88
ABBV,2015-04-23,N,64.52,65.26,65.31,62.73,-2.77,64.25,-0.41,22,66.66,62.73,3.31,65.98,2.27
ABBV,2015-07-24,N,70.52,67.53,69.02,67.34,-4.5,68.08,-3.46,28,71.51,65.83,-6.65,65.9,-6.55
ABBV,2015-10-30,N,54.1,57.87,60.73,57.66,12.25,59.55,10.07,21,64.3,57.66,18.85,61.11,12.95
ABBV,2016-01-29,N,55.85,53.42,55.31,53.42,-4.35,54.9,-1.7,21,57.31,51.6,-7.6,54.29,-2.79
ABBV,2016-04-28,N,60.7,58.56,62.1,57.53,-5.22,61.2,0.82,22,63.87,57.53,5.22,59.69,-1.66
ABBV,2016-07-29,N,64.72,65.27,66.4,65.15,2.59,66.23,2.33,21,68.12,65.15,5.25,67.09,3.67
ABBV,2016-10-28,N,61.46,57.55,58.39,55.06,-10.41,57.6,-6.28,21,65.05,55.06,-10.41,60.52,-1.52
ABBV,2017-01-27,N,61.27,60.0,61.25,59.52,-2.85,60.0,-2.07,21,62.08,59.27,-3.26,61.77,0.81
ABBV,2017-04-27,N,65.04,65.45,67.5,65.12,3.78,66.06,1.58,23,67.5,64.61,3.78,65.58,0.83
ABBV,2017-07-28,N,71.73,71.64,72.44,69.38,-3.27,70.44,-1.79,22,72.44,69.38,-3.27,69.96,-2.46
ABBV,2017-10-27,N,89.56,92.7,94.97,90.75,6.04,91.93,2.64,22,96.37,88.91,7.6,93.61,4.52
ABBV,2018-01-26,N,108.3,114.5,125.86,113.5,16.21,123.21,13.76,22,125.86,101.0,16.21,118.6,9.51
ABBV,2018-04-26,N,91.87,94.0,98.55,93.58,7.27,97.44,6.06,23,106.78,93.58,16.22,105.98,15.35
ABBV,2018-07-27,N,93.94,91.34,92.27,88.77,-5.5,90.56,-3.59,22,99.15,88.77,5.54,98.81,5.18
ABBV,2018-11-02,N,80.21,84.18,84.42,78.76,5.24,79.56,-0.81,15,92.0,78.76,14.69,91.53,14.11
ABBV,2019-01-25,N,85.88,82.51,82.61,79.43,-7.51,80.54,-6.21,22,82.61,75.77,-11.77,80.85,-5.85
ABBV,2019-04-25,N,78.67,80.05,80.47,76.91,2.28,79.34,0.85,23,80.98,75.62,-3.87,79.46,1.0
ABBV,2019-07-26,N,66.66,67.64,69.14,67.37,3.72,67.76,1.65,22,69.14,62.66,-6.0,64.43,-3.34
ABBV,2019-11-01,N,79.55,80.03,82.18,79.13,3.3,81.75,2.76,15,89.19,79.13,12.11,88.63,11.41
ABBV,2020-02-07,N,87.18,89.74,92.98,88.88,6.65,92.29,5.86,15,97.86,88.88,12.25,94.96,8.92
ABBV,2020-05-01,N,82.2,81.95,84.23,80.5,2.46,82.84,0.77,15,92.24,80.5,12.21,90.71,10.35
ABBV,2020-07-31,N,96.04,95.54,97.25,93.55,-2.59,94.91,-1.17,22,97.42,91.78,-4.43,94.86,-1.22
ABBV,2020-10-30,N,80.67,83.19,86.14,83.0,6.78,85.1,5.49,22,101.83,83.0,26.23,100.84,25.0
ABBV,2021-02-03,N,103.47,106.2,107.57,104.01,3.96,106.95,3.36,17,110.27,103.15,6.57,105.01,1.48
ABBV,2021-04-30,N,110.89,111.47,112.31,110.11,1.28,111.5,0.55,22,118.28,110.11,6.66,116.12,4.71
ABBV,2021-07-30,N,118.87,119.0,119.15,116.12,-2.31,116.3,-2.16,22,119.92,112.92,-5.0,118.82,-0.04
ABBV,2021-10-29,N,109.67,112.09,114.92,111.42,4.78,114.67,4.55,22,118.37,111.42,7.93,116.24,5.99
ABBV,2022-02-02,N,137.0,135.41,139.41,133.05,-2.88,138.62,1.18,17,147.22,133.05,7.45,144.03,5.13
ABBV,2022-04-29,N,156.31,149.56,149.86,139.93,-10.47,146.88,-6.03,22,156.89,139.93,-10.47,151.01,-3.39
ABBV,2022-07-29,N,149.75,145.44,146.3,139.05,-7.14,143.51,-4.16,22,146.3,137.77,-7.99,141.85,-5.27
ABBV,2022-10-28,N,153.5,145.93,148.98,142.34,-7.27,147.61,-3.83,22,156.69,142.34,-7.27,154.98,0.96
ABBV,2023-02-09,N,144.61,148.5,153.7,147.9,6.28,148.7,2.82,9,154.0,147.9,6.49,151.31,4.63
