Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ABT,2002-01-16,N,55.77,55.7,57.16,55.37,2.49,56.5,1.3,2,57.74,55.37,3.53,57.41,2.94
ABT,2002-02-07,Y,55.58,55.05,55.45,54.39,-2.14,55.29,-0.52,8,57.9,54.39,4.17,57.34,3.16
ABT,2002-04-09,N,51.95,52.85,53.24,51.7,2.48,52.66,1.36,10,55.17,51.7,6.19,54.75,5.38
ABT,2002-05-08,Y,52.4,52.7,53.18,52.0,1.48,52.15,-0.47,9,53.18,44.05,-15.93,47.6,-9.16
ABT,2002-07-11,N,33.9,33.56,33.57,31.15,-8.11,31.65,-6.63,8,35.82,30.97,-8.64,32.14,-5.19
ABT,2002-10-09,Y,40.29,40.1,41.63,39.27,3.3,40.31,0.02,9,44.95,39.27,11.53,44.0,9.18
ABT,2003-01-16,N,37.95,37.5,39.26,38.0,3.45,39.2,3.29,1,40.13,37.65,5.74,38.0,0.13
ABT,2003-02-06,Y,36.9,37.25,37.6,36.29,1.89,37.35,1.21,15,37.6,34.29,-7.07,35.08,-4.93
ABT,2003-04-09,Y,40.21,40.22,40.22,39.85,-0.89,40.11,-0.24,9,40.65,38.46,-4.35,39.64,-1.41
ABT,2003-07-10,N,43.68,43.5,43.74,42.4,-2.93,43.55,-0.29,8,44.8,40.83,-6.52,41.4,-5.21
ABT,2003-10-09,N,41.95,42.2,42.2,42.2,0.59,42.2,0.59,8,42.45,40.94,-2.4,41.78,-0.4
ABT,2004-01-16,N,44.95,44.0,44.4,43.14,-4.02,43.25,-3.78,0,44.4,43.14,-4.02,43.25,-3.78
ABT,2004-04-08,N,42.75,42.32,42.32,42.32,1.0,42.32,-1.0,8,44.4,40.0,-6.43,44.13,3.22
ABT,2004-07-09,N,40.28,40.85,40.9,39.79,1.53,39.9,-0.94,7,40.9,39.04,-3.07,39.1,-2.92
ABT,2004-10-14,N,41.15,41.25,41.63,41.0,1.16,41.01,-0.34,1,41.88,41.0,1.77,41.36,0.51
ABT,2005-01-18,N,46.25,46.05,46.49,45.5,-1.62,46.05,-0.43,3,46.49,45.5,-1.62,45.98,-0.58
ABT,2005-04-12,N,47.75,47.7,48.08,47.05,-1.46,47.9,0.31,3,49.98,47.05,4.67,49.87,4.43
ABT,2005-07-13,Y,47.65,47.61,48.11,46.5,-2.41,46.62,-2.16,2,48.11,46.4,-2.62,46.87,-1.63
ABT,2005-10-19,N,42.4,42.25,44.1,42.05,4.0,43.95,3.65,2,44.1,42.05,4.0,42.75,0.82
ABT,2006-01-25,N,40.06,41.26,43.0,41.22,7.33,42.17,5.26,23,44.5,41.22,11.08,44.34,10.68
ABT,2006-04-19,Y,41.34,41.34,41.97,40.9,1.52,41.91,1.37,2,42.1,40.9,1.83,42.0,1.59
ABT,2006-07-19,Y,46.28,45.96,46.7,45.92,0.9,46.21,-0.15,2,46.99,45.92,1.53,46.84,1.21
ABT,2006-10-18,N,47.19,47.65,48.25,47.27,2.24,47.85,1.39,2,48.88,47.27,3.58,48.78,3.36
ABT,2007-01-24,N,53.38,53.38,53.85,52.88,-0.93,53.55,0.31,23,53.85,51.51,-3.5,52.49,-1.66
ABT,2007-04-18,N,29.5,28.65,29.3,28.5,-3.38,29.02,-1.62,2,29.3,28.46,-3.52,28.92,-1.96
ABT,2007-07-18,N,53.39,54.0,54.97,53.56,2.95,53.7,0.58,2,54.97,52.7,2.95,52.87,-0.97
ABT,2007-10-17,N,51.97,52.1,53.08,51.02,2.13,51.2,-1.48,2,53.08,51.02,2.13,51.4,-1.09
ABT,2008-01-23,N,57.49,57.25,58.16,54.67,-4.9,57.97,0.83,23,60.04,52.89,-8.0,55.55,-3.37
ABT,2008-04-16,N,51.91,52.55,52.82,51.06,1.75,51.35,-1.07,2,52.82,50.49,-2.73,50.72,-2.29
ABT,2008-07-16,N,57.85,58.3,58.5,56.6,-2.16,56.97,-1.52,2,58.5,55.08,-4.78,57.58,-0.46
ABT,2008-10-15,N,54.78,56.1,56.1,53.21,-2.86,53.88,-1.64,2,58.24,51.05,-6.8,55.46,1.24
ABT,2009-01-21,N,49.2,50.3,52.5,49.73,6.7,52.32,6.34,30,57.39,49.73,16.64,54.03,9.81
ABT,2009-04-15,N,44.71,43.41,44.21,41.88,-6.32,42.66,-4.58,2,44.21,41.88,-6.32,43.89,-1.83
ABT,2009-07-15,N,46.49,45.7,45.8,44.23,-4.86,45.28,-2.6,2,45.8,44.2,-4.92,44.47,-4.34
ABT,2009-10-14,N,49.65,50.72,51.49,50.24,3.7,51.2,3.12,2,52.16,50.24,5.05,51.43,3.58
ABT,2010-01-27,N,54.48,54.1,54.14,53.15,-2.44,53.9,-1.06,23,55.0,52.67,-3.32,54.38,-0.18
ABT,2010-04-21,N,53.06,52.8,52.95,51.47,-2.99,51.78,-2.41,30,52.95,45.26,-14.7,46.94,-11.53
