Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ACAD,2005-03-03,Y,7.53,7.9,7.9,7.12,-5.44,7.21,-4.24,15,7.9,6.92,-8.1,7.28,-3.32
ACAD,2005-05-11,Y,7.43,7.63,7.63,7.2,-3.09,7.2,-3.09,9,8.0,7.01,7.67,7.57,1.88
ACAD,2005-08-10,Y,8.69,8.83,9.77,8.65,12.42,8.98,3.33,9,9.77,8.52,12.42,8.88,2.18
ACAD,2005-11-10,Y,10.49,10.42,11.85,10.27,12.96,10.29,-1.9,8,11.85,9.1,-13.25,9.49,-9.53
ACAD,2006-03-01,Y,14.63,14.64,14.88,13.75,-6.01,14.81,1.23,16,17.94,13.75,22.62,16.34,11.68
ACAD,2006-05-10,Y,11.59,11.99,11.99,11.05,-4.65,11.13,-3.96,9,11.99,10.01,-13.63,10.24,-11.64
ACAD,2006-08-08,Y,6.03,6.05,6.05,5.5,-8.78,5.56,-7.79,10,7.65,5.07,26.86,7.58,25.7
ACAD,2006-11-06,Y,10.4,10.44,10.44,9.76,-6.15,9.93,-4.51,11,10.44,9.05,-12.98,9.74,-6.34
ACAD,2007-03-06,Y,6.99,7.07,7.23,6.76,3.43,6.78,-3.0,10,7.23,6.63,-5.15,6.69,-4.29
ACAD,2007-05-08,Y,13.64,13.71,14.13,13.22,3.59,14.07,3.15,10,14.33,12.82,-6.01,13.28,-2.63
ACAD,2007-08-06,Y,15.23,15.25,16.67,15.09,9.45,16.37,7.48,11,17.32,14.12,13.72,15.05,-1.18
ACAD,2007-11-05,Y,15.0,13.8,14.38,12.75,-15.0,13.32,-11.19,11,14.38,10.41,-30.6,11.28,-24.8
ACAD,2008-03-05,Y,9.3,9.06,9.75,8.67,-6.77,8.74,-6.02,16,9.75,7.63,-17.95,9.0,-3.22
ACAD,2008-05-05,Y,8.06,8.13,8.43,7.95,4.59,8.39,4.09,11,8.44,7.95,4.71,8.27,2.72
ACAD,2008-08-05,N,2.81,2.9,2.9,2.31,-17.79,2.68,-4.62,10,3.32,2.31,18.14,3.1,10.32
ACAD,2008-11-05,Y,1.81,1.87,1.94,1.79,6.59,1.81,,16,1.96,0.72,-60.43,0.86,-52.74
ACAD,2009-03-09,Y,0.81,0.86,1.0,0.86,23.45,0.98,20.98,11,1.02,0.75,25.92,0.93,14.81
ACAD,2009-05-11,Y,1.93,1.96,1.96,1.54,-20.2,1.7,-11.91,4,1.98,1.5,-22.27,1.61,-16.58
ACAD,2009-08-05,Y,4.74,4.41,4.5,4.09,-13.71,4.37,-7.8,16,6.6,4.09,39.24,5.64,18.98
ACAD,2009-11-09,Y,1.39,1.63,1.63,1.46,17.26,1.58,13.66,11,1.63,1.3,17.26,1.33,-4.31
ACAD,2010-03-09,Y,1.41,1.38,1.4,1.32,-6.38,1.37,-2.83,10,1.75,1.32,24.11,1.63,15.6
ACAD,2010-05-10,Y,1.56,1.55,1.6,1.47,-6.36,1.55,-1.27,11,1.6,1.22,-22.29,1.31,-16.56
ACAD,2010-08-09,Y,1.15,1.12,1.13,1.1,-5.17,1.11,-4.31,11,1.13,0.99,-14.65,1.05,-9.48
ACAD,2010-11-09,Y,0.74,0.71,0.74,0.71,-4.05,0.73,-1.35,10,0.74,0.65,-12.16,0.7,-5.4
ACAD,2011-03-10,Y,1.73,1.66,1.75,1.6,-7.51,1.64,-5.2,8,1.75,1.3,-24.85,1.47,-15.02
ACAD,2011-05-10,Y,2.46,2.29,2.38,2.22,-9.75,2.36,-4.06,10,2.38,1.95,-20.73,2.02,-17.47
ACAD,2011-08-10,Y,1.35,1.34,1.37,1.19,-11.85,1.36,0.74,9,1.52,1.19,12.59,1.34,-0.74
ACAD,2011-11-09,Y,1.2,1.2,1.2,1.11,-7.49,1.12,-5.83,9,1.2,1.01,-15.83,1.06,-11.66
ACAD,2012-03-06,Y,1.48,1.48,1.58,1.48,6.75,1.56,6.08,10,2.06,1.48,39.18,1.87,26.35
ACAD,2012-05-08,Y,1.54,1.5,1.54,1.45,-5.84,1.5,-2.59,10,1.67,1.36,-11.68,1.42,-7.79
ACAD,2012-08-08,Y,1.5,1.52,1.55,1.5,3.33,1.51,0.66,9,1.75,1.5,16.66,1.69,12.66
ACAD,2012-11-05,Y,2.27,2.4,2.67,2.34,17.62,2.42,6.6,11,2.67,1.8,-20.7,1.91,-15.85
ACAD,2013-03-12,Y,6.31,6.28,6.38,6.04,-4.27,6.09,-3.48,3,6.46,6.04,-4.27,6.26,-0.79
ACAD,2013-05-07,Y,12.03,12.1,12.15,11.26,-6.4,11.65,-3.15,10,13.65,11.26,13.46,13.27,10.3
ACAD,2013-08-06,Y,20.68,19.95,20.58,19.55,-5.46,20.39,-1.4,10,20.89,19.27,-6.81,19.7,-4.73
ACAD,2013-11-06,Y,21.0,21.28,22.6,20.83,7.61,20.89,-0.52,9,23.9,20.78,13.8,22.83,8.71
ACAD,2014-02-27,Y,30.1,29.2,32.0,27.0,-10.29,28.3,-5.98,22,32.0,25.6,-14.95,26.01,-13.58
ACAD,2014-05-06,Y,19.16,18.93,19.14,17.14,-10.54,18.51,-3.39,10,20.22,17.14,-10.54,19.05,-0.57
ACAD,2014-08-05,Y,20.77,20.28,21.4,19.89,-4.23,21.34,2.74,10,23.24,19.89,11.89,22.59,8.76
ACAD,2014-11-10,Y,28.21,26.57,28.19,26.57,-5.81,27.5,-2.51,12,29.73,26.57,-5.81,29.53,4.67
ACAD,2015-02-26,Y,37.78,36.86,38.47,36.86,-2.43,37.97,0.5,22,46.48,32.79,23.02,34.45,-8.81
ACAD,2015-05-07,Y,36.56,37.27,38.49,36.6,5.27,37.94,3.77,8,39.64,36.6,8.42,39.17,7.13
ACAD,2015-08-06,Y,45.15,43.02,43.42,37.27,-17.45,39.14,-13.31,15,43.42,34.36,-23.89,35.65,-21.04
ACAD,2015-11-05,Y,41.54,41.15,41.73,34.97,-15.81,36.75,-11.53,15,41.73,33.7,-18.87,36.0,-13.33
ACAD,2016-02-29,N,18.73,18.71,19.23,17.25,-7.9,17.26,-7.84,18,22.26,17.02,18.84,19.79,5.65
ACAD,2016-05-05,Y,27.05,28.03,28.5,26.5,5.36,27.65,2.21,15,34.13,26.5,26.17,34.04,25.84
ACAD,2016-08-04,Y,36.47,35.54,37.11,34.56,-5.26,36.49,0.02,15,37.11,31.0,-15.02,33.64,-7.78
ACAD,2016-11-07,Y,22.99,25.96,27.68,24.91,20.4,26.84,16.74,11,30.23,24.91,31.49,29.53,28.44
