Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ACIW,2002-01-29,Y,10.94,11.1,11.1,10.55,-3.56,10.88,-0.54,17,11.1,9.47,-13.43,9.94,-9.04
ACIW,2002-04-30,Y,11.6,11.1,11.1,10.17,-12.32,10.89,-6.12,17,11.57,10.01,-13.7,10.57,-8.87
ACIW,2002-07-30,Y,9.38,9.5,10.06,9.01,7.24,9.01,-3.94,17,10.81,7.3,-22.17,8.57,-8.63
ACIW,2003-01-13,Y,7.0,6.97,7.23,6.91,3.28,7.05,0.71,4,7.23,6.3,-10.0,6.5,-7.14
ACIW,2003-02-13,Y,5.92,6.4,6.46,6.0,9.12,6.11,3.2,8,6.46,5.59,9.12,6.01,1.52
ACIW,2003-04-29,Y,7.15,7.07,7.23,6.83,-4.47,6.95,-2.79,17,8.83,6.81,23.49,8.44,18.04
ACIW,2003-07-29,Y,9.76,9.65,10.63,9.65,8.91,10.5,7.58,17,13.0,9.65,33.19,11.3,15.77
ACIW,2003-10-28,Y,19.1,19.75,20.28,19.48,6.17,19.66,2.93,24,20.72,17.57,8.48,18.41,-3.61
ACIW,2004-01-27,Y,20.89,21.95,24.6,21.9,17.75,22.4,7.22,24,24.6,18.63,17.75,19.17,-8.23
ACIW,2004-04-27,Y,22.81,23.65,23.79,22.71,4.29,22.95,0.61,24,23.79,18.12,-20.56,19.53,-14.37
ACIW,2004-07-27,Y,17.38,17.19,18.02,16.98,3.68,17.12,-1.49,24,18.02,14.65,-15.7,15.87,-8.68
ACIW,2004-10-26,Y,16.76,16.27,16.5,15.22,-9.18,16.36,-2.38,24,19.68,15.22,17.42,18.35,9.48
ACIW,2005-01-25,Y,17.98,19.5,21.75,19.39,20.96,21.5,19.57,24,24.34,19.39,35.37,23.07,28.3
ACIW,2005-04-26,Y,20.32,21.24,21.75,20.92,6.98,21.14,3.98,24,22.63,20.51,11.31,22.5,10.67
ACIW,2005-07-26,Y,25.65,26.28,27.89,26.2,8.73,27.31,6.47,24,27.89,24.44,8.73,24.8,-3.31
ACIW,2005-10-25,Y,29.1,29.16,29.16,28.22,-3.02,28.46,-2.19,24,29.16,24.91,-14.39,26.76,-8.04
ACIW,2006-01-31,Y,32.99,32.99,33.45,32.76,1.39,32.9,-0.24,17,33.45,28.58,-13.36,30.77,-6.72
ACIW,2006-04-25,Y,35.28,37.9,39.72,37.68,12.58,39.18,11.05,24,43.0,37.68,21.88,38.69,9.66
ACIW,2006-07-25,Y,31.12,33.5,37.29,32.63,19.82,35.49,14.04,24,38.08,32.63,22.36,35.33,13.52
