Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ACTV,2011-08-10,Y,13.31,14.3,23.58,13.11,77.16,14.72,10.59,9,23.58,13.11,77.16,16.23,21.93
ACTV,2011-11-10,Y,12.87,13.53,15.47,13.53,20.2,15.13,17.56,8,16.2,13.53,25.87,15.14,17.63
ACTV,2012-02-23,Y,15.49,15.5,16.48,15.5,6.39,16.0,3.29,22,17.73,15.42,14.46,16.82,8.65
ACTV,2012-05-03,Y,16.0,16.0,16.32,15.11,-5.56,15.29,-4.43,15,16.32,12.18,-23.87,12.93,-19.18
ACTV,2012-08-02,Y,13.95,13.37,13.5,11.43,-18.06,11.75,-15.77,15,13.5,11.03,-20.93,11.5,-17.56
ACTV,2012-11-01,Y,9.28,6.39,6.39,5.01,-46.07,5.42,-41.65,15,6.39,4.67,-49.73,4.93,-46.82
ACTV,2013-02-14,Y,5.55,5.04,5.44,5.0,-9.9,5.37,-3.24,1,5.44,5.0,-9.9,5.37,-3.24
ACTV,2013-05-02,Y,5.07,4.74,5.57,4.68,9.86,5.55,9.46,15,6.39,4.68,26.03,6.25,23.27
ACTV,2013-08-01,Y,8.31,9.76,10.85,9.1,30.56,10.33,24.3,15,11.6,9.02,39.59,9.61,15.64
ACTV,2013-10-30,Y,14.42,14.45,14.47,14.44,0.34,14.44,0.13,16,14.5,14.42,0.55,14.49,0.48
