Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ADAP,2015-10-13,Y,7.96,7.95,8.33,7.32,-8.04,7.53,-5.4,3,8.33,7.07,-11.18,7.28,-8.54
ADAP,2016-02-19,N,8.27,8.18,8.38,7.9,-4.47,8.22,-0.6,1,8.38,7.9,-4.47,8.22,-0.6
ADAP,2016-03-15,N,8.13,8.06,8.11,7.71,-5.16,7.87,-3.19,4,8.11,7.41,-8.85,7.61,-6.39
ADAP,2016-05-10,N,9.53,9.59,9.95,9.48,4.4,9.87,3.56,11,10.19,8.11,-14.9,10.11,6.08
ADAP,2016-08-08,N,8.71,8.4,8.4,7.6,-12.74,7.85,-9.87,14,8.4,6.91,-20.66,6.96,-20.09
ADAP,2016-11-10,N,4.87,5.41,5.74,4.91,17.86,5.02,3.08,9,5.74,4.7,17.86,4.98,2.25
ADAP,2017-03-13,N,4.61,5.34,5.65,4.57,22.55,4.89,6.07,7,5.65,4.47,22.55,4.75,3.03
ADAP,2017-05-10,N,4.93,4.8,5.05,4.8,-2.63,4.84,-1.82,10,5.81,4.57,17.84,5.39,9.33
ADAP,2017-11-02,N,7.51,7.51,7.98,7.35,6.25,7.86,4.66,16,8.89,7.3,18.37,7.88,4.92
ADAP,2018-03-15,N,9.21,9.71,13.41,9.5,45.6,10.94,18.78,2,13.41,9.5,45.6,11.06,20.08
ADAP,2018-05-09,N,12.84,12.96,14.2,12.66,10.59,13.74,7.0,10,14.62,11.85,13.86,12.15,-5.37
ADAP,2018-08-02,N,9.68,9.67,10.0,8.96,-7.43,9.79,1.13,16,10.0,8.26,-14.66,8.48,-12.39
ADAP,2018-11-06,N,7.13,7.86,8.04,6.3,12.76,6.53,-8.41,11,8.04,5.21,-26.92,5.43,-23.84
ADAP,2019-03-13,N,4.03,4.06,4.13,3.9,-3.22,3.93,-2.48,3,4.13,3.83,-4.96,3.97,-1.48
ADAP,2019-05-08,N,4.32,4.26,4.43,4.15,-3.93,4.32,0.0,10,4.43,3.61,-16.43,3.67,-15.04
ADAP,2019-08-01,N,3.29,3.49,3.49,2.85,-13.37,2.95,-10.33,16,3.49,1.44,-56.23,1.63,-50.45
ADAP,2020-02-27,N,3.51,3.45,3.7,3.26,-7.12,3.66,4.27,23,3.77,2.0,-43.01,2.62,-25.35
ADAP,2020-05-14,N,4.54,4.79,4.79,4.05,-10.79,4.35,-4.18,2,4.8,4.05,-10.79,4.65,2.42
ADAP,2020-08-06,N,8.72,8.62,8.68,7.89,-9.51,8.06,-7.56,16,9.13,7.62,-12.61,8.43,-3.32
ADAP,2020-11-05,N,5.3,5.45,5.68,5.16,7.16,5.31,0.18,16,5.74,4.57,-13.77,4.97,-6.22
ADAP,2021-02-25,N,5.99,6.02,6.13,5.75,-4.0,5.94,-0.83,23,6.13,4.52,-24.54,5.17,-13.68
ADAP,2021-05-06,N,5.12,5.2,5.23,4.75,-7.22,4.9,-4.29,16,5.58,4.45,-13.08,5.09,-0.58
ADAP,2021-08-09,Y,3.45,3.55,3.87,3.53,12.17,3.57,3.47,11,4.08,3.51,18.26,3.8,10.14
ADAP,2021-11-04,N,5.47,5.3,5.44,5.1,-6.76,5.25,-4.02,16,5.95,4.08,-25.41,4.25,-22.3
ADAP,2022-03-14,N,1.82,1.83,1.9,1.77,4.39,1.82,0.0,7,2.23,1.69,22.52,2.18,19.78
ADAP,2022-05-09,N,1.71,1.75,1.97,1.5,15.2,1.54,-9.94,14,1.97,1.26,-26.31,1.64,-4.09
ADAP,2022-08-04,N,1.94,2.08,2.33,1.97,20.1,2.32,19.58,16,2.54,1.97,30.92,2.11,8.76
ADAP,2022-11-08,N,1.66,1.78,2.15,1.7,29.51,2.08,25.3,11,2.65,1.7,59.63,2.36,42.16
