Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ADSK,2002-01-23,Y,9.88,9.9,10.02,9.88,1.41,10.02,1.41,23,10.89,9.88,10.22,10.46,5.87
ADSK,2002-02-21,Y,9.6,9.93,10.5,9.77,9.37,10.32,7.5,22,11.84,9.77,23.33,11.16,16.25
ADSK,2002-04-18,Y,9.49,9.75,9.84,9.44,3.68,9.66,1.79,1,9.84,9.44,3.68,9.66,1.79
ADSK,2002-05-16,Y,7.8,7.18,7.46,7.08,-9.23,7.19,-7.82,1,7.46,7.08,-9.23,7.19,-7.82
ADSK,2002-08-01,Y,6.0,6.0,6.06,5.7,-4.99,6.04,0.66,15,6.36,5.09,-15.16,6.34,5.66
ADSK,2002-08-15,Y,5.78,5.09,6.36,5.09,-11.93,6.34,9.68,1,6.36,5.09,-11.93,6.34,9.68
ADSK,2002-10-24,Y,6.06,6.08,6.26,5.99,3.3,6.24,2.97,22,7.02,5.75,15.84,6.95,14.68
ADSK,2002-11-21,Y,7.6,7.56,7.74,7.12,-6.31,7.42,-2.36,29,8.18,6.9,-9.21,7.42,-2.36
ADSK,2003-01-23,N,7.36,7.36,7.73,7.3,5.02,7.69,4.48,29,7.73,6.77,-8.01,7.2,-2.17
ADSK,2003-02-25,Y,6.64,6.42,7.22,6.41,8.73,7.05,6.17,24,7.95,6.41,19.72,7.78,17.16
ADSK,2003-04-24,N,7.83,7.8,7.9,7.77,0.89,7.86,0.38,22,8.61,7.66,9.96,8.4,7.27
ADSK,2003-05-22,Y,7.77,7.15,7.5,7.0,-9.9,7.42,-4.5,29,8.52,7.0,-9.9,8.13,4.63
ADSK,2003-08-05,N,7.6,7.62,7.62,7.4,-2.63,7.49,-1.44,10,7.83,7.35,-3.28,7.78,2.36
ADSK,2003-08-21,Y,8.1,8.97,9.0,8.74,11.11,8.84,9.13,29,9.47,8.48,16.91,9.0,11.11
ADSK,2003-10-23,N,9.61,9.5,9.55,9.32,-3.11,9.48,-1.45,29,11.66,9.25,21.2,11.26,17.04
ADSK,2003-11-20,Y,9.69,11.35,11.66,10.83,20.2,11.26,16.08,1,11.66,10.83,20.2,11.26,16.08
ADSK,2004-01-26,Y,13.05,13.03,13.1,12.86,-1.45,13.0,-0.38,25,14.04,12.51,7.58,13.31,1.99
ADSK,2004-02-26,Y,12.98,14.32,14.6,13.88,12.48,14.38,10.78,22,14.72,13.84,13.4,14.3,10.16
ADSK,2004-04-22,Y,17.42,17.39,17.6,17.35,1.03,17.52,0.57,29,18.44,15.24,-12.51,16.11,-7.52
ADSK,2004-05-18,Y,16.84,16.44,16.5,15.3,-9.14,15.6,-7.36,3,16.5,15.24,-9.5,16.11,-4.33
ADSK,2004-08-03,Y,19.98,20.01,20.12,19.8,-0.9,19.96,-0.1,17,21.22,18.01,-9.85,21.03,5.25
ADSK,2004-08-19,Y,18.68,20.18,21.22,20.12,13.59,21.03,12.58,1,21.22,20.12,13.59,21.03,12.58
ADSK,2004-10-28,Y,26.0,26.11,26.49,25.98,1.88,26.38,1.46,22,33.22,25.98,27.76,31.85,22.5
ADSK,2004-11-18,Y,30.32,32.42,33.22,31.84,9.56,31.85,5.04,1,33.22,31.84,9.56,31.85,5.04
ADSK,2005-01-27,N,29.53,29.74,29.9,28.92,-2.06,29.66,0.44,22,32.1,28.23,8.7,28.91,-2.09
ADSK,2005-02-22,Y,29.91,30.56,30.7,28.08,-6.11,28.58,-4.44,24,30.7,28.08,-6.11,29.68,-0.76
