Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ADVM,2016-11-09,Y,3.3,3.3,3.6,3.25,9.09,3.58,8.48,9,3.8,3.16,15.15,3.55,7.57
ADVM,2017-05-04,N,2.8,2.8,2.85,2.75,1.78,2.85,1.78,16,3.15,2.7,12.5,2.73,-2.49
ADVM,2017-08-09,Y,2.5,2.5,2.54,2.5,1.6,2.54,1.99,9,2.55,2.4,-4.0,2.45,-1.99
ADVM,2017-11-08,Y,3.0,2.9,3.1,2.9,3.33,2.95,-1.66,9,3.2,2.85,6.66,3.15,4.99
ADVM,2018-03-06,Y,7.2,7.15,7.25,6.75,-6.25,6.95,-3.47,10,8.05,6.37,11.8,7.2,0.0
ADVM,2018-05-08,Y,5.55,5.5,5.9,5.45,6.3,5.85,5.4,10,6.35,5.45,14.41,6.1,9.9
ADVM,2018-08-07,Y,4.6,4.65,4.85,4.6,5.43,4.75,3.26,10,5.45,4.6,18.47,5.2,13.04
ADVM,2018-11-07,Y,3.69,3.6,3.96,3.56,7.31,3.74,1.35,9,3.96,3.46,7.31,3.82,3.52
ADVM,2019-03-06,Y,4.45,4.45,4.85,4.25,8.98,4.78,7.41,9,5.45,4.25,22.47,5.38,20.89
ADVM,2019-05-08,Y,6.42,6.56,6.7,6.08,-5.29,6.54,1.86,9,9.17,6.08,42.83,9.05,40.96
ADVM,2019-08-08,Y,12.32,12.25,12.5,10.86,-11.85,11.56,-6.16,8,13.42,10.55,-14.36,13.4,8.76
ADVM,2020-03-12,Y,7.98,8.02,11.05,7.82,38.47,10.33,29.44,8,11.05,7.43,38.47,10.5,31.57
ADVM,2020-05-28,Y,20.32,19.46,20.83,16.55,-18.55,20.63,1.52,22,25.14,16.55,23.72,24.63,21.21
ADVM,2020-08-10,Y,18.7,18.72,18.72,15.56,-16.79,15.59,-16.63,11,18.72,11.75,-37.16,12.97,-30.64
ADVM,2020-11-05,Y,12.18,12.1,12.72,11.92,4.43,12.02,-1.31,15,13.69,11.58,12.39,13.0,6.73
ADVM,2021-03-01,Y,13.32,13.02,13.16,12.15,-8.78,12.15,-8.78,18,13.16,10.21,-23.34,10.93,-17.94
ADVM,2021-08-05,Y,2.41,2.36,2.59,2.32,7.46,2.48,2.9,15,2.59,2.06,-14.52,2.17,-9.95
ADVM,2021-11-04,Y,2.28,2.24,2.32,2.18,-4.38,2.2,-3.5,15,2.35,1.98,-13.15,1.99,-12.71
ADVM,2022-03-28,Y,1.38,1.36,1.44,1.36,4.34,1.39,0.72,17,1.44,1.16,-15.94,1.2,-13.04
ADVM,2022-08-11,Y,1.51,1.58,1.58,1.45,4.63,1.47,-2.64,8,1.58,1.27,-15.89,1.27,-15.89
