Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AEHR,2003-07-22,Y,3.1,3.03,3.4,3.03,9.67,3.35,8.06,24,4.09,3.03,31.93,4.09,32.25
AEHR,2004-07-20,Y,3.71,3.8,3.8,3.65,2.42,3.65,-1.61,31,4.19,3.0,-19.13,3.49,-5.92
AEHR,2004-09-21,Y,3.69,3.39,3.39,3.0,-18.69,3.03,-17.88,24,3.58,2.38,-35.5,3.02,-18.15
AEHR,2005-01-06,Y,3.58,3.96,4.09,3.35,14.24,3.51,-1.95,15,4.09,2.75,-23.18,3.4,-5.02
AEHR,2005-03-24,Y,3.3,3.65,3.65,3.15,10.6,3.15,-4.54,22,3.65,2.58,-21.81,2.79,-15.45
AEHR,2005-07-19,Y,2.95,3.22,3.22,2.54,-13.89,2.57,-12.88,31,3.22,2.54,-13.89,2.7,-8.47
AEHR,2005-09-27,Y,2.75,4.38,4.38,3.6,59.27,3.87,40.72,24,4.38,3.15,59.27,3.45,25.45
AEHR,2006-01-05,Y,4.59,4.48,4.48,3.55,-22.65,3.97,-13.5,15,4.48,3.53,-23.09,3.7,-19.38
AEHR,2006-03-23,Y,4.5,5.0,5.44,4.57,20.88,5.3,17.77,29,6.4,4.57,42.22,5.92,31.55
AEHR,2006-07-19,Y,8.69,8.94,9.0,7.51,-13.57,7.65,-11.96,2,9.0,7.34,-15.53,7.59,-12.65
AEHR,2006-09-26,Y,7.16,7.52,7.85,7.19,9.63,7.49,4.6,24,7.85,6.54,9.63,6.58,-8.1
AEHR,2007-01-04,Y,5.35,5.48,5.56,5.07,-5.23,5.39,0.74,15,6.5,5.07,21.49,6.07,13.45
AEHR,2007-03-27,Y,7.14,7.0,7.0,5.95,-16.66,6.3,-11.76,24,7.0,5.6,-21.56,5.74,-19.6
AEHR,2007-07-24,Y,6.9,7.85,8.27,7.49,19.85,7.67,11.15,24,8.27,6.15,19.85,6.82,-1.15
AEHR,2007-09-25,Y,7.39,7.39,7.4,7.02,-5.0,7.4,0.13,24,7.62,7.02,-5.0,7.25,-1.89
AEHR,2008-01-07,Y,5.6,6.49,7.09,6.45,26.6,6.7,19.64,11,7.29,6.15,30.17,6.95,24.1
AEHR,2008-03-25,Y,7.09,7.7,8.09,7.51,14.1,8.07,13.82,24,9.5,7.44,33.99,8.18,15.37
AEHR,2008-07-22,Y,7.67,5.6,5.7,5.16,-32.72,5.43,-29.2,24,5.7,4.44,-42.11,4.74,-38.2
AEHR,2008-09-25,Y,3.39,3.41,4.05,3.4,19.46,3.92,15.63,22,4.05,2.27,-33.03,2.97,-12.38
AEHR,2009-01-06,Y,2.68,2.49,2.49,1.91,-28.73,2.11,-21.26,10,2.49,1.8,-32.83,1.8,-32.83
AEHR,2009-04-02,Y,1.25,0.85,0.95,0.79,-36.8,0.93,-25.59,15,0.98,0.79,-36.8,0.89,-28.8
AEHR,2009-07-28,Y,0.94,0.93,0.94,0.81,-13.82,0.85,-9.57,24,0.99,0.81,-13.82,0.87,-7.44
AEHR,2009-09-30,Y,1.31,1.26,1.28,1.1,-16.03,1.12,-13.74,16,1.3,1.06,-19.08,1.29,-1.52
AEHR,2010-01-06,Y,1.45,1.31,1.38,1.31,-9.65,1.37,-5.51,9,1.4,1.26,-13.1,1.34,-7.58
AEHR,2010-03-31,Y,2.68,2.82,2.9,2.45,-8.58,2.48,-7.46,16,2.9,2.22,-17.16,2.69,0.37
AEHR,2010-07-21,Y,1.73,1.69,1.72,1.52,-12.13,1.6,-7.51,30,1.73,1.19,-31.21,1.27,-26.58
AEHR,2010-09-30,Y,1.59,1.65,1.75,1.38,-13.2,1.43,-10.06,15,1.75,1.18,-25.78,1.25,-21.38
AEHR,2011-01-06,Y,1.2,1.15,1.35,1.14,12.5,1.3,8.33,15,1.52,1.14,26.66,1.36,13.33
AEHR,2011-03-31,Y,2.1,1.99,1.99,1.7,-19.04,1.88,-10.47,15,1.99,1.52,-27.61,1.65,-21.42
AEHR,2011-07-19,Y,1.4,1.49,1.56,1.45,11.42,1.52,8.57,31,1.73,1.13,23.57,1.21,-13.57
AEHR,2011-09-29,Y,0.9,0.95,0.97,0.9,7.77,0.91,1.11,22,1.01,0.7,-22.22,0.79,-12.22
AEHR,2012-01-05,Y,0.76,0.73,0.78,0.69,-9.21,0.73,-3.94,15,0.92,0.65,21.05,0.9,18.42
AEHR,2012-03-29,Y,0.78,0.74,0.97,0.74,24.35,0.97,24.35,22,1.65,0.74,111.53,1.48,89.74
AEHR,2012-07-19,Y,1.29,1.25,1.25,1.25,3.1,1.25,-3.1,1,1.25,1.25,3.1,1.25,-3.1
AEHR,2012-10-10,Y,1.14,1.1,1.1,1.0,-13.04,1.05,-8.69,9,1.1,0.92,-19.99,1.0,-13.04
AEHR,2013-01-09,Y,1.05,0.97,1.11,0.85,-19.04,0.89,-15.23,9,1.11,0.85,-19.04,0.98,-6.66
AEHR,2013-03-28,Y,1.12,1.12,1.13,1.1,1.78,1.1,-1.78,22,1.17,0.99,-11.6,1.01,-9.82
AEHR,2013-07-18,Y,1.9,1.7,1.8,1.65,-13.15,1.7,-10.52,1,1.8,1.65,-13.15,1.7,-10.52
AEHR,2013-09-26,Y,1.91,2.13,2.7,2.0,41.36,2.25,18.32,22,3.59,2.0,87.95,2.83,48.16
