Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AEY,2008-12-12,N,1.35,1.47,1.91,1.47,41.48,1.79,32.59,7,2.24,1.47,65.92,2.2,62.96
AEY,2009-02-11,N,2.0,2.06,2.06,1.8,-9.99,1.8,-9.99,9,2.06,1.5,-25.0,1.74,-13.0
AEY,2009-05-12,N,1.9,1.9,1.9,1.49,-21.57,1.75,-7.89,3,1.9,1.49,-21.57,1.65,-13.15
AEY,2009-08-11,N,1.94,1.95,1.95,1.77,-8.76,1.94,,10,1.95,1.76,-9.27,1.85,-4.63
AEY,2009-12-15,N,2.06,2.1,2.15,2.02,4.36,2.08,0.97,3,2.15,2.02,4.36,2.02,-1.45
AEY,2010-02-12,N,2.04,2.17,2.27,2.17,11.21,2.22,8.29,7,2.5,2.17,21.95,2.31,12.68
AEY,2010-05-11,N,2.56,2.98,3.48,2.95,35.93,3.14,22.65,10,3.48,2.75,35.93,2.86,11.71
AEY,2010-08-10,N,2.92,3.19,3.41,3.13,16.78,3.14,7.53,10,3.41,3.01,16.78,3.17,8.56
AEY,2010-12-14,N,3.67,3.31,3.32,2.91,-20.7,3.07,-16.34,3,3.32,2.91,-20.7,3.18,-13.35
AEY,2011-02-08,N,3.02,2.77,2.78,2.65,-12.25,2.76,-8.6,10,2.99,2.61,-13.57,2.97,-1.65
AEY,2011-05-10,N,3.13,2.98,2.98,2.4,-23.32,2.7,-13.73,10,2.98,2.4,-23.32,2.71,-13.41
AEY,2011-08-09,N,2.45,2.45,2.59,2.29,-6.53,2.29,-6.12,10,2.59,2.19,-10.61,2.25,-7.75
AEY,2011-12-15,N,2.04,2.12,2.16,2.1,5.88,2.16,5.88,1,2.16,2.06,5.88,2.09,2.45
AEY,2012-02-14,N,2.35,2.35,2.35,2.2,-6.38,2.21,-5.95,3,2.35,2.06,-12.34,2.13,-9.36
AEY,2012-05-08,N,2.48,2.44,2.46,2.39,-3.62,2.46,-0.4,10,2.48,2.21,-10.88,2.25,-9.27
AEY,2012-08-07,N,2.09,2.17,2.17,2.04,3.82,2.06,-1.43,10,2.17,2.0,-4.3,2.1,0.47
AEY,2012-12-11,N,2.0,1.99,2.02,1.87,-6.49,2.0,,10,2.1,1.87,-6.49,1.92,-4.0
AEY,2013-02-12,N,2.15,2.17,2.29,2.17,6.51,2.25,4.65,3,2.29,2.17,6.51,2.21,2.79
AEY,2013-05-14,N,2.25,2.25,2.33,2.21,3.55,2.27,0.88,3,2.33,2.19,3.55,2.19,-2.66
AEY,2013-08-13,N,2.56,2.5,2.54,2.35,-8.2,2.54,-0.78,3,2.58,2.35,-8.2,2.49,-2.73
AEY,2014-12-09,N,2.54,2.57,2.65,2.57,3.92,2.63,3.13,11,2.66,2.46,4.31,2.49,-2.35
AEY,2015-02-10,N,2.38,2.39,2.49,2.38,4.62,2.46,3.36,10,2.49,2.37,4.62,2.46,3.36
AEY,2015-05-12,N,2.4,2.34,2.36,2.27,-5.41,2.34,-2.5,3,2.36,2.27,-5.41,2.35,-2.08
AEY,2015-08-11,N,2.24,2.29,2.4,2.29,7.14,2.38,6.24,10,2.4,2.25,7.14,2.29,2.67
AEY,2015-12-15,N,2.24,2.06,2.06,1.3,-41.96,1.78,-20.53,3,2.06,1.3,-41.96,1.86,-16.96
AEY,2016-02-09,N,1.72,1.73,1.84,1.7,6.97,1.7,-1.16,10,1.84,1.56,-9.3,1.64,-4.65
AEY,2016-05-10,N,1.8,1.75,1.83,1.73,-3.88,1.75,-2.77,10,1.85,1.68,-6.66,1.68,-6.66
AEY,2016-08-09,N,1.83,1.85,1.85,1.73,-5.46,1.75,-4.37,10,1.88,1.73,-5.46,1.8,-1.63
AEY,2016-12-13,N,1.69,1.69,1.69,1.6,-5.32,1.62,-4.14,3,1.79,1.6,5.91,1.65,-2.36
AEY,2017-02-14,N,1.89,1.89,1.92,1.76,-6.87,1.81,-4.23,3,1.92,1.74,-7.93,1.81,-4.23
AEY,2017-05-15,N,1.77,1.76,1.77,1.72,-2.82,1.75,-1.12,4,1.77,1.68,-5.08,1.72,-2.82
AEY,2017-08-14,N,1.51,1.51,1.51,1.44,-4.63,1.48,-1.98,4,1.51,1.34,-11.25,1.44,-4.63
AEY,2017-12-12,N,1.43,1.48,1.48,1.48,3.49,1.48,3.49,3,2.33,1.41,62.93,1.54,7.69
