Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AFMD,2014-11-18,Y,6.2,6.63,6.63,5.64,-9.03,5.72,-7.74,4,6.63,5.29,-14.67,5.95,-4.03
AFMD,2015-03-25,N,8.0,7.9,7.9,6.02,-24.75,6.19,-22.62,24,8.49,5.85,-26.87,7.48,-6.49
AFMD,2015-05-21,N,8.6,8.8,9.46,8.79,10.0,9.1,5.81,30,12.77,8.75,48.48,12.13,41.04
AFMD,2015-08-04,N,16.06,15.82,16.44,14.4,-10.33,15.12,-5.85,18,16.46,9.43,-41.28,9.78,-39.1
AFMD,2015-11-10,N,6.41,6.25,6.52,6.05,-5.61,6.45,0.62,11,6.54,5.75,-10.29,5.97,-6.86
AFMD,2016-03-30,N,3.69,3.81,3.95,3.52,7.04,3.69,0.0,17,4.75,3.52,28.72,4.43,20.05
AFMD,2016-05-18,N,3.33,3.24,3.48,3.09,-7.2,3.1,-6.9,3,3.48,2.85,-14.41,3.25,-2.4
AFMD,2016-08-10,N,3.16,3.14,3.14,2.86,-9.49,2.89,-8.54,10,3.14,2.55,-19.3,2.69,-14.87
AFMD,2016-11-02,N,1.9,1.8,2.2,1.75,15.78,2.15,13.15,17,2.65,1.75,39.47,2.4,26.31
AFMD,2017-03-30,N,2.35,2.4,2.45,2.35,4.25,2.4,2.12,23,2.5,2.05,-12.76,2.08,-11.48
AFMD,2017-05-17,N,2.3,2.3,2.45,2.2,6.52,2.25,-2.17,3,2.5,2.2,8.69,2.5,8.69
AFMD,2017-08-03,N,2.15,2.15,2.15,2.1,-2.32,2.15,0.0,16,2.2,1.95,-9.3,2.02,-6.04
AFMD,2017-11-07,N,2.17,2.08,2.08,2.08,4.14,2.08,-4.14,11,2.1,1.65,-23.96,1.98,-8.75
AFMD,2018-03-20,N,2.0,2.0,2.15,2.0,7.49,2.1,5.0,32,2.3,1.85,14.99,2.05,2.49
AFMD,2018-05-15,N,2.3,2.35,2.35,2.25,2.17,2.35,2.17,4,2.65,2.25,15.21,2.5,8.69
AFMD,2018-08-08,N,1.55,1.6,1.65,1.57,6.45,1.62,4.51,10,1.65,1.4,-9.67,1.6,3.22
AFMD,2018-11-07,N,3.96,4.0,4.13,3.86,4.29,3.96,0.0,10,4.38,3.69,10.6,4.26,7.57
AFMD,2019-03-27,N,4.07,4.2,4.43,4.03,8.84,4.17,2.45,23,4.43,3.28,-19.41,3.35,-17.69
AFMD,2019-05-22,N,3.32,3.0,3.16,2.91,-12.34,3.09,-6.92,31,3.49,2.52,-24.09,3.41,2.71
AFMD,2019-08-07,N,2.71,2.75,2.85,2.63,5.16,2.73,0.73,10,2.96,2.63,9.22,2.72,0.36
AFMD,2020-04-28,N,2.24,2.39,2.39,2.13,6.69,2.23,-0.44,18,2.4,1.88,-16.07,2.36,5.35
AFMD,2020-06-23,N,4.41,4.18,4.41,3.93,-10.88,4.25,-3.62,25,4.91,3.9,-11.56,4.42,0.22
AFMD,2020-08-11,N,3.85,3.8,3.94,3.23,-16.1,3.47,-9.87,11,4.05,3.23,-16.1,3.83,-0.51
AFMD,2020-11-10,N,3.73,3.8,4.25,3.75,13.94,4.22,13.13,11,5.03,3.75,34.85,4.94,32.43
AFMD,2021-04-15,N,10.33,9.86,10.05,9.06,-12.29,9.48,-8.22,2,10.05,9.06,-12.29,9.51,-7.93
AFMD,2021-07-01,N,8.5,7.76,7.99,7.38,-13.17,7.51,-11.64,16,7.99,6.49,-23.64,6.53,-23.17
AFMD,2021-09-08,N,6.74,6.88,7.0,6.2,-8.01,6.8,0.89,10,7.0,6.07,-9.94,6.39,-5.19
AFMD,2021-11-10,N,6.23,5.65,5.8,5.5,-11.71,5.65,-9.3,10,7.0,5.5,12.35,6.73,8.02
AFMD,2022-03-31,N,4.28,4.42,4.55,4.26,6.3,4.37,2.1,15,5.1,3.99,19.15,4.19,-2.1
AFMD,2022-06-01,N,3.1,3.11,3.21,2.92,-5.8,3.13,0.96,17,3.24,2.23,-28.06,2.48,-20.0
AFMD,2022-08-11,N,3.31,3.15,3.38,2.9,-12.38,3.01,-9.06,9,3.38,2.9,-12.38,3.01,-9.06
AFMD,2022-11-15,N,2.04,2.3,2.33,2.1,14.21,2.27,11.27,4,2.51,2.01,23.03,2.03,-0.49
AFMD,2023-03-23,N,0.75,0.85,0.85,0.68,13.33,0.7,-6.66,30,0.85,0.55,-26.66,0.85,13.33
