Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AGR,2016-02-22,Y,38.75,37.6,38.47,36.75,-5.16,38.06,-1.78,25,40.73,36.75,-5.16,40.46,4.41
AGR,2016-04-25,Y,38.2,38.99,40.09,38.72,4.94,39.04,2.19,25,41.44,38.72,8.48,40.67,6.46
AGR,2016-07-18,Y,45.91,45.5,45.81,44.88,-2.24,45.0,-1.98,32,45.81,42.45,-7.53,43.36,-5.55
AGR,2016-11-22,Y,37.38,37.0,37.44,36.93,-1.2,37.09,-0.77,24,38.37,35.42,-5.24,37.69,0.82
AGR,2017-02-21,N,40.91,42.5,42.83,41.33,4.69,42.63,4.2,28,44.11,41.33,7.82,42.5,3.88
AGR,2017-04-25,N,43.53,43.65,44.19,43.24,1.51,43.9,0.84,25,44.57,43.18,2.38,44.11,1.33
AGR,2017-07-19,N,44.0,46.0,46.0,44.24,4.54,45.15,2.61,3,46.0,44.24,4.54,45.18,2.68
AGR,2017-10-24,N,48.27,48.42,49.64,48.2,2.83,49.5,2.54,25,53.1,48.2,10.0,51.44,6.56
AGR,2018-02-20,N,50.22,49.82,49.98,48.91,-2.6,49.58,-1.27,28,50.22,47.54,-5.33,49.85,-0.73
AGR,2018-07-24,N,52.27,51.27,51.88,49.52,-5.26,50.09,-4.17,25,51.88,48.75,-6.73,50.42,-3.53
AGR,2018-10-23,Y,48.0,49.55,49.55,46.94,3.22,49.12,2.33,24,50.43,46.01,5.06,50.01,4.18
AGR,2019-02-19,Y,51.18,47.94,49.17,47.77,-6.66,48.51,-5.21,24,49.88,47.77,-6.66,49.54,-3.2
AGR,2019-04-24,Y,52.63,50.15,51.55,49.56,-5.83,51.28,-2.56,23,51.79,48.85,-7.18,50.16,-4.69
AGR,2019-10-29,Y,49.99,49.0,49.87,48.25,-3.48,49.39,-1.2,17,50.28,47.92,-4.14,48.75,-2.48
AGR,2020-02-25,Y,56.3,51.5,52.97,50.76,-9.84,51.85,-7.9,24,53.99,40.0,-28.95,41.63,-26.05
AGR,2020-04-28,Y,44.98,46.0,46.22,43.79,2.75,44.58,-0.88,17,46.22,38.78,-13.78,39.68,-11.78
AGR,2020-10-20,Y,54.06,52.0,52.5,48.95,-9.45,50.3,-6.95,31,52.56,45.85,-15.18,46.4,-14.16
AGR,2021-02-23,Y,45.23,45.06,46.1,44.83,1.92,45.64,0.9,24,48.9,44.83,8.11,47.95,6.01
AGR,2021-05-03,Y,50.96,51.21,51.82,50.74,1.68,51.64,1.33,18,52.97,50.12,3.94,52.8,3.61
AGR,2021-07-20,Y,52.36,51.93,52.6,50.81,-2.96,51.49,-1.66,31,55.3,50.81,5.61,54.89,4.83
AGR,2021-10-26,Y,52.38,52.32,53.25,51.67,1.66,52.54,0.3,24,53.31,49.99,-4.56,51.15,-2.34
AGR,2022-02-22,Y,43.51,43.63,44.6,43.13,2.5,43.6,0.2,24,46.2,42.2,6.18,44.66,2.64
AGR,2022-04-26,Y,46.42,47.18,47.18,45.33,-2.34,45.42,-2.15,24,47.64,43.07,-7.21,47.62,2.58
AGR,2022-07-26,Y,46.44,47.26,47.57,46.04,2.43,46.89,0.96,24,51.71,46.04,11.34,50.95,9.71
AGR,2022-10-25,Y,40.79,40.5,40.95,39.66,-2.77,39.99,-1.96,24,41.8,38.83,-4.8,41.7,2.23
AGR,2023-02-21,Y,40.36,40.26,41.68,40.13,3.27,41.01,1.61,24,41.68,37.86,-6.19,39.55,-2.0
