Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AGYS,2002-01-30,Y,12.3,12.53,12.73,12.5,3.49,12.63,2.68,16,12.85,11.68,-5.04,12.37,0.56
AGYS,2002-05-07,N,14.1,12.5,12.72,10.67,-24.32,10.95,-22.34,10,12.72,10.67,-24.32,11.95,-15.24
AGYS,2002-07-25,N,9.55,9.66,10.19,9.46,6.7,9.55,,22,10.19,8.5,-10.99,9.11,-4.6
AGYS,2002-11-04,N,7.08,7.45,8.65,7.42,22.17,8.58,21.18,11,9.08,7.42,28.24,8.72,23.16
AGYS,2003-02-03,N,9.75,8.67,9.64,8.19,-16.0,9.25,-5.12,18,9.64,7.61,-21.94,8.0,-17.94
AGYS,2003-05-13,N,10.18,9.8,10.07,9.63,-5.4,9.86,-3.14,3,10.07,9.05,-11.1,9.05,-11.1
AGYS,2003-07-24,Y,8.5,8.52,8.58,8.19,-3.64,8.47,-0.35,22,9.0,7.95,-6.47,8.48,-0.23
AGYS,2003-10-30,N,10.19,10.44,10.5,10.11,2.94,10.19,0.09,22,11.6,9.5,13.72,10.06,-1.37
AGYS,2004-02-02,N,13.1,13.44,13.54,13.08,3.35,13.23,0.99,18,13.75,12.47,4.96,13.27,1.29
AGYS,2004-05-12,N,11.44,11.81,12.19,11.33,6.55,11.48,0.34,9,12.53,11.33,9.52,12.34,7.86
AGYS,2004-07-26,N,10.75,12.35,13.88,12.09,29.11,13.14,22.23,25,15.0,12.09,39.53,14.54,35.25
AGYS,2004-11-02,Y,15.72,15.88,16.36,15.05,-4.26,16.22,3.18,17,17.79,15.05,13.16,16.94,7.76
AGYS,2005-02-09,N,17.54,17.75,17.93,16.94,-3.42,17.05,-2.73,9,18.89,16.79,7.69,18.69,6.55
AGYS,2005-05-10,N,14.0,13.9,14.28,13.55,-3.21,13.89,-0.78,10,15.41,13.16,10.07,15.03,7.35
AGYS,2005-08-04,Y,18.89,18.79,19.11,17.64,-6.66,18.22,-3.59,15,19.11,17.32,-8.35,17.52,-7.3
AGYS,2005-11-08,N,15.8,16.25,18.93,16.0,19.81,16.91,7.02,10,18.93,16.0,19.81,17.71,12.08
AGYS,2006-02-09,Y,15.4,15.52,15.85,14.94,-2.98,15.81,2.66,8,16.04,14.61,-5.12,15.38,-0.12
AGYS,2006-05-22,N,14.02,14.65,16.64,14.1,18.68,16.48,17.61,25,18.22,14.1,29.95,15.95,13.76
AGYS,2006-08-03,Y,14.77,14.97,15.34,14.07,-4.73,14.34,-2.91,15,15.34,13.3,-9.95,13.61,-7.85
AGYS,2006-11-06,N,14.72,14.42,15.32,13.65,-7.26,15.23,3.46,11,16.6,13.65,12.77,16.02,8.83
AGYS,2007-02-05,N,19.07,20.14,20.25,18.97,6.13,19.09,0.05,11,21.52,18.96,12.78,21.35,11.89
AGYS,2007-05-25,N,21.31,22.37,23.85,22.05,11.91,22.61,6.1,21,23.85,21.27,11.91,23.01,7.97
AGYS,2007-08-02,N,19.26,19.12,19.48,17.2,-10.69,17.97,-6.69,15,19.48,13.79,-28.4,15.68,-18.58
AGYS,2007-11-01,N,17.3,16.86,16.87,15.76,-8.9,16.22,-6.24,15,16.87,13.52,-21.84,13.92,-19.53
AGYS,2008-02-01,N,15.22,15.14,15.19,12.85,-15.57,13.2,-13.27,14,15.19,11.67,-23.32,12.15,-20.17
AGYS,2008-06-02,N,10.44,9.22,10.38,9.21,-11.78,10.29,-1.43,18,12.7,9.21,21.64,11.95,14.46
AGYS,2008-08-07,N,11.6,11.23,12.2,11.04,5.17,11.18,-3.62,8,13.39,11.04,15.43,12.85,10.77
AGYS,2008-11-20,N,2.29,2.7,2.7,2.06,17.9,2.09,-8.73,1,2.7,1.89,17.9,2.27,-0.87
AGYS,2009-02-10,N,3.35,3.3,4.66,3.3,39.1,3.43,2.38,10,4.66,3.3,39.1,3.4,1.49
AGYS,2009-06-05,N,7.41,7.34,7.55,6.86,-7.42,7.11,-4.04,14,7.55,4.95,-33.19,5.08,-31.44
AGYS,2009-08-05,N,5.19,4.91,5.0,4.4,-15.22,4.73,-8.86,16,6.85,4.4,31.98,6.82,31.4
AGYS,2009-11-04,N,4.76,5.2,6.63,5.2,39.28,6.35,33.4,16,8.86,5.2,86.13,8.44,77.52
AGYS,2010-02-03,N,8.71,9.19,9.88,9.0,13.43,9.4,7.92,16,9.94,8.42,14.12,9.81,12.62
AGYS,2010-06-03,N,6.86,6.78,7.63,6.78,11.22,7.3,6.41,15,8.09,6.08,17.93,7.57,10.34
