Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AKAM,2002-01-23,Y,4.05,4.28,4.58,4.25,12.8,4.34,6.89,23,4.93,3.42,21.42,3.5,-13.79
AKAM,2002-04-18,Y,4.15,4.04,4.04,3.53,-14.93,3.63,-12.53,1,4.04,3.53,-14.93,3.63,-12.53
AKAM,2002-07-17,Y,1.5,1.5,1.55,1.31,-12.66,1.42,-5.33,2,1.55,1.19,-20.66,1.19,-20.66
AKAM,2002-10-16,Y,0.99,0.96,0.99,0.8,-19.19,0.86,-13.13,2,0.99,0.77,-22.22,0.8,-19.19
AKAM,2003-01-28,Y,1.36,1.45,1.51,1.35,11.02,1.43,5.14,24,1.52,1.18,-13.23,1.46,7.35
AKAM,2003-04-30,Y,2.42,2.5,2.54,2.29,-5.37,2.39,-1.23,16,3.95,2.29,63.22,3.37,39.25
AKAM,2003-07-30,Y,5.09,5.15,5.24,4.55,-10.78,4.58,-10.19,16,5.24,3.22,-36.86,3.99,-21.76
AKAM,2003-10-29,Y,5.96,7.55,8.33,7.35,39.76,8.0,34.22,23,11.88,7.35,99.32,11.37,90.77
AKAM,2004-02-04,Y,11.45,12.84,14.55,12.37,27.07,14.5,26.63,16,16.79,12.37,46.63,15.07,31.61
AKAM,2004-04-28,Y,12.99,12.98,13.57,12.77,4.46,12.89,-0.76,23,14.13,11.65,-10.31,13.6,4.69
AKAM,2004-07-27,Y,14.54,13.78,14.32,13.3,-8.52,14.04,-3.43,24,15.11,11.9,-18.15,14.23,-2.13
AKAM,2004-10-27,Y,16.42,14.81,15.95,14.28,-13.03,14.57,-11.26,23,15.95,12.4,-24.48,12.8,-22.04
AKAM,2005-02-17,Y,10.76,12.0,12.5,11.88,16.17,12.21,13.47,1,12.5,11.88,16.17,12.21,13.47
AKAM,2005-04-27,Y,12.42,12.48,12.68,11.86,-4.5,12.21,-1.69,23,12.68,11.14,-10.3,12.3,-0.96
AKAM,2005-07-26,Y,14.48,14.55,15.2,14.47,4.97,15.0,3.59,24,15.66,14.16,8.14,14.85,2.55
AKAM,2005-10-25,Y,16.97,17.05,17.1,16.42,-3.24,16.89,-0.47,24,17.64,16.07,-5.3,16.98,0.11
AKAM,2006-02-08,Y,22.0,24.99,27.59,24.76,25.4,26.01,18.22,9,27.59,24.52,25.4,26.72,21.45
AKAM,2006-04-26,Y,33.34,32.96,34.94,31.15,-6.56,34.15,2.42,23,36.94,31.15,10.79,34.14,2.39
AKAM,2006-07-26,Y,30.0,35.97,37.4,34.97,24.66,36.83,22.76,23,42.0,34.97,40.0,39.97,33.26
AKAM,2006-10-26,Y,49.83,48.86,50.0,46.26,-7.16,46.45,-6.78,22,52.0,45.24,-9.21,49.25,-1.16
AKAM,2007-02-07,Y,56.95,55.36,59.69,54.49,4.81,59.15,3.86,9,59.69,54.49,4.81,55.99,-1.68
AKAM,2007-04-25,Y,48.97,49.71,49.77,45.92,-6.22,46.55,-4.94,23,49.77,41.02,-16.23,44.47,-9.18
AKAM,2007-07-25,Y,47.18,39.0,39.5,35.04,-25.73,38.27,-18.88,23,39.5,28.43,-39.74,30.51,-35.33
AKAM,2007-10-24,Y,32.97,35.5,38.0,35.35,15.25,37.13,12.61,23,41.45,35.35,25.72,36.15,9.64
AKAM,2008-02-06,Y,29.73,31.15,33.36,29.73,12.2,32.4,9.01,9,34.47,29.73,15.94,33.77,13.58
AKAM,2008-04-30,Y,35.77,34.36,35.09,33.67,-5.87,34.36,-3.91,16,40.69,33.67,13.75,40.33,12.74
AKAM,2008-07-30,Y,31.25,25.06,25.5,22.69,-27.39,23.34,-25.31,16,25.5,21.54,-31.07,23.13,-25.98
AKAM,2008-10-30,Y,13.8,15.4,15.46,13.92,12.02,14.38,4.2,22,15.46,9.25,-32.97,10.52,-23.76
AKAM,2009-02-04,Y,14.17,15.38,16.92,15.01,19.4,16.73,18.06,16,18.48,15.01,30.41,17.71,24.98
AKAM,2009-04-29,Y,20.05,21.97,22.49,21.47,12.11,22.02,9.77,16,23.58,20.13,17.54,20.74,3.38
AKAM,2009-07-29,Y,20.39,16.64,16.75,15.86,-22.25,16.51,-19.06,23,19.8,15.86,-22.25,18.42,-9.7
AKAM,2009-10-28,Y,20.16,22.33,23.3,21.65,15.57,22.79,13.04,23,25.19,21.65,24.95,23.94,18.75
AKAM,2010-02-03,Y,26.5,25.58,26.17,25.35,-4.33,25.51,-3.73,16,26.17,24.62,-7.09,25.89,-2.3
AKAM,2010-04-28,Y,33.18,36.74,40.1,36.54,20.85,39.63,19.43,23,42.69,33.95,28.66,38.93,17.32
AKAM,2010-07-28,Y,44.03,40.86,40.9,38.27,-13.08,38.35,-12.9,23,48.18,36.69,-16.67,47.86,8.69
AKAM,2010-10-27,Y,50.39,52.76,53.64,50.97,6.44,51.11,1.42,23,54.39,46.1,-8.51,49.53,-1.7
AKAM,2011-02-09,Y,47.99,41.69,42.08,39.9,-16.85,40.75,-15.08,9,43.58,39.9,-16.85,41.57,-13.37
AKAM,2011-04-27,Y,40.98,35.2,35.51,34.46,-15.91,34.94,-14.73,23,35.83,31.58,-22.93,34.2,-16.54
AKAM,2011-07-27,Y,29.48,24.52,25.14,23.64,-19.81,23.84,-19.13,23,25.14,20.2,-31.47,20.28,-31.2
AKAM,2011-10-26,Y,23.78,27.4,28.5,26.84,19.84,27.45,15.43,23,30.47,25.73,28.13,27.97,17.61
AKAM,2012-02-08,Y,34.44,38.92,39.14,37.47,13.64,38.06,10.51,9,39.14,37.42,13.64,37.79,9.75
AKAM,2012-04-25,Y,38.75,36.4,36.6,32.95,-14.96,33.15,-14.45,23,36.6,28.38,-26.76,28.45,-26.58
AKAM,2012-07-25,Y,28.25,33.45,35.2,32.93,24.6,35.04,24.03,23,37.94,32.93,34.3,37.54,32.92
AKAM,2012-10-24,Y,36.11,39.75,40.08,38.1,10.99,38.54,6.72,23,40.08,35.07,10.99,36.1,-0.02
AKAM,2013-02-06,Y,41.58,33.79,35.49,33.54,-19.33,35.26,-15.19,9,39.0,33.54,-19.33,38.49,-7.43
