Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ALLO,2019-03-08,N,29.65,29.54,29.54,27.26,-8.06,28.38,-4.28,8,29.54,25.71,-13.28,26.74,-9.81
ALLO,2019-05-07,N,31.09,29.77,30.99,29.75,-4.31,29.79,-4.18,11,31.56,27.55,-11.38,29.19,-6.11
ALLO,2019-08-07,Y,29.59,29.95,31.21,29.43,5.47,31.06,4.96,9,31.86,26.06,-11.92,26.27,-11.22
ALLO,2020-02-27,N,25.45,25.51,27.27,24.6,7.15,25.92,1.84,23,28.3,17.43,-31.51,19.25,-24.36
ALLO,2020-05-06,N,30.86,31.12,31.76,29.01,-5.99,30.07,-2.55,10,46.22,29.01,49.77,44.91,45.52
ALLO,2020-08-05,N,37.08,37.67,38.97,37.06,5.09,38.45,3.69,17,39.37,35.09,6.17,36.42,-1.77
ALLO,2020-11-04,N,33.79,29.52,31.24,27.46,-18.73,31.06,-8.07,17,34.46,27.46,-18.73,31.23,-7.57
ALLO,2021-02-25,Y,32.79,33.5,35.24,32.66,7.47,34.71,5.85,22,39.12,31.6,19.3,37.01,12.86
ALLO,2021-05-05,Y,28.71,28.92,29.63,28.22,3.2,29.17,1.6,16,31.77,25.81,10.65,26.02,-9.36
ALLO,2021-08-04,Y,22.13,22.0,23.77,21.97,7.41,23.73,7.23,16,24.08,20.58,8.81,23.45,5.96
ALLO,2021-11-04,Y,19.43,20.2,20.75,19.57,6.79,20.14,3.65,15,20.75,17.78,-8.49,18.81,-3.19
ALLO,2022-02-23,Y,9.17,8.97,9.31,8.33,-9.16,9.25,0.87,23,9.84,7.56,-17.55,9.76,6.43
ALLO,2022-05-04,Y,9.43,9.18,10.13,8.98,7.42,9.25,-1.9,16,10.13,6.43,-31.81,7.48,-20.67
ALLO,2022-08-09,Y,15.03,14.57,16.76,14.27,11.51,16.2,7.78,10,17.49,14.27,16.36,14.81,-1.46
ALLO,2022-11-02,Y,10.17,9.41,9.81,8.46,-16.81,9.52,-6.39,16,10.44,8.46,-16.81,10.24,0.68
ALLO,2023-02-28,Y,6.35,6.74,7.14,6.25,12.44,6.34,-0.15,17,7.14,5.3,-16.53,5.49,-13.54
