Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ALRM,2015-08-06,Y,17.47,17.55,17.96,16.36,-6.35,17.03,-2.51,15,17.96,16.1,-7.84,16.46,-5.78
ALRM,2015-11-10,Y,14.57,16.98,17.8,16.42,22.16,16.57,13.72,10,18.68,15.79,28.2,17.85,22.51
ALRM,2016-02-25,Y,17.72,20.55,22.67,19.93,27.93,19.98,12.81,22,23.27,19.16,31.32,21.75,22.74
ALRM,2016-05-10,Y,22.6,21.97,21.98,19.91,-11.9,21.53,-4.73,10,22.5,19.91,-11.9,21.49,-4.91
ALRM,2016-08-15,Y,32.93,31.35,31.75,28.73,-12.75,29.96,-9.01,4,31.75,27.24,-17.27,28.01,-14.94
ALRM,2016-11-14,Y,32.36,33.97,34.43,27.5,-15.04,27.9,-13.8,4,34.43,27.5,-15.04,29.39,-9.2
ALRM,2017-03-15,Y,30.63,33.0,33.0,30.27,7.73,31.45,2.67,2,33.0,30.27,7.73,31.21,1.89
ALRM,2017-05-09,Y,32.58,32.79,32.94,31.79,-2.42,32.72,0.46,10,33.08,31.28,-3.99,31.85,-2.24
ALRM,2017-08-08,Y,39.51,41.0,42.48,38.03,7.51,41.47,4.96,10,42.84,38.03,8.42,42.68,8.02
ALRM,2017-11-08,Y,46.97,44.31,44.99,38.51,-18.01,40.2,-14.41,9,44.99,38.51,-18.01,44.2,-5.89
ALRM,2018-02-27,Y,38.17,36.0,37.38,33.39,-12.52,36.13,-5.34,17,40.04,33.39,-12.52,38.93,1.99
ALRM,2018-05-03,Y,42.54,43.77,43.87,39.36,-7.47,40.98,-3.66,15,43.87,39.01,-8.29,42.26,-0.65
ALRM,2018-08-07,Y,44.94,49.66,52.6,47.47,17.04,48.24,7.34,10,54.93,47.47,22.22,54.88,22.11
ALRM,2018-11-07,Y,47.25,56.06,56.06,48.81,18.64,49.65,5.07,9,56.06,45.46,18.64,48.0,1.58
ALRM,2019-02-28,Y,65.63,61.0,62.6,57.25,-12.76,59.31,-9.62,15,62.6,54.03,-17.67,60.99,-7.06
ALRM,2019-05-09,Y,69.67,63.0,65.88,62.05,-10.93,63.95,-8.21,8,65.88,57.6,-17.32,60.95,-12.51
ALRM,2019-08-08,Y,50.52,56.0,56.0,48.01,10.84,50.29,-0.45,8,56.0,45.01,-10.9,46.81,-7.34
ALRM,2020-02-25,Y,44.76,47.82,48.69,46.01,8.78,48.03,7.3,24,50.75,32.0,-28.5,38.73,-13.47
ALRM,2020-05-07,Y,47.63,48.0,50.42,47.74,5.85,50.05,5.08,8,52.02,47.56,9.21,50.33,5.66
ALRM,2020-08-05,Y,62.17,63.28,64.0,58.71,-5.56,60.19,-3.18,16,64.0,56.16,-9.66,58.76,-5.48
ALRM,2020-11-05,Y,65.12,68.02,74.15,68.02,13.86,73.15,12.33,15,79.38,68.02,21.89,69.46,6.66
ALRM,2021-02-25,Y,88.74,90.51,91.11,86.4,2.67,87.88,-0.96,22,94.61,81.56,-8.09,86.53,-2.49
ALRM,2021-05-04,Y,85.64,85.81,88.46,83.22,3.29,83.98,-1.93,17,88.46,75.9,-11.37,79.82,-6.79
ALRM,2021-08-05,Y,85.41,92.53,94.45,87.72,10.58,90.28,5.7,15,94.45,75.56,-11.53,79.5,-6.91
ALRM,2021-11-04,Y,85.88,87.65,90.11,85.86,4.92,89.52,4.23,15,90.69,81.49,5.6,83.08,-3.26
ALRM,2022-02-24,Y,69.05,65.77,68.53,60.7,-12.09,65.23,-5.53,22,68.87,60.7,-12.09,67.69,-1.96
ALRM,2022-05-05,Y,60.16,58.56,59.34,56.32,-6.38,57.03,-5.2,15,62.0,54.99,-8.59,61.91,2.9
ALRM,2022-08-09,Y,72.04,77.42,78.99,74.16,9.64,75.86,5.3,10,78.99,73.02,9.64,73.13,1.51
ALRM,2022-11-08,Y,55.89,50.34,52.34,47.16,-15.61,47.82,-14.43,10,57.37,47.16,-15.61,50.0,-10.53
