Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AMID,2011-09-09,Y,19.11,18.79,19.23,17.26,-9.68,19.09,-0.1,7,23.37,17.26,22.29,19.21,0.52
AMID,2011-11-14,Y,17.78,17.66,17.71,17.51,-1.51,17.7,-0.44,4,19.27,17.51,8.38,19.2,7.98
AMID,2012-03-12,Y,21.81,21.87,22.36,21.86,2.52,22.21,1.83,4,22.95,21.86,5.22,22.58,3.53
AMID,2012-05-14,Y,20.49,20.53,21.05,19.62,-4.24,19.76,-3.56,4,21.05,18.18,-11.27,18.96,-7.46
AMID,2012-08-13,Y,21.31,21.5,21.5,20.95,-1.68,21.0,-1.45,4,21.5,19.07,-10.51,20.3,-4.73
AMID,2012-11-13,Y,17.62,17.57,17.89,17.19,-2.44,17.44,-1.02,3,17.89,15.0,-14.86,16.47,-6.52
AMID,2013-04-16,Y,16.45,16.6,17.0,16.44,3.34,16.73,1.7,3,17.09,16.44,3.89,17.09,3.89
AMID,2013-05-13,Y,19.42,20.2,20.25,19.48,4.27,19.91,2.52,4,20.5,19.48,5.56,20.19,3.96
AMID,2013-08-13,Y,20.07,20.41,20.49,20.22,2.09,20.35,1.39,3,20.55,20.0,2.39,20.1,0.14
AMID,2013-11-13,Y,23.88,23.62,24.41,23.0,-3.68,24.21,1.38,2,24.5,23.0,-3.68,24.5,2.59
AMID,2014-05-12,Y,26.62,26.79,27.57,26.79,3.56,27.5,3.3,4,27.84,26.79,4.58,27.5,3.3
AMID,2014-08-11,Y,29.95,30.0,31.9,30.0,6.51,30.08,0.43,4,31.9,29.11,6.51,29.84,-0.36
AMID,2014-11-10,Y,27.79,28.2,28.35,26.17,-5.82,26.34,-5.21,12,28.35,24.05,-13.45,24.48,-11.91
AMID,2015-03-09,Y,18.07,17.48,18.87,17.11,-5.31,17.7,-2.04,11,18.87,16.07,-11.06,16.8,-7.02
AMID,2015-05-11,Y,18.42,18.48,18.48,17.57,-4.61,18.07,-1.9,4,18.48,17.3,-6.08,18.32,-0.54
AMID,2015-08-10,Y,9.77,10.77,16.71,10.77,70.85,14.39,47.13,11,16.71,10.77,70.85,13.43,37.32
AMID,2015-11-09,Y,10.39,10.13,11.04,10.02,6.25,10.41,0.19,11,11.04,8.14,-21.65,8.32,-19.92
AMID,2016-03-07,Y,5.71,7.0,7.79,6.58,36.42,6.79,18.91,11,7.79,6.05,36.42,6.9,20.84
AMID,2016-05-09,Y,11.89,11.3,12.5,11.0,-7.48,12.13,2.01,11,12.6,10.99,-7.56,11.76,-1.09
AMID,2016-08-08,Y,11.88,12.0,12.09,11.76,1.76,12.01,1.09,11,12.5,11.76,5.21,12.12,2.02
AMID,2016-11-07,Y,13.4,13.3,13.85,13.15,3.35,13.6,1.49,11,14.5,13.15,8.2,13.95,4.1
AMID,2017-03-07,Y,16.45,16.55,17.0,15.9,3.34,15.95,-3.03,10,17.0,15.15,-7.9,15.3,-6.99
AMID,2017-05-10,N,12.85,12.5,14.0,12.45,8.94,13.8,7.39,10,14.0,12.45,8.94,13.35,3.89
AMID,2017-08-08,N,13.7,13.5,14.35,13.5,4.74,13.8,0.72,11,14.65,12.95,6.93,13.45,-1.82
AMID,2017-11-08,N,13.15,13.35,13.4,13.05,1.9,13.15,,10,13.45,12.3,-6.46,12.75,-3.04
AMID,2018-03-12,N,11.95,11.95,12.15,11.75,1.67,11.8,-1.25,7,12.15,10.8,-9.62,11.0,-7.94
AMID,2018-05-15,N,11.0,11.25,11.28,10.8,2.54,11.0,0.0,4,11.35,10.75,3.18,11.15,1.36
AMID,2018-08-09,N,5.65,5.75,6.05,5.72,7.07,6.05,7.07,9,6.65,5.7,17.69,6.4,13.27
AMID,2018-11-08,N,5.88,5.9,5.95,5.6,-4.76,5.69,-3.23,9,5.95,5.44,-7.48,5.5,-6.46
