Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AMPH,2014-08-12,Y,10.2,9.8,10.15,9.59,-5.98,10.15,-0.49,4,10.4,9.59,-5.98,10.15,-0.49
AMPH,2014-11-12,Y,10.05,11.77,11.77,10.36,17.11,10.63,5.77,10,11.77,9.88,17.11,10.56,5.07
AMPH,2015-03-24,Y,15.33,15.5,15.53,14.21,-7.3,14.42,-5.93,24,16.28,14.21,-7.3,15.11,-1.43
AMPH,2015-05-13,N,14.4,14.5,15.24,14.5,5.83,15.21,5.62,3,15.48,14.5,7.5,15.27,6.04
AMPH,2015-08-12,N,15.32,15.16,15.48,14.87,-2.93,15.22,-0.65,10,16.37,13.54,-11.61,13.79,-9.98
AMPH,2015-11-12,Y,12.26,12.14,13.96,12.08,13.86,13.9,13.37,8,14.81,12.08,20.79,14.3,16.63
AMPH,2016-03-14,Y,11.71,12.58,13.0,12.08,11.01,12.72,8.62,4,13.0,10.92,11.01,11.64,-0.59
AMPH,2016-05-09,Y,11.85,12.08,13.34,12.04,12.57,12.99,9.62,11,15.47,12.04,30.54,15.43,30.21
AMPH,2016-08-08,Y,16.02,17.8,18.5,15.82,15.48,17.95,12.04,11,19.69,15.82,22.9,19.47,21.53
AMPH,2016-11-08,Y,17.63,18.34,20.73,18.34,17.58,20.51,16.33,10,21.66,18.34,22.85,21.21,20.3
AMPH,2017-03-13,Y,14.74,13.96,13.96,12.05,-18.24,12.2,-17.23,4,13.96,12.05,-18.24,13.75,-6.71
AMPH,2017-05-08,Y,14.94,14.04,14.98,13.15,-11.98,14.73,-1.4,11,16.48,13.15,-11.98,15.45,3.41
AMPH,2017-08-09,Y,15.54,15.94,15.94,15.12,-2.7,15.27,-1.73,9,15.94,14.53,-6.49,15.22,-2.05
AMPH,2017-11-08,Y,17.81,17.0,19.15,17.0,7.52,18.81,5.61,9,19.22,17.0,7.91,18.38,3.2
AMPH,2018-03-12,Y,19.58,19.72,20.45,19.58,4.44,20.35,3.93,4,20.45,19.58,4.44,19.91,1.68
AMPH,2018-05-09,Y,19.43,18.5,18.5,14.4,-25.88,14.63,-24.7,9,18.5,14.4,-25.88,16.63,-14.41
AMPH,2018-11-08,Y,20.71,20.8,21.65,20.4,4.53,21.59,4.24,8,21.65,19.88,4.53,20.67,-0.19
AMPH,2019-03-12,Y,24.17,21.5,22.54,20.35,-15.8,20.68,-14.43,3,22.54,19.7,-18.49,20.23,-16.3
AMPH,2019-05-08,Y,22.51,22.43,22.85,22.11,-1.77,22.63,0.53,9,22.92,20.57,-8.61,21.92,-2.62
AMPH,2019-08-07,Y,19.69,20.98,21.17,19.72,7.51,21.07,7.0,9,21.52,19.72,9.29,21.38,8.58
AMPH,2020-03-13,N,13.87,13.76,14.73,13.09,6.2,14.19,2.3,8,14.73,12.33,-11.1,12.66,-8.72
AMPH,2020-05-07,Y,17.6,18.47,19.36,17.9,9.99,18.79,6.76,8,19.71,17.57,11.98,18.18,3.29
AMPH,2020-08-06,Y,20.27,20.07,20.44,19.52,-3.7,20.14,-0.64,15,20.8,19.52,-3.7,20.03,-1.18
AMPH,2020-11-06,N,20.63,20.79,20.79,18.98,-7.99,19.2,-6.93,15,20.79,17.99,-12.79,18.36,-11.0
AMPH,2021-03-15,Y,19.15,19.25,19.44,17.72,-7.46,18.44,-3.7,4,19.44,17.64,-7.88,18.07,-5.63
AMPH,2021-05-06,Y,18.05,18.23,19.35,18.14,7.2,18.68,3.49,15,20.19,18.14,11.85,19.72,9.25
AMPH,2021-08-09,Y,20.08,20.3,21.06,20.09,4.88,20.32,1.19,11,21.06,18.5,-7.86,18.89,-5.92
AMPH,2021-11-08,Y,19.95,20.05,21.49,20.0,7.71,20.76,4.06,11,21.7,20.0,8.77,20.51,2.8
AMPH,2022-03-10,Y,30.47,30.0,34.96,29.67,14.73,34.3,12.56,8,35.74,29.67,17.29,34.22,12.3
AMPH,2022-05-09,Y,31.76,31.33,34.24,31.14,7.8,34.0,7.05,11,36.66,31.14,15.42,33.7,6.1
AMPH,2022-08-08,Y,37.75,38.13,39.07,30.74,-18.56,32.06,-15.07,11,39.07,30.52,-19.15,33.76,-10.56
