Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AMR,2018-05-14,N,7.19,7.14,7.61,6.6,-8.2,7.4,2.92,7,7.67,6.6,-8.2,7.64,6.25
AMR,2018-08-14,N,6.08,5.7,5.75,4.36,-28.28,4.77,-21.54,4,5.75,4.17,-31.41,4.35,-28.45
AMR,2018-11-13,N,3.02,3.03,3.07,2.74,-9.27,2.82,-6.62,4,3.07,2.13,-29.47,2.18,-27.81
AMR,2019-02-26,Y,0.34,0.33,0.33,0.2,-41.17,0.23,-32.35,17,0.39,0.2,-41.17,0.28,-17.64
AMR,2021-03-15,N,15.51,14.89,14.89,12.66,-18.37,13.2,-14.89,7,14.89,11.13,-28.23,12.58,-18.89
AMR,2021-05-10,N,13.35,13.91,15.5,13.6,16.1,15.17,13.63,14,15.71,13.6,17.67,15.32,14.75
AMR,2021-08-06,N,29.29,28.98,31.5,28.34,7.54,30.38,3.72,15,37.14,28.34,26.8,34.1,16.42
AMR,2021-11-05,N,59.73,61.0,62.84,59.86,5.2,61.02,2.15,15,62.84,44.63,-25.28,46.14,-22.75
AMR,2022-03-07,N,116.15,120.46,132.3,113.07,13.9,116.64,0.42,14,137.0,104.43,17.95,120.64,3.86
AMR,2022-05-05,N,162.98,175.51,175.96,156.68,7.96,168.53,3.4,16,178.7,138.0,-15.32,151.71,-6.91
AMR,2022-08-08,N,129.23,133.0,142.0,127.0,9.88,141.29,9.33,14,157.99,127.0,22.25,154.81,19.79
