Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AMRN,2002-05-14,Y,95.89,98.0,98.9,87.2,-9.06,87.5,-8.74,3,98.9,87.2,-9.06,89.01,-7.17
AMRN,2002-07-24,Y,33.0,33.0,33.4,30.3,-8.18,30.3,-8.18,23,37.7,27.1,-17.87,37.7,14.24
AMRN,2002-10-28,N,35.5,37.2,38.5,32.0,-9.85,33.79,-4.78,18,38.5,28.5,-19.71,30.39,-14.39
AMRN,2003-02-26,Y,290.0,30.1,320.0,287.0,10.34,320.0,10.34,23,320.0,240.0,-17.24,264.0,-8.96
AMRN,2003-06-03,N,412.0,43.0,437.0,418.0,6.06,422.0,2.42,17,437.0,280.0,-32.03,324.89,-21.14
AMRN,2003-08-11,N,316.0,27.5,318.0,298.0,-5.69,310.0,-1.89,4,318.0,247.0,-21.83,251.0,-20.56
AMRN,2003-12-04,N,234.0,22.6,240.0,227.0,-2.99,235.0,0.42,15,240.0,132.0,-43.58,154.0,-34.18
AMRN,2004-03-25,N,138.0,14.25,140.0,132.0,-4.34,138.0,,22,150.0,129.0,8.69,133.0,-3.62
AMRN,2004-05-12,Y,89.0,9.0,105.0,87.0,17.97,104.6,17.52,9,112.0,87.0,25.84,97.1,9.1
AMRN,2004-07-29,Y,8.8,8.6,8.6,8.0,-9.09,8.6,-2.27,22,8.6,6.5,-26.13,8.0,-9.09
AMRN,2004-11-11,Y,30.0,29.6,34.0,27.0,13.33,27.8,-7.33,8,34.0,22.6,-24.66,25.9,-13.66
AMRN,2005-02-17,Y,29.4,30.0,30.0,29.2,2.04,29.2,-0.68,1,30.0,29.2,2.04,29.2,-0.68
AMRN,2005-05-26,Y,14.1,14.0,14.0,13.2,-6.38,13.2,-6.38,22,15.0,11.92,-15.46,13.7,-2.83
AMRN,2005-07-27,N,15.06,15.6,15.9,14.86,5.57,15.4,2.25,23,15.9,12.8,-15.0,14.1,-6.37
AMRN,2005-11-09,Y,11.5,12.3,12.3,11.0,6.95,11.5,,9,12.5,10.7,8.69,11.8,2.6
AMRN,2006-02-09,Y,37.4,38.4,38.5,35.6,-4.81,36.5,-2.4,8,38.5,28.5,-23.79,31.0,-17.11
