Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AMWD,2002-06-26,N,27.75,27.52,29.0,24.83,-10.52,25.64,-7.6,23,29.0,20.0,-27.92,21.5,-22.52
AMWD,2002-08-26,Y,25.66,25.76,25.86,24.8,-3.35,25.2,-1.79,25,26.0,22.94,-10.6,25.13,-2.06
AMWD,2002-12-03,N,29.86,29.13,29.14,27.14,-9.1,28.87,-3.31,17,29.14,24.19,-18.98,25.0,-16.27
AMWD,2003-02-26,Y,17.73,19.0,19.72,17.95,11.16,19.39,9.3,23,22.72,17.95,28.07,22.05,24.29
AMWD,2003-06-10,Y,24.12,23.83,24.62,23.83,2.07,24.57,1.86,10,24.75,23.38,-3.06,23.64,-1.99
AMWD,2003-08-25,N,27.0,25.42,26.31,24.65,-8.7,26.16,-3.11,25,26.31,22.54,-16.51,24.05,-10.92
AMWD,2003-11-18,N,25.88,25.49,25.56,24.65,-4.75,24.9,-3.78,3,25.62,24.65,-4.75,25.4,-1.85
AMWD,2004-02-24,N,33.58,33.61,33.61,32.02,-4.64,32.17,-4.19,24,33.68,31.0,-7.68,31.38,-6.55
AMWD,2004-06-09,N,27.82,27.68,27.86,27.44,-1.36,27.46,-1.29,9,27.88,26.56,-4.52,27.26,-2.01
AMWD,2004-08-25,N,30.9,31.66,34.46,31.65,11.52,33.65,8.89,23,37.92,31.65,22.71,36.85,19.25
AMWD,2004-11-30,N,39.44,40.0,41.0,39.0,3.95,40.22,2.0,17,45.67,39.0,15.79,43.77,10.97
AMWD,2005-02-23,Y,36.7,36.39,39.63,35.4,7.98,38.86,5.88,23,39.63,35.4,7.98,36.65,-0.13
AMWD,2005-06-07,N,35.15,28.19,29.75,27.75,-21.05,28.78,-18.12,10,30.96,27.75,-21.05,30.78,-12.43
AMWD,2005-08-24,Y,37.22,37.63,38.95,37.35,4.64,38.04,2.2,23,38.95,34.01,-8.62,36.32,-2.41
AMWD,2005-11-29,Y,25.5,25.71,26.08,25.3,2.27,25.62,0.47,17,26.08,23.5,-7.84,24.68,-3.21
AMWD,2006-02-22,Y,31.81,31.31,32.79,31.31,3.08,32.5,2.16,23,36.07,31.31,13.39,33.08,3.99
AMWD,2006-06-07,Y,33.72,34.02,34.06,30.8,-8.65,32.24,-4.38,9,35.07,29.53,-12.42,30.67,-9.04
AMWD,2006-08-23,Y,31.2,31.79,32.68,31.07,4.74,31.18,-0.06,23,36.01,30.89,15.41,34.75,11.37
AMWD,2006-11-28,Y,38.44,38.47,38.78,36.99,-3.77,37.36,-2.78,17,42.0,36.99,9.26,41.4,7.7
AMWD,2007-02-20,Y,43.13,42.73,43.76,42.3,-1.92,43.08,-0.11,24,43.76,34.67,-19.61,35.59,-17.48
AMWD,2007-06-05,Y,34.28,33.93,34.86,33.07,-3.52,34.56,0.81,10,35.43,33.07,-3.52,35.34,3.09
AMWD,2007-08-22,Y,28.03,26.86,28.0,26.79,-4.42,27.78,-0.89,30,30.37,25.02,-10.73,25.32,-9.66
AMWD,2007-11-29,N,22.85,18.71,19.8,18.01,-21.18,18.16,-20.52,22,20.37,18.0,-21.22,18.46,-19.21
AMWD,2008-02-19,Y,18.54,18.51,19.79,18.51,6.74,19.37,4.47,31,22.14,17.37,19.41,20.98,13.16
AMWD,2008-06-04,Y,22.02,21.98,24.1,21.98,9.44,23.85,8.31,16,25.33,21.01,15.03,21.6,-1.9
AMWD,2008-08-20,Y,23.9,23.6,24.37,21.96,-8.11,22.77,-4.72,30,32.42,21.69,35.64,29.0,21.33
AMWD,2008-11-25,Y,15.56,15.09,16.8,15.09,7.96,16.12,3.59,24,17.87,13.32,14.84,17.05,9.64
AMWD,2009-06-05,N,19.59,24.15,24.51,21.88,25.11,22.58,15.26,14,24.99,21.88,27.56,23.38,19.34
AMWD,2009-08-25,N,24.28,21.3,23.97,20.27,-16.51,23.24,-4.28,24,23.97,18.67,-23.1,20.44,-15.81
AMWD,2009-11-24,N,19.59,18.82,19.52,18.6,-5.05,19.16,-2.19,24,20.78,18.21,-7.04,20.07,2.45
AMWD,2010-02-19,N,20.02,19.19,19.25,18.52,-7.49,19.04,-4.89,0,19.25,18.52,-7.49,19.04,-4.89
AMWD,2010-06-04,N,22.92,22.63,22.63,21.89,-4.49,22.19,-3.18,14,22.63,20.75,-9.46,21.45,-6.41
AMWD,2010-08-24,N,15.28,15.12,15.67,15.12,2.55,15.48,1.3,24,16.54,15.0,8.24,16.0,4.71
AMWD,2010-11-24,N,19.96,18.45,20.58,18.45,-7.56,20.58,3.1,23,23.64,18.45,18.43,22.75,13.97
AMWD,2011-02-22,N,20.74,20.07,21.99,19.44,-6.26,19.6,-5.49,24,21.99,18.89,-8.91,19.41,-6.41
AMWD,2011-06-03,N,19.11,19.0,22.51,19.0,17.79,19.05,-0.26,14,22.51,15.73,17.79,17.48,-8.52
AMWD,2011-08-23,N,13.84,13.96,14.64,13.31,5.78,14.55,5.13,24,16.37,12.44,18.28,14.03,1.37
AMWD,2011-11-22,N,12.85,12.81,13.48,12.6,4.9,12.6,-1.94,24,13.48,10.88,-15.33,11.39,-11.36
AMWD,2012-02-21,N,13.97,13.68,14.22,13.34,-4.5,13.84,-0.93,24,16.73,13.19,19.75,16.45,17.75
AMWD,2012-06-05,N,16.48,16.46,17.21,15.46,-6.18,16.39,-0.54,10,17.93,15.46,8.79,16.12,-2.18
AMWD,2012-08-21,N,18.23,22.0,22.0,18.3,20.61,18.98,4.11,31,22.0,18.3,20.61,20.35,11.56
AMWD,2012-11-20,N,23.03,24.0,26.26,24.0,14.02,25.86,12.28,31,29.28,24.0,27.13,28.06,21.84
AMWD,2013-02-19,N,31.75,35.24,35.81,32.15,12.78,33.58,5.76,24,35.81,29.4,12.78,33.78,6.39
AMWD,2013-06-04,N,36.45,38.76,39.0,35.85,6.99,36.44,-0.02,17,39.0,32.72,-10.23,33.36,-8.44
AMWD,2013-08-20,N,31.73,33.53,35.07,32.75,10.52,33.21,4.66,31,37.74,32.75,18.94,36.34,14.52
AMWD,2013-11-26,N,37.04,34.0,35.56,33.45,-9.69,35.04,-5.37,24,37.69,33.45,-9.69,37.61,1.56
AMWD,2014-02-18,N,36.36,31.85,34.9,31.11,-14.43,32.02,-11.93,3,34.9,31.11,-14.43,33.04,-9.13
AMWD,2014-06-03,N,27.74,25.11,29.98,25.1,-9.51,28.05,1.11,17,32.4,25.1,16.79,31.47,13.44
AMWD,2014-08-19,N,31.33,35.14,37.74,34.19,20.45,36.88,17.71,31,40.25,34.19,28.47,37.77,20.55
AMWD,2014-11-25,N,40.6,39.13,41.85,37.68,-7.19,40.92,0.78,25,41.85,37.02,-8.81,39.67,-2.29
