Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ANIX,2019-09-10,Y,3.95,3.92,4.1,3.92,3.79,4.04,2.27,10,4.44,3.92,12.4,4.3,8.86
ANIX,2020-01-10,Y,2.87,2.86,2.89,2.74,-4.52,2.77,-3.48,7,3.59,2.74,25.08,3.48,21.25
ANIX,2020-03-11,Y,2.07,2.0,2.01,1.8,-13.04,1.83,-11.59,9,2.12,1.64,-20.77,1.85,-10.62
ANIX,2020-06-09,Y,2.18,2.18,2.28,2.08,4.58,2.12,-2.75,10,2.81,1.85,28.89,2.4,10.09
ANIX,2021-01-07,Y,3.7,3.73,3.96,3.55,7.02,3.91,5.67,8,4.58,3.55,23.78,4.45,20.27
ANIX,2021-06-10,Y,4.33,4.31,4.42,4.24,2.07,4.27,-1.38,8,4.42,3.93,-9.23,3.95,-8.77
ANIX,2021-09-01,Y,5.31,5.32,5.54,5.25,4.33,5.48,3.2,16,5.54,4.55,-14.31,4.9,-7.72
ANIX,2022-01-04,Y,3.06,3.05,3.13,2.74,-10.45,2.78,-9.15,17,3.59,2.71,17.32,3.1,1.3
ANIX,2022-03-11,Y,2.67,2.61,2.81,2.5,-6.36,2.52,-5.61,7,2.85,2.3,-13.85,2.74,2.62
ANIX,2022-06-09,Y,3.67,3.59,3.69,3.42,-6.81,3.44,-6.26,8,3.69,2.93,-20.16,3.11,-15.25
ANIX,2022-09-09,Y,4.14,4.16,4.65,4.16,12.31,4.5,8.69,7,5.71,4.16,37.92,5.71,37.92
ANIX,2023-03-14,Y,4.33,4.37,4.38,4.08,-5.77,4.18,-3.46,3,4.64,4.08,7.15,4.08,-5.77
