Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ANSS,2002-02-05,N,5.55,5.32,5.91,5.32,6.48,5.79,4.32,10,6.43,5.32,15.85,6.04,8.82
ANSS,2002-04-24,N,6.24,6.28,6.5,5.92,-5.12,6.49,4.0,23,6.86,5.88,9.93,6.86,9.93
ANSS,2002-05-29,Y,6.6,6.67,6.72,6.55,1.81,6.62,0.3,23,6.75,5.05,-23.48,5.28,-19.99
ANSS,2002-07-23,N,4.23,4.28,4.75,4.26,12.29,4.62,9.21,24,5.94,4.26,40.42,5.34,26.24
ANSS,2002-08-21,Y,5.85,5.87,5.94,5.78,1.53,5.94,1.53,30,6.05,4.25,-27.35,4.41,-24.61
ANSS,2002-10-24,N,4.9,4.93,4.93,4.05,-17.34,4.67,-4.69,22,5.53,4.05,-17.34,5.0,2.04
ANSS,2002-11-20,Y,5.0,4.96,5.25,4.92,5.0,5.25,5.0,30,5.49,4.54,9.8,4.99,-0.19
ANSS,2003-02-04,N,4.68,4.71,5.32,4.61,13.67,5.05,8.11,17,5.81,4.61,24.14,5.77,23.29
ANSS,2003-04-30,N,6.5,6.5,6.68,6.46,2.76,6.62,1.84,16,7.4,6.46,13.84,6.99,7.53
ANSS,2003-05-28,Y,6.88,6.91,7.12,6.9,3.48,7.06,2.61,23,7.77,6.8,12.93,7.74,12.5
ANSS,2003-07-31,N,8.13,8.16,8.5,8.06,4.55,8.44,3.81,15,8.61,8.06,5.9,8.55,5.16
ANSS,2003-11-05,N,9.14,9.41,10.05,9.23,9.95,9.9,8.31,16,10.22,9.23,11.81,9.75,6.67
ANSS,2004-02-12,N,10.28,10.45,10.51,9.48,-7.78,9.51,-7.49,8,10.51,9.38,-8.75,10.0,-2.72
ANSS,2004-05-04,N,9.1,9.88,10.18,9.4,11.86,9.5,4.39,17,10.18,9.02,11.86,10.02,10.1
ANSS,2004-05-27,Y,10.91,10.92,10.94,10.72,-1.74,10.78,-1.19,22,11.65,10.56,6.78,11.6,6.32
ANSS,2004-07-29,Y,11.32,11.25,12.0,11.25,6.0,11.86,4.77,22,12.19,10.72,7.68,11.22,-0.88
ANSS,2004-11-04,N,14.3,14.94,15.44,14.6,7.97,15.43,7.9,15,16.25,14.6,13.63,15.6,9.09
ANSS,2005-02-15,N,17.2,17.86,19.16,17.85,11.39,18.52,7.67,3,19.16,17.66,11.39,18.32,6.51
ANSS,2005-05-03,Y,16.41,16.37,17.22,16.34,4.93,17.12,4.32,17,17.38,15.86,5.91,17.17,4.63
ANSS,2005-05-26,Y,16.73,16.82,16.84,16.41,-1.97,16.6,-0.83,22,18.48,16.14,10.39,18.02,7.64
ANSS,2005-08-03,N,18.3,18.78,19.85,18.57,8.41,19.61,7.09,16,19.85,18.53,8.41,18.96,3.54
ANSS,2005-11-03,N,19.44,19.94,20.63,19.88,6.12,20.47,5.29,15,21.94,19.88,12.86,21.16,8.84
ANSS,2006-02-14,Y,21.64,21.58,22.06,21.58,1.94,22.06,1.94,3,24.56,21.58,13.49,24.05,11.13
ANSS,2006-04-27,N,28.37,28.37,29.12,27.93,2.64,28.7,1.16,22,29.12,24.78,-12.65,25.28,-10.89
ANSS,2006-05-23,Y,24.58,24.72,25.07,24.28,1.99,24.96,1.54,24,25.64,22.45,-8.66,23.55,-4.19
ANSS,2006-08-03,Y,25.2,25.2,25.81,24.56,-2.53,24.98,-0.87,15,26.26,23.48,-6.82,24.38,-3.25
ANSS,2006-08-24,Y,22.58,22.62,23.02,22.18,1.94,22.28,-1.32,22,23.62,22.05,4.6,22.48,-0.44
ANSS,2006-11-02,N,22.62,24.56,25.96,24.56,14.76,25.26,11.67,15,25.96,23.76,14.76,24.02,6.18
ANSS,2007-02-13,Y,25.64,25.66,26.04,25.64,1.56,25.8,0.62,3,26.1,25.28,1.79,25.88,0.93
ANSS,2007-05-03,N,26.5,28.0,28.0,26.31,5.66,26.49,-0.03,15,28.3,26.02,6.79,27.7,4.52
ANSS,2007-08-02,N,26.56,27.55,30.31,27.5,14.11,30.04,13.1,15,35.64,27.5,34.18,32.26,21.46
ANSS,2007-11-01,N,38.81,40.0,40.54,38.21,4.45,38.22,-1.52,15,41.95,35.79,8.09,38.29,-1.33
ANSS,2008-02-14,Y,34.79,34.54,34.93,34.0,-2.29,34.61,-0.51,1,34.93,34.0,-2.29,34.61,-0.51
ANSS,2008-05-01,N,40.22,41.03,42.17,40.29,4.82,41.76,3.8,15,45.95,40.29,14.21,44.96,11.75
ANSS,2008-05-29,N,43.78,43.73,47.43,43.73,8.33,46.26,5.66,22,49.86,43.73,13.88,46.94,7.21
ANSS,2008-08-07,N,44.75,46.7,49.56,45.24,10.74,46.07,2.94,8,49.56,45.24,10.74,46.68,4.31
ANSS,2008-11-06,Y,28.86,28.87,29.72,28.78,2.97,29.67,2.8,15,31.26,22.62,-21.62,25.63,-11.19
ANSS,2009-02-26,Y,20.69,21.01,21.81,20.07,5.41,20.17,-2.51,22,24.66,18.0,19.18,23.33,12.75
ANSS,2009-05-07,N,27.5,27.85,27.89,26.43,-3.89,26.71,-2.87,8,27.89,25.82,-6.1,26.95,-2.0
ANSS,2009-08-06,N,31.35,33.56,37.11,33.4,18.37,36.25,15.62,15,37.44,33.4,19.42,35.9,14.54
ANSS,2009-11-05,N,41.47,37.99,39.84,36.21,-12.68,39.78,-4.07,15,42.41,36.21,-12.68,39.81,-4.0
