Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AOSL,2011-02-02,Y,14.38,14.28,14.6,14.02,-2.5,14.16,-1.52,16,14.6,12.87,-10.5,13.22,-8.06
AOSL,2011-04-26,Y,13.69,13.84,13.85,13.37,-2.33,13.62,-0.51,24,14.36,13.25,4.89,13.61,-0.58
AOSL,2011-08-10,Y,9.63,8.69,9.26,7.43,-22.84,9.09,-5.6,9,9.4,7.43,-22.84,8.06,-16.3
AOSL,2011-11-02,Y,8.63,8.5,9.01,8.42,4.4,8.86,2.66,16,9.71,8.42,12.51,9.68,12.16
AOSL,2012-01-25,Y,8.19,8.19,9.1,8.17,11.11,9.02,10.13,23,10.7,8.17,30.64,10.62,29.67
AOSL,2012-04-25,Y,9.33,9.55,10.05,9.51,7.71,9.9,6.1,23,10.25,9.51,9.86,9.73,4.28
AOSL,2012-08-14,Y,8.71,9.08,10.45,7.95,19.97,10.34,18.71,3,10.45,7.95,19.97,9.9,13.66
AOSL,2012-10-30,Y,7.89,8.51,8.94,8.0,13.3,8.8,11.53,17,8.94,7.88,13.3,7.91,0.25
AOSL,2013-01-30,Y,8.86,8.46,8.52,7.86,-11.28,8.11,-8.46,16,8.97,7.86,-11.28,8.38,-5.41
AOSL,2013-04-29,Y,8.6,8.15,8.19,6.64,-22.79,7.24,-15.81,18,8.19,6.64,-22.79,7.74,-9.99
AOSL,2013-08-13,Y,7.55,7.9,7.9,7.41,4.63,7.45,-1.32,3,7.9,7.41,4.63,7.43,-1.58
AOSL,2013-10-30,Y,7.73,7.78,7.95,7.34,-5.04,7.36,-4.78,16,7.95,7.23,-6.46,7.29,-5.69
AOSL,2014-02-05,Y,6.83,6.9,7.17,6.9,4.97,6.96,1.9,16,7.47,6.9,9.37,7.12,4.24
AOSL,2014-05-06,Y,7.2,7.14,7.19,6.93,-3.75,7.06,-1.94,10,7.57,6.93,5.13,7.38,2.49
AOSL,2014-08-12,Y,9.22,9.25,9.35,9.21,1.4,9.31,0.97,3,9.35,8.63,-6.39,9.07,-1.62
AOSL,2014-11-06,Y,9.52,9.34,9.36,8.07,-15.23,8.38,-11.97,16,9.36,8.07,-15.23,8.69,-8.71
AOSL,2015-02-03,Y,8.99,8.76,9.19,8.27,-8.0,8.92,-0.77,17,9.19,8.27,-8.0,8.78,-2.22
