Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
APD,2002-01-22,N,44.01,44.25,45.32,43.5,2.97,45.31,2.95,24,48.09,43.5,9.27,47.82,8.65
APD,2002-04-23,N,49.12,46.7,47.82,46.1,-6.14,46.54,-5.25,24,52.58,46.1,7.04,51.59,5.02
APD,2002-07-23,N,41.52,41.52,42.67,40.61,2.76,40.79,-1.73,24,46.32,40.2,11.56,45.18,8.81
APD,2002-10-24,N,43.9,43.7,43.7,41.41,-5.67,41.58,-5.28,22,45.04,40.38,-8.01,42.7,-2.73
APD,2003-01-22,N,42.16,42.18,42.5,41.5,-1.56,41.5,-1.56,30,42.5,37.85,-10.22,38.83,-7.89
APD,2003-04-24,N,43.2,43.2,43.21,42.3,-2.08,42.81,-0.9,22,44.25,41.06,-4.95,43.82,1.43
APD,2003-07-28,N,46.73,46.25,46.5,45.7,-2.2,45.94,-1.69,18,47.41,44.15,-5.52,46.74,0.02
APD,2003-10-28,N,46.11,46.0,46.0,44.12,-4.31,44.5,-3.49,24,47.05,44.12,-4.31,45.47,-1.38
APD,2004-01-21,N,54.38,53.5,53.51,52.1,-4.19,52.29,-3.84,30,53.51,48.14,-11.47,49.63,-8.73
APD,2004-04-28,N,52.45,51.6,51.84,50.7,-3.33,50.95,-2.85,23,51.84,47.49,-9.45,48.61,-7.32
APD,2004-07-28,N,48.78,49.5,49.92,48.9,2.33,49.8,2.09,23,52.8,48.9,8.24,52.56,7.74
APD,2004-10-27,N,53.81,53.81,54.01,52.75,-1.96,53.8,-0.01,23,56.96,51.85,5.85,55.91,3.9
APD,2005-01-26,N,56.9,57.85,58.3,57.59,2.46,57.94,1.82,23,61.12,57.46,7.41,60.89,7.01
APD,2005-04-27,N,56.75,55.85,56.65,55.53,-2.14,56.07,-1.19,23,61.26,55.53,7.94,60.1,5.9
APD,2005-07-27,N,57.89,58.2,59.36,57.9,2.53,59.3,2.43,23,61.6,57.9,6.4,59.61,2.97
APD,2005-10-26,Y,56.77,56.75,57.04,56.04,-1.28,56.19,-1.02,23,60.07,56.04,5.81,60.0,5.68
APD,2006-01-25,N,61.06,62.05,62.5,61.5,2.35,61.5,0.72,23,64.09,60.5,4.96,63.97,4.76
APD,2006-04-26,N,69.16,69.09,69.11,67.54,-2.34,68.14,-1.47,23,69.29,63.7,-7.89,64.34,-6.96
APD,2006-07-26,N,61.81,63.6,64.54,62.75,4.41,63.18,2.21,23,67.0,62.17,8.39,66.17,7.05
APD,2006-10-25,N,69.06,69.7,69.8,68.14,-1.34,68.64,-0.62,23,70.98,68.05,2.76,69.98,1.31
APD,2007-01-24,N,71.27,73.31,74.59,72.81,4.65,73.95,3.76,23,76.97,72.66,7.99,76.67,7.57
APD,2007-04-25,N,74.83,75.98,78.2,75.98,4.5,78.19,4.49,23,79.4,75.72,6.1,78.56,4.98
APD,2007-07-25,N,87.35,87.35,90.64,87.01,3.76,90.1,3.14,23,91.7,77.26,-11.55,85.0,-2.69
APD,2007-10-24,N,97.16,96.3,96.96,94.07,-3.18,95.64,-1.56,23,101.16,94.07,4.11,94.83,-2.39
APD,2008-01-23,N,84.13,84.2,87.21,80.73,-4.04,86.76,3.12,23,93.53,80.73,11.17,91.75,9.05
APD,2008-04-23,N,100.93,102.68,102.68,96.63,-4.26,97.08,-3.81,23,102.9,94.89,-5.98,102.32,1.37
APD,2008-07-23,N,98.68,99.25,99.25,95.9,-2.81,97.7,-0.99,23,100.14,86.16,-12.68,90.55,-8.23
APD,2008-10-22,N,56.88,51.5,55.61,50.71,-10.84,54.98,-3.34,30,61.42,41.46,-27.1,44.44,-21.87
APD,2009-01-21,N,52.64,50.09,54.22,50.08,-4.86,54.1,2.77,30,57.23,49.09,8.71,51.24,-2.65
APD,2009-04-22,N,58.05,57.7,62.76,57.09,8.11,61.19,5.4,23,67.93,57.09,17.01,61.59,6.09
APD,2009-07-22,N,69.7,68.73,69.97,66.52,-4.56,69.88,0.25,30,76.73,66.52,10.08,76.64,9.95
APD,2009-10-21,N,83.24,83.0,83.75,81.67,-1.88,81.97,-1.52,30,85.44,76.73,-7.82,82.34,-1.08
APD,2010-01-22,N,79.86,79.86,80.88,77.97,-2.36,78.06,-2.24,28,81.08,65.05,-18.54,69.64,-12.79
APD,2010-04-22,N,76.67,76.26,77.4,75.34,-1.73,77.31,0.84,29,80.23,64.56,-15.79,66.94,-12.69
APD,2010-07-22,N,70.05,71.09,73.59,70.98,5.05,71.59,2.21,29,77.84,69.89,11.12,75.01,7.08
APD,2010-10-21,N,83.1,83.76,84.96,83.22,2.23,84.93,2.2,29,87.68,82.93,5.51,86.01,3.5
APD,2011-01-21,N,87.26,87.55,88.18,86.23,-1.18,86.51,-0.85,0,88.18,86.23,-1.18,86.51,-0.85
APD,2011-04-21,N,93.72,93.66,94.06,92.72,-1.06,93.92,0.21,29,96.0,89.25,-4.76,91.27,-2.61
APD,2011-07-22,N,95.41,95.18,95.18,91.73,-3.85,91.9,-3.67,28,95.18,74.92,-21.47,75.23,-21.14
APD,2011-10-21,N,83.08,80.9,84.48,78.75,-5.21,82.74,-0.4,0,84.48,78.75,-5.21,82.74,-0.4
APD,2012-01-24,N,89.92,88.17,88.25,86.69,-3.59,87.58,-2.6,24,92.14,86.36,-3.95,92.06,2.37
APD,2012-04-24,N,88.73,85.42,86.58,81.58,-8.05,84.72,-4.51,24,86.85,77.58,-12.56,77.81,-12.3
APD,2012-07-24,N,79.58,79.47,80.09,77.61,-2.47,78.88,-0.87,24,85.17,77.61,7.02,84.42,6.08
APD,2012-10-19,N,85.35,82.95,83.25,79.72,-6.59,79.98,-6.28,0,83.25,79.72,-6.59,79.98,-6.28
APD,2013-01-23,N,89.4,89.45,89.99,87.58,-2.03,88.44,-1.07,23,89.99,86.77,-2.94,88.23,-1.3
APD,2013-04-23,N,86.29,85.72,86.4,84.53,-2.03,85.18,-1.28,24,94.49,84.53,9.5,94.33,9.31
APD,2013-07-23,N,97.88,101.03,101.03,97.89,3.21,100.65,2.82,24,111.0,97.89,13.4,100.89,3.07
APD,2013-10-29,N,109.54,108.21,109.4,107.0,-2.31,107.47,-1.88,17,110.69,106.4,-2.86,110.59,0.95
APD,2014-01-28,N,106.24,106.96,107.95,105.75,1.6,107.79,1.45,24,119.23,102.73,12.22,118.27,11.32
APD,2014-04-23,N,119.17,119.64,120.13,117.32,-1.55,118.47,-0.58,23,120.85,115.63,-2.97,118.5,-0.56
APD,2014-07-23,N,130.33,130.19,136.31,130.05,4.58,136.09,4.41,23,136.9,130.05,5.04,132.78,1.87
APD,2014-10-30,N,128.85,131.0,136.08,131.0,5.61,133.58,3.67,23,145.62,131.0,13.01,144.75,12.33
APD,2015-01-29,N,138.83,143.0,148.05,143.0,6.64,146.99,5.87,22,157.72,141.88,13.6,157.66,13.56
APD,2015-04-30,N,151.87,153.35,153.35,142.27,-6.32,143.43,-5.55,15,153.35,142.27,-6.32,148.47,-2.23
APD,2015-07-30,N,134.13,142.5,144.0,140.5,7.35,142.34,6.11,22,148.56,136.94,10.74,137.49,2.49
APD,2015-10-29,N,142.13,137.52,142.28,135.75,-4.48,137.36,-3.35,22,143.83,134.18,-5.59,139.29,-1.99
APD,2016-01-29,N,119.01,122.29,126.78,121.31,6.52,126.71,6.47,21,137.0,121.31,15.11,131.53,10.52
APD,2016-04-28,N,148.31,147.81,152.16,146.87,2.59,148.54,0.15,22,152.16,140.49,-5.27,141.44,-4.63
APD,2016-07-28,N,149.01,151.49,152.69,148.47,2.46,148.99,-0.01,22,155.94,147.12,4.65,155.68,4.47
APD,2016-10-27,N,132.97,133.5,135.05,129.0,-2.99,133.4,0.31,22,141.13,129.0,6.12,137.96,3.74
APD,2017-01-27,N,148.81,140.0,142.47,137.05,-7.9,142.01,-4.56,21,143.12,137.05,-7.9,141.5,-4.91
APD,2017-04-27,N,141.58,141.28,141.85,137.72,-2.72,141.1,-0.33,23,147.66,137.72,4.29,143.1,1.07
APD,2017-08-01,N,142.15,148.34,149.63,146.15,4.27,148.11,3.21,18,148.9,143.81,4.74,145.76,2.53
APD,2017-10-26,N,154.46,159.85,161.96,158.62,4.76,161.38,4.39,23,163.56,158.17,5.89,161.58,4.6
APD,2018-01-26,N,174.0,164.23,171.28,162.69,-6.5,169.85,-2.38,22,171.28,152.71,-12.23,163.63,-5.95
APD,2018-04-26,N,165.57,164.58,167.14,161.7,-2.33,166.29,0.43,23,168.84,159.07,-3.92,168.24,1.61
APD,2018-07-26,N,157.3,158.81,162.95,158.81,3.59,161.55,2.7,23,166.64,157.01,5.93,166.61,5.91
APD,2018-11-06,N,157.37,155.41,158.28,151.85,-3.5,158.09,0.45,11,164.57,151.85,4.57,163.86,4.12
APD,2019-01-25,N,156.5,160.0,161.9,158.0,3.45,160.91,2.81,22,174.34,158.0,11.39,174.08,11.23
APD,2019-04-24,N,196.67,197.45,201.97,196.16,2.69,199.42,1.39,24,210.15,196.16,6.85,209.92,6.73
APD,2019-07-25,N,224.86,224.0,227.84,219.58,-2.34,227.65,1.24,23,232.47,217.61,3.38,228.76,1.73
APD,2020-01-24,N,237.29,237.54,244.61,237.54,3.08,243.95,2.8,29,257.01,233.36,8.31,254.97,7.45
APD,2020-04-23,N,214.44,218.22,219.79,209.67,2.49,211.27,-1.47,23,234.15,209.67,9.19,228.04,6.34
APD,2020-07-23,N,295.51,289.44,299.82,289.44,-2.05,293.25,-0.76,30,299.82,274.56,-7.08,286.44,-3.06
APD,2020-11-11,N,309.97,297.0,300.16,277.16,-10.58,280.84,-9.39,10,300.16,262.24,-15.39,270.48,-12.73
APD,2021-02-04,N,276.6,261.86,266.0,245.75,-11.15,256.7,-7.19,16,266.0,245.75,-11.15,263.88,-4.59
APD,2021-05-10,N,290.55,297.49,302.85,293.22,4.23,293.53,1.02,14,303.32,291.04,4.39,298.19,2.62
APD,2021-08-09,N,290.82,290.32,291.5,270.77,-6.89,275.75,-5.18,14,291.5,265.05,-8.86,267.44,-8.03
APD,2021-11-04,N,302.13,294.29,301.57,292.02,-3.34,301.21,-0.3,16,316.39,292.02,4.71,297.74,-1.45
APD,2022-02-04,N,280.88,268.38,269.0,260.67,-7.19,263.08,-6.33,15,269.0,239.5,-14.73,241.97,-13.85
APD,2022-05-05,N,247.49,247.56,254.0,233.77,-5.54,235.98,-4.65,16,254.0,225.28,-8.97,237.59,-4.0
APD,2022-08-04,N,245.71,248.1,260.17,248.1,5.88,257.73,4.89,16,274.89,248.1,11.87,263.7,7.32
APD,2022-11-03,N,245.17,248.74,266.24,247.13,8.59,264.02,7.68,16,297.91,247.13,21.51,296.48,20.92
APD,2023-02-02,N,318.13,295.36,299.34,288.54,-9.3,295.5,-7.11,16,299.34,277.51,-12.76,279.71,-12.07
