Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
API,2006-06-29,Y,1.79,1.75,1.76,1.4,-21.78,1.56,-12.29,22,1.85,1.36,-24.02,1.61,-10.05
API,2006-08-14,Y,2.12,1.9,1.95,1.6,-24.52,1.9,-10.37,4,2.35,1.6,-24.52,2.35,10.84
API,2006-11-13,Y,1.99,2.02,2.04,1.98,2.51,2.0,1.0,4,2.2,1.98,10.55,2.14,7.53
API,2007-02-12,Y,2.16,2.08,2.1,1.95,-9.72,1.99,-7.87,4,2.1,1.9,-12.03,1.99,-7.87
API,2007-07-02,N,1.56,1.75,1.75,1.42,11.46,1.47,-6.36,18,1.75,1.42,11.46,1.63,3.82
API,2007-11-12,Y,2.48,2.25,2.29,1.97,-20.56,2.0,-18.95,4,2.29,1.85,-25.4,1.9,-23.38
API,2008-02-11,Y,1.7,1.53,1.54,1.39,-18.23,1.44,-15.29,4,1.55,1.39,-18.23,1.54,-9.41
API,2008-06-30,Y,1.71,1.61,1.65,1.5,-12.28,1.55,-9.35,18,1.66,1.2,-29.82,1.3,-23.97
API,2008-08-11,Y,1.6,1.6,1.9,1.6,18.74,1.8,12.49,4,1.93,1.6,20.62,1.84,14.99
API,2008-11-10,Y,1.14,1.09,1.2,1.09,-5.21,1.1,-4.34,11,1.2,0.73,-36.52,0.76,-33.91
API,2009-02-09,Y,1.02,1.05,1.05,0.76,-25.49,0.79,-22.54,11,1.05,0.68,-33.33,0.71,-30.39
API,2009-06-29,Y,0.66,0.7,0.7,0.63,6.06,0.63,-4.54,18,0.7,0.52,-21.21,0.63,-4.54
API,2009-08-10,Y,0.71,0.74,0.74,0.59,-16.9,0.66,-7.04,11,0.75,0.59,-16.9,0.66,-7.04
API,2009-11-09,Y,0.72,0.68,0.73,0.65,-9.72,0.67,-6.94,11,0.73,0.61,-15.27,0.64,-11.11
API,2010-02-08,Y,0.7,0.67,0.67,0.56,-19.99,0.56,-18.57,11,0.69,0.56,-19.99,0.61,-12.85
API,2010-06-29,Y,0.47,0.45,0.48,0.44,-6.38,0.44,-6.38,17,0.56,0.42,19.14,0.49,4.25
API,2010-08-16,Y,0.62,0.62,0.63,0.59,-4.83,0.63,1.61,4,0.63,0.56,-8.06,0.59,-4.83
API,2010-11-15,Y,1.25,1.22,1.29,1.09,-12.79,1.14,-8.79,4,1.29,1.05,-15.99,1.2,-4.0
