Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
APTO,2014-11-04,Y,6.93,6.81,7.2,6.63,-4.32,7.2,3.89,18,7.45,5.87,-15.29,7.18,3.6
APTO,2015-03-03,Y,5.78,5.95,6.0,5.52,-4.49,5.53,-4.32,17,6.81,5.52,17.82,5.72,-1.03
APTO,2017-03-28,Y,1.1,1.06,1.11,1.0,-9.09,1.06,-3.63,24,1.11,0.86,-21.81,0.9,-18.18
APTO,2017-05-11,Y,1.1,1.12,1.12,1.01,-8.18,1.08,-1.81,8,1.17,1.01,-8.18,1.07,-2.72
APTO,2017-08-08,Y,1.65,1.64,1.64,1.47,-10.9,1.6,-3.03,10,1.64,1.43,-13.33,1.46,-11.51
APTO,2017-11-14,Y,1.7,1.97,2.0,1.8,-8.16,1.9,3.06,217,4.39,1.68,158.23,4.16,144.7
APTO,2018-08-07,Y,2.75,2.69,2.8,2.61,-5.09,2.79,1.45,10,3.17,2.61,15.27,3.0,9.09
APTO,2018-11-06,Y,2.38,2.38,2.66,2.34,11.76,2.38,0.0,10,2.66,1.82,-23.52,2.3,-3.36
APTO,2019-03-12,Y,1.74,1.71,1.9,1.69,9.19,1.81,4.02,3,1.96,1.69,12.64,1.96,12.64
APTO,2019-05-07,Y,2.23,2.26,2.28,2.22,2.24,2.24,0.44,10,2.28,1.95,-12.55,2.09,-6.27
APTO,2020-03-10,Y,7.08,7.0,7.0,5.7,-19.49,5.84,-17.51,10,7.0,4.27,-39.68,5.21,-26.41
APTO,2020-05-05,Y,7.11,6.98,7.45,6.7,-5.76,7.39,3.93,10,9.0,6.7,26.58,7.87,10.68
APTO,2020-08-04,Y,5.14,5.21,5.56,5.05,8.17,5.35,4.08,17,5.56,4.76,8.17,4.98,-3.11
APTO,2020-11-10,Y,4.53,4.62,5.24,4.62,15.67,5.23,15.45,10,6.15,4.62,35.76,5.89,30.02
APTO,2021-03-23,Y,3.67,5.29,7.2,5.15,96.18,6.1,66.21,24,7.2,4.96,96.18,5.12,39.5
APTO,2021-05-04,Y,5.49,5.32,5.34,4.9,-10.74,4.92,-10.38,17,5.45,4.51,-17.85,5.4,-1.63
APTO,2021-08-03,Y,2.63,2.72,2.75,2.59,4.56,2.6,-1.14,17,2.9,2.32,-11.78,2.54,-3.42
APTO,2021-11-11,Y,2.4,2.58,2.76,2.55,14.99,2.64,10.0,8,2.78,2.45,15.83,2.51,4.58
APTO,2022-03-22,Y,1.28,1.19,1.24,1.1,-14.06,1.22,-4.68,23,1.55,1.1,21.09,1.25,-2.34
APTO,2022-05-09,Y,1.12,1.1,1.18,1.02,-8.92,1.07,-4.46,11,1.18,0.9,-19.64,1.07,-4.46
APTO,2022-08-02,Y,0.71,0.78,0.78,0.72,9.85,0.77,8.45,17,0.92,0.72,29.57,0.82,15.49
APTO,2023-03-23,Y,0.57,0.6,0.66,0.55,15.78,0.64,12.28,29,0.68,0.46,19.29,0.49,-14.03
