Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AQN,2017-03-02,Y,9.27,9.35,9.43,9.24,1.72,9.27,0.1,15,9.46,9.06,-2.26,9.42,1.61
AQN,2017-05-11,Y,9.66,9.73,9.73,9.61,0.72,9.68,0.2,8,10.02,9.61,3.72,10.02,3.83
AQN,2017-08-10,Y,10.45,10.33,10.54,10.33,-1.14,10.51,0.57,8,10.75,10.33,2.87,10.73,2.67
AQN,2017-11-14,Y,10.63,10.6,10.85,10.6,2.06,10.81,1.69,3,11.16,10.6,4.98,11.08,4.23
AQN,2021-03-04,Y,15.44,15.6,15.6,14.93,-3.3,15.19,-1.61,15,16.23,14.93,5.11,15.61,1.1
AQN,2021-05-06,Y,15.75,15.9,16.26,15.83,3.23,15.89,0.88,15,16.26,15.06,-4.38,15.45,-1.9
AQN,2021-08-12,Y,15.59,15.56,15.81,15.56,1.41,15.63,0.25,8,15.81,15.24,-2.24,15.64,0.32
AQN,2021-11-11,Y,14.12,14.2,14.24,13.93,-1.34,14.2,0.56,8,14.38,13.93,1.84,14.2,0.56
AQN,2022-03-03,Y,14.6,14.45,14.72,14.34,-1.78,14.7,0.68,15,15.31,14.34,4.86,15.27,4.58
AQN,2022-05-12,Y,13.4,13.58,14.13,13.57,5.44,14.1,5.22,8,14.57,13.57,8.73,14.42,7.61
AQN,2022-08-11,Y,14.47,14.65,14.65,14.33,1.24,14.49,0.13,8,14.65,14.21,-1.79,14.27,-1.38
AQN,2022-11-11,N,11.51,10.47,10.49,9.26,-19.54,9.3,-19.2,8,10.49,7.42,-35.53,7.67,-33.36
AQN,2023-03-17,N,7.67,7.74,8.0,7.67,4.3,7.96,3.78,1,8.0,7.67,4.3,7.96,3.78
