Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ARCE,2019-08-27,Y,49.44,51.65,51.93,45.48,-8.0,49.53,0.18,24,51.93,40.65,-17.77,46.03,-6.89
ARCE,2019-11-26,Y,44.09,44.9,46.1,43.0,4.55,44.68,1.33,24,48.42,41.45,9.82,44.79,1.58
ARCE,2020-03-17,N,42.91,40.03,45.85,35.19,-17.99,42.58,-0.76,4,45.85,34.69,-19.15,40.71,-5.12
ARCE,2020-05-28,N,50.58,45.55,50.27,42.26,-16.44,48.95,-3.22,23,51.19,40.98,-18.97,45.72,-9.6
ARCE,2020-08-17,Y,43.91,43.83,44.55,42.06,-4.21,42.82,-2.48,4,44.55,40.45,-7.87,41.08,-6.44
ARCE,2020-11-30,Y,43.75,43.83,44.44,37.37,-14.58,37.74,-13.73,18,44.44,35.24,-19.45,36.01,-17.69
ARCE,2021-03-31,Y,25.34,25.78,27.97,25.01,10.37,27.1,6.94,16,31.0,25.01,22.33,28.8,13.65
ARCE,2021-05-24,Y,23.36,23.5,26.03,23.3,11.42,23.74,1.62,25,33.99,23.3,45.5,33.24,42.29
ARCE,2021-08-19,Y,26.27,26.0,26.0,22.08,-15.94,24.08,-8.33,1,26.0,22.08,-15.94,24.08,-8.33
ARCE,2021-11-29,Y,19.53,19.83,19.83,17.54,-10.18,18.72,-4.14,18,22.85,17.54,16.99,22.23,13.82
ARCE,2022-03-31,Y,21.1,21.12,22.74,20.91,7.77,22.04,4.45,14,22.74,19.9,7.77,20.14,-4.54
ARCE,2022-05-24,Y,15.64,15.81,17.76,15.7,13.55,17.43,11.44,24,18.07,13.2,-15.6,13.45,-14.0
ARCE,2022-08-18,Y,15.74,15.22,15.53,13.45,-14.54,15.0,-4.7,1,15.53,13.45,-14.54,15.0,-4.7
ARCE,2022-12-01,Y,11.37,11.14,12.98,11.14,14.16,12.41,9.14,15,13.4,11.14,17.85,12.72,11.87
