Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ARCT,2013-01-01,Y,11.54,11.8,11.9,11.68,3.11,11.76,1.9,17,13.09,11.68,13.43,12.98,12.47
ARCT,2018-11-08,N,6.92,7.16,7.25,6.83,4.76,7.16,3.46,9,7.25,6.16,-10.98,6.81,-1.58
ARCT,2018-12-19,N,5.45,5.49,5.49,5.12,-6.05,5.13,-5.87,3,6.37,4.38,-19.63,4.47,-17.98
ARCT,2019-08-14,Y,9.1,9.46,9.7,8.51,6.59,8.8,-3.29,2,11.06,8.51,21.53,10.56,16.04
ARCT,2020-03-11,Y,13.09,13.66,13.78,9.8,-25.13,9.9,-24.36,9,16.16,8.51,-34.98,12.08,-7.71
ARCT,2020-05-07,Y,37.57,39.9,42.0,37.5,11.79,39.23,4.41,8,51.2,37.03,36.27,45.24,20.41
ARCT,2020-08-10,Y,58.91,57.15,57.43,48.89,-17.0,49.25,-16.39,11,66.24,46.56,-20.96,62.65,6.34
ARCT,2020-11-09,Y,34.61,37.2,39.58,34.62,14.36,39.38,13.78,11,61.5,34.62,77.69,60.34,74.34
ARCT,2021-03-01,Y,54.64,53.94,57.24,53.34,4.75,53.96,-1.24,18,57.24,39.13,-28.38,46.4,-15.08
ARCT,2021-05-10,Y,28.91,26.27,27.9,25.22,-12.76,27.23,-5.81,11,32.22,24.87,-13.97,28.81,-0.34
ARCT,2021-08-09,Y,48.24,58.62,65.0,49.78,34.74,50.58,4.85,11,65.0,44.73,34.74,47.9,-0.7
ARCT,2021-11-08,Y,38.65,36.75,37.56,33.84,-12.44,36.23,-6.26,11,38.5,33.84,-12.44,36.45,-5.69
ARCT,2022-02-28,Y,23.97,23.0,23.52,21.54,-10.13,22.08,-7.88,18,26.41,16.93,-29.37,25.57,6.67
ARCT,2022-05-09,Y,16.61,16.6,17.81,15.71,7.22,16.58,-0.18,11,18.44,12.12,-27.03,17.9,7.76
ARCT,2022-08-09,Y,18.23,17.26,18.1,17.02,-6.63,17.48,-4.11,10,21.96,16.45,20.46,16.58,-9.05
ARCT,2022-11-09,Y,21.09,19.84,21.37,18.4,-12.75,19.42,-7.91,9,21.37,16.5,-21.76,16.78,-20.43
