Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ARL,2013-08-12,Y,4.3,4.24,4.28,3.75,-12.99,3.77,-12.52,4,4.28,3.51,-18.56,3.72,-13.68
ARL,2013-11-11,Y,5.84,5.84,6.0,5.56,-4.79,5.88,0.68,4,6.05,5.17,-11.47,5.51,-5.65
ARL,2015-05-13,Y,5.09,4.9,4.95,4.88,-4.31,4.88,-4.31,2,5.07,4.88,-4.31,4.99,-2.15
ARL,2015-08-13,Y,6.55,6.35,6.4,6.35,-3.05,6.4,-2.29,8,6.8,6.35,3.81,6.68,1.98
ARL,2015-11-11,Y,5.42,5.24,5.24,5.24,3.32,5.24,-3.32,9,5.24,4.9,-9.59,4.9,-9.59
ARL,2016-05-12,Y,4.7,4.7,4.7,4.68,-0.42,4.68,-0.21,8,4.7,4.55,-2.97,4.67,-0.63
ARL,2016-08-12,Y,5.82,5.84,5.96,5.84,2.4,5.9,1.37,7,6.7,5.84,15.12,5.89,1.2
ARL,2016-11-16,Y,6.58,6.75,6.75,6.51,2.58,6.75,2.58,2,6.76,6.46,2.73,6.46,-1.82
ARL,2017-03-28,Y,7.9,7.88,8.23,7.51,-4.93,8.06,2.02,24,8.27,7.51,-4.93,7.69,-2.65
ARL,2017-05-15,Y,7.54,7.37,7.49,7.3,-3.18,7.49,-0.66,4,7.71,7.3,-3.18,7.71,2.25
ARL,2017-08-14,Y,8.61,8.01,8.61,8.0,-7.19,8.61,,4,8.61,8.0,-7.19,8.25,-4.29
ARL,2017-11-14,Y,9.69,9.88,10.0,9.71,3.09,9.82,1.23,3,10.02,9.71,3.29,10.0,3.09
