Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ARLO,2018-10-25,Y,14.46,12.5,12.95,11.5,-20.47,12.68,-12.3,22,14.29,11.5,-20.47,13.28,-8.16
ARLO,2019-02-05,Y,7.57,5.07,5.17,3.72,-50.85,3.86,-49.0,10,5.17,3.37,-55.48,3.68,-51.38
ARLO,2019-04-30,Y,3.97,4.41,4.66,4.14,17.38,4.15,4.53,17,4.66,3.84,17.38,4.12,3.77
ARLO,2019-08-06,Y,3.73,3.55,3.57,2.71,-27.34,3.07,-17.69,10,3.57,2.71,-27.34,2.98,-20.1
ARLO,2020-02-24,Y,3.31,3.7,4.66,3.62,40.78,4.0,20.84,25,4.66,1.2,-63.74,1.67,-49.54
ARLO,2020-05-11,Y,2.75,2.66,2.75,2.27,-17.45,2.31,-15.99,4,2.75,1.91,-30.54,2.23,-18.9
ARLO,2020-08-05,Y,4.97,5.62,6.58,5.36,32.39,6.36,27.96,16,6.69,5.36,34.6,6.42,29.17
ARLO,2020-11-05,Y,5.16,5.47,5.7,4.81,10.46,5.04,-2.32,15,5.7,4.58,-11.24,5.37,4.06
ARLO,2021-02-23,Y,6.68,8.32,8.65,7.26,29.49,7.52,12.57,24,8.67,6.15,29.79,8.08,20.95
ARLO,2021-05-05,Y,5.95,6.56,6.85,6.21,15.12,6.47,8.73,16,6.94,5.48,16.63,6.4,7.56
ARLO,2021-08-04,Y,6.12,6.08,6.08,5.5,-10.13,6.03,-1.47,16,6.34,5.5,-10.13,5.73,-6.37
ARLO,2021-11-09,Y,7.01,7.36,7.98,7.25,13.83,7.74,10.41,10,8.39,7.25,19.68,7.9,12.69
ARLO,2022-03-01,Y,8.68,9.99,11.5,9.84,32.48,11.19,28.91,17,11.79,8.97,35.82,9.51,9.56
ARLO,2022-05-10,Y,6.61,6.75,7.06,6.55,6.8,6.63,0.3,10,7.45,6.12,12.7,6.74,1.96
ARLO,2022-08-09,Y,7.18,8.1,8.11,7.56,12.95,7.57,5.43,10,8.11,6.6,12.95,6.63,-7.66
ARLO,2022-11-08,Y,4.68,4.3,4.38,2.93,-37.39,3.28,-29.91,10,4.38,2.93,-37.39,4.1,-12.39
ARLO,2023-03-07,Y,3.57,4.15,5.42,4.15,51.82,5.36,50.14,10,6.08,4.15,70.3,5.77,61.62
