Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ARLP,2002-01-29,Y,13.4,13.4,13.55,13.0,-2.98,13.34,-0.44,17,13.55,10.86,-18.95,12.25,-8.58
ARLP,2002-04-29,Y,12.22,12.1,12.34,12.1,0.98,12.25,0.24,18,12.34,11.86,-2.94,12.12,-0.81
ARLP,2002-07-24,Y,9.36,9.92,10.06,9.36,7.36,9.58,2.24,23,12.0,9.36,28.06,11.75,25.4
ARLP,2002-10-23,Y,11.56,11.8,11.9,11.5,2.94,11.62,0.51,23,12.6,11.5,8.99,12.0,3.8
ARLP,2003-01-28,Y,12.3,12.62,12.75,12.48,3.65,12.5,1.62,24,12.75,11.25,-8.53,11.48,-6.66
ARLP,2003-04-25,Y,12.25,12.36,12.5,12.23,2.04,12.44,1.55,21,13.12,11.6,7.1,12.81,4.57
ARLP,2003-07-25,Y,14.38,14.44,14.53,14.23,1.04,14.31,-0.48,21,14.59,12.74,-11.4,14.0,-2.64
ARLP,2003-10-24,Y,14.82,15.0,15.08,14.63,1.75,14.72,-0.67,28,16.04,14.05,8.23,15.26,2.96
ARLP,2004-01-26,Y,16.73,16.23,17.12,16.23,-3.04,17.12,2.27,25,19.5,16.22,16.48,18.62,11.23
ARLP,2004-04-23,N,18.52,18.64,19.5,18.62,5.29,19.16,3.45,28,20.75,17.84,12.04,19.04,2.8
ARLP,2004-07-22,Y,22.83,22.78,23.49,22.76,2.89,22.78,-0.21,29,26.27,22.14,15.06,24.36,6.7
ARLP,2004-10-22,N,31.56,32.5,32.5,31.42,2.97,31.42,-0.44,28,33.25,27.4,-13.18,32.26,2.21
ARLP,2005-01-27,Y,35.65,35.38,35.94,34.54,-3.14,34.83,-2.32,22,36.86,34.02,-4.59,35.7,0.11
ARLP,2005-04-21,Y,30.67,31.0,32.72,30.85,6.68,32.5,5.96,29,35.0,30.85,14.11,34.6,12.81
ARLP,2005-07-27,N,38.28,39.0,39.61,38.93,3.47,39.35,2.79,23,48.41,38.93,26.46,45.18,18.02
ARLP,2005-10-26,N,43.08,42.48,43.57,41.92,-2.69,42.2,-2.04,23,43.57,39.0,-9.47,40.29,-6.45
ARLP,2006-01-30,Y,37.99,37.83,38.11,37.75,-0.63,38.0,0.02,18,40.7,35.79,7.13,37.08,-2.39
ARLP,2006-04-24,Y,40.68,41.75,41.75,40.78,2.63,41.29,1.49,25,43.79,36.18,-11.06,37.07,-8.87
ARLP,2006-07-31,N,35.81,35.29,36.81,35.29,2.79,36.4,1.64,18,39.0,35.29,8.9,38.0,6.11
ARLP,2006-10-26,Y,36.88,36.9,37.45,36.88,1.54,36.96,0.21,22,37.45,34.0,-7.8,35.07,-4.9
ARLP,2007-01-29,N,33.77,34.0,34.14,33.6,1.09,33.72,-0.11,18,35.54,33.57,5.24,35.15,4.11
ARLP,2007-04-30,Y,39.72,40.11,40.11,39.53,0.98,39.84,0.3,18,41.8,39.43,5.23,41.49,4.45
ARLP,2007-07-30,N,39.19,40.0,41.68,39.01,6.35,39.31,0.3,18,41.68,30.12,-23.14,32.26,-17.68
ARLP,2008-01-31,N,35.34,34.99,36.28,34.65,2.65,35.36,0.05,15,39.97,34.65,13.1,38.65,9.39
ARLP,2008-04-28,N,39.81,41.55,42.43,40.49,6.58,41.74,4.84,18,47.06,39.79,18.21,46.62,17.1
ARLP,2008-07-28,N,44.38,43.27,47.0,42.45,5.9,45.31,2.09,18,49.66,42.45,11.89,45.09,1.59
ARLP,2008-10-27,N,29.11,30.5,31.28,28.0,7.45,28.06,-3.6,25,34.85,17.39,-40.26,19.1,-34.38
ARLP,2009-01-28,N,33.36,32.54,32.95,30.29,-9.22,30.82,-7.64,23,33.32,25.0,-25.08,26.09,-21.81
ARLP,2009-04-27,N,31.92,32.28,33.49,32.25,4.91,33.14,3.82,18,37.97,31.72,18.95,35.14,10.08
ARLP,2009-07-28,N,37.65,36.15,36.56,35.0,-7.06,35.29,-6.26,24,37.26,32.82,-12.85,34.79,-7.59
ARLP,2009-10-28,N,37.88,37.25,37.51,36.22,-4.38,36.52,-3.59,23,39.54,36.22,4.38,38.95,2.82
ARLP,2010-01-27,N,41.43,41.53,42.46,40.5,2.48,41.3,-0.31,23,42.96,37.51,-9.46,42.01,1.39
ARLP,2010-04-26,N,47.77,49.99,52.45,49.0,9.79,49.86,4.37,25,52.45,37.96,-20.53,42.01,-12.05
ARLP,2010-07-26,N,47.37,49.0,50.25,48.56,6.07,49.56,4.62,25,53.99,47.58,13.97,53.5,12.94
ARLP,2010-10-27,N,60.99,60.45,60.74,55.99,-8.19,59.45,-2.52,23,61.8,55.99,-8.19,60.82,-0.27
ARLP,2011-01-28,N,68.14,68.27,69.05,67.5,1.33,68.45,0.46,21,76.73,67.5,12.6,75.36,10.59
ARLP,2011-04-26,N,74.95,75.11,77.0,75.11,2.73,75.95,1.34,24,82.75,66.53,-11.23,72.39,-3.41
ARLP,2011-07-27,N,75.7,75.12,77.19,75.0,1.96,75.5,-0.26,23,80.67,61.0,-19.41,68.34,-9.7
ARLP,2011-10-28,N,72.59,73.0,75.98,72.26,4.65,75.91,4.55,21,76.67,71.31,5.6,71.9,-0.96
ARLP,2012-01-27,N,78.16,77.55,79.41,77.55,1.59,78.25,0.11,21,80.09,70.31,-10.04,70.83,-9.37
ARLP,2012-04-30,N,63.33,63.15,64.68,62.98,2.13,64.58,1.97,18,64.98,56.55,-10.7,56.67,-10.51
ARLP,2012-07-27,N,57.05,58.0,59.48,57.89,4.25,58.82,3.1,21,66.05,57.89,15.77,65.22,14.32
ARLP,2012-10-26,N,63.3,62.98,65.39,62.98,3.3,64.94,2.59,21,66.47,52.21,-17.51,55.72,-11.97
ARLP,2013-01-29,N,63.7,64.81,64.89,63.62,1.86,63.94,0.37,17,64.89,62.0,-2.66,62.57,-1.77
ARLP,2013-04-26,N,67.06,67.23,69.22,67.23,3.22,68.59,2.29,21,75.89,67.23,13.16,74.53,11.13
ARLP,2013-07-26,N,74.78,74.79,76.0,73.55,-1.64,76.0,1.63,21,77.73,72.15,3.94,75.03,0.33
