Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ATNI,2004-03-12,N,12.39,12.58,12.6,12.58,1.69,12.6,1.69,7,12.83,12.39,3.55,12.46,0.56
ATNI,2005-07-28,N,12.14,12.18,12.8,12.18,5.43,12.7,4.61,22,12.83,12.18,5.68,12.78,5.27
ATNI,2005-11-02,Y,13.18,13.22,13.36,13.22,1.36,13.36,1.36,16,16.42,13.22,24.58,15.24,15.62
ATNI,2006-03-07,N,15.96,16.0,16.2,15.9,1.5,16.11,0.93,10,23.4,15.6,46.61,19.8,24.06
ATNI,2006-05-01,Y,23.68,23.55,26.49,23.55,11.86,26.43,11.61,18,29.05,21.0,22.67,22.87,-3.42
ATNI,2006-08-03,Y,18.48,18.66,19.21,18.5,3.95,18.94,2.48,15,19.23,17.89,4.05,19.2,3.89
ATNI,2006-10-31,Y,19.34,20.97,23.35,20.73,20.73,22.1,14.27,17,26.62,20.73,37.64,26.45,36.76
ATNI,2007-03-21,Y,26.16,26.1,26.61,26.01,1.72,26.46,1.14,30,27.09,25.04,-4.28,25.56,-2.29
ATNI,2007-07-30,Y,25.04,27.9,30.09,27.29,20.16,29.18,16.53,18,31.92,25.5,27.47,29.87,19.28
ATNI,2007-11-01,Y,31.22,32.38,35.76,32.36,14.54,35.14,12.55,15,35.76,30.98,14.54,33.06,5.89
ATNI,2008-02-28,Y,29.94,30.81,31.23,29.24,4.3,30.75,2.7,22,34.27,29.24,14.46,33.52,11.95
ATNI,2008-05-05,Y,33.11,32.71,32.78,27.0,-18.47,27.55,-16.81,11,32.78,26.0,-21.49,26.65,-19.53
ATNI,2008-07-31,Y,30.59,30.01,33.61,30.01,9.87,33.5,9.51,15,35.52,30.01,16.11,32.59,6.53
ATNI,2008-11-05,Y,22.14,22.72,22.72,21.43,-3.2,21.68,-2.07,16,23.4,16.32,-26.28,19.43,-12.24
ATNI,2009-03-04,Y,19.91,17.92,18.2,15.79,-20.69,16.0,-19.63,16,21.62,13.93,-30.03,18.76,-5.77
ATNI,2009-04-29,Y,23.73,24.0,24.53,22.01,-7.24,22.08,-6.95,16,26.59,21.42,12.05,22.5,-5.18
ATNI,2009-07-30,Y,41.9,41.18,43.51,40.75,3.84,41.93,0.07,22,44.0,37.99,-9.33,43.82,4.58
ATNI,2009-10-29,Y,45.0,44.78,47.66,44.78,5.91,45.84,1.86,22,55.32,44.78,22.93,49.69,10.42
ATNI,2010-03-04,Y,45.99,43.44,44.2,41.55,-9.65,44.2,-3.89,15,44.39,39.31,-14.52,41.72,-9.28
ATNI,2010-05-06,Y,52.72,51.07,51.07,44.0,-16.54,46.16,-12.44,15,51.07,42.02,-20.29,43.31,-17.84
ATNI,2010-08-05,Y,48.18,48.17,48.45,45.96,-4.6,45.99,-4.54,15,48.8,43.34,-10.04,44.17,-8.32
ATNI,2010-10-28,Y,49.21,47.5,47.57,41.46,-15.74,42.26,-14.12,22,47.57,35.5,-27.86,36.6,-25.62
ATNI,2011-03-01,Y,37.45,34.22,35.39,31.38,-16.2,33.21,-11.32,17,35.39,30.42,-18.77,33.86,-9.55
ATNI,2011-05-03,Y,37.82,38.7,38.7,37.58,2.32,37.78,-0.1,17,40.67,37.58,7.53,38.65,2.19
ATNI,2011-08-02,Y,34.29,34.44,35.81,32.77,-4.46,34.86,1.66,17,36.53,30.52,-11.02,31.52,-8.1
ATNI,2011-11-02,Y,36.61,37.38,42.77,37.38,16.79,42.49,16.02,16,42.77,37.38,16.79,40.13,9.58
ATNI,2012-03-01,Y,37.65,37.46,37.46,34.54,-8.28,35.02,-7.01,15,38.22,34.54,-8.28,37.29,-0.98
ATNI,2012-05-02,Y,33.61,34.74,41.66,34.74,23.91,39.71,18.11,16,41.66,34.19,23.91,34.53,2.7
ATNI,2012-08-01,Y,34.85,34.7,37.1,34.7,6.45,36.95,6.02,16,39.74,34.7,14.03,39.57,13.54
ATNI,2012-10-29,Y,38.93,41.49,42.63,40.04,9.5,41.51,6.62,18,42.63,36.36,9.5,37.65,-3.26
ATNI,2013-02-21,Y,44.34,44.86,48.93,43.8,10.35,48.63,9.67,22,49.95,43.8,12.65,45.22,1.98
