Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ATRA,2016-03-03,Y,18.3,18.25,18.55,15.78,-13.77,15.88,-13.22,15,19.73,13.7,-25.13,16.86,-7.86
ATRA,2016-05-05,Y,15.29,14.98,15.54,14.63,-4.31,15.14,-0.98,15,17.23,14.28,12.68,16.84,10.13
ATRA,2016-08-04,Y,24.7,24.8,25.73,24.52,4.17,24.87,0.68,15,25.73,20.75,-15.99,22.33,-9.59
ATRA,2017-03-08,N,16.85,16.95,17.8,16.7,5.63,17.3,2.67,9,23.0,16.7,36.49,20.05,18.99
ATRA,2017-05-04,N,15.75,15.85,16.2,15.4,2.85,15.95,1.26,16,16.5,13.75,-12.69,15.15,-3.8
ATRA,2017-08-07,Y,15.55,15.6,15.6,14.63,-5.91,14.8,-4.82,11,15.6,13.15,-15.43,13.35,-14.14
ATRA,2017-11-06,Y,16.15,16.14,16.2,15.1,-6.5,15.1,-6.5,11,16.2,12.65,-21.67,14.6,-9.59
ATRA,2019-02-27,N,37.26,36.81,36.95,34.86,-6.44,36.2,-2.84,17,41.14,34.86,10.41,38.34,2.89
ATRA,2019-08-09,N,12.54,12.2,13.46,12.2,7.33,13.31,6.14,8,14.3,12.2,14.03,14.06,12.12
ATRA,2020-02-27,N,11.17,10.52,11.94,10.18,-8.86,11.48,2.77,23,13.52,4.52,-59.53,8.1,-27.48
ATRA,2020-05-07,N,8.5,8.77,9.26,8.67,8.94,9.15,7.64,9,11.88,8.67,39.76,10.77,26.7
ATRA,2020-08-05,Y,12.71,13.2,13.5,12.2,6.21,12.55,-1.25,16,13.66,11.33,-10.85,12.67,-0.31
ATRA,2020-11-09,Y,14.4,14.95,15.78,14.48,9.58,15.58,8.19,11,23.5,14.48,63.19,22.98,59.58
ATRA,2021-03-01,Y,17.11,16.55,18.1,16.12,5.78,16.94,-0.99,18,18.1,14.72,-13.96,15.04,-12.09
ATRA,2021-05-04,Y,13.65,13.83,14.17,13.42,3.8,13.5,-1.09,17,15.5,12.67,13.55,13.77,0.87
ATRA,2021-08-09,Y,12.49,13.15,13.66,12.61,9.36,12.74,2.0,11,13.66,11.81,9.36,12.63,1.12
ATRA,2021-11-04,N,18.75,18.37,20.04,18.08,6.87,19.89,6.08,16,20.04,16.3,-13.06,18.3,-2.39
ATRA,2022-02-28,Y,12.85,12.1,12.83,9.93,-22.72,10.21,-20.54,18,12.83,8.24,-35.87,9.79,-23.81
ATRA,2022-05-05,Y,6.82,6.5,7.14,6.4,-6.15,6.92,1.46,15,7.14,4.7,-31.08,5.16,-24.34
ATRA,2022-08-08,Y,3.63,3.85,4.92,3.69,35.53,4.69,29.2,11,5.94,3.69,63.63,4.45,22.58
ATRA,2022-11-08,Y,4.9,4.6,4.67,3.88,-20.81,3.88,-20.81,10,5.61,3.88,-20.81,4.27,-12.85
ATRA,2023-02-08,Y,5.04,4.77,5.24,4.6,-8.73,4.77,-5.35,9,5.24,4.06,-19.44,4.52,-10.31
