Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AVDL,2017-03-07,N,10.19,12.3,12.3,9.51,20.58,9.84,-3.52,10,12.3,9.5,20.58,9.56,-6.27
AVDL,2017-05-09,N,9.1,10.25,10.36,9.52,13.84,9.72,6.81,11,10.36,8.75,13.84,9.82,7.91
AVDL,2017-08-08,N,9.23,9.19,9.58,8.77,-4.87,8.81,-4.55,11,9.58,8.14,-11.8,8.78,-4.87
AVDL,2017-11-08,N,9.53,9.68,9.69,9.23,-3.14,9.31,-2.3,10,9.69,8.74,-8.28,9.23,-3.14
AVDL,2018-03-08,N,8.19,8.12,8.22,6.92,-15.5,7.35,-10.25,9,8.22,6.76,-17.46,7.12,-13.06
AVDL,2018-05-02,N,6.57,6.56,6.88,6.17,-6.08,6.75,2.73,17,7.2,6.17,9.58,6.98,6.24
AVDL,2018-08-07,N,6.02,5.7,5.85,4.66,-22.59,5.2,-13.62,11,5.85,4.53,-24.75,4.7,-21.92
AVDL,2018-11-05,N,4.02,3.62,3.95,2.8,-30.34,3.06,-23.88,14,3.95,2.8,-30.34,3.32,-17.41
AVDL,2019-05-08,N,1.2,1.2,1.31,1.11,9.16,1.2,0.0,10,1.42,1.09,18.33,1.32,10.0
AVDL,2019-08-09,N,2.2,2.2,2.2,1.95,-11.36,1.95,-11.36,8,2.2,1.82,-17.27,2.07,-5.9
AVDL,2020-03-12,N,7.99,7.62,7.9,6.01,-24.78,6.35,-20.52,9,7.9,4.0,-49.93,6.09,-23.77
AVDL,2020-08-10,N,8.36,8.5,8.5,7.69,-8.01,7.85,-6.1,14,9.02,7.62,-8.85,8.25,-1.31
AVDL,2020-11-09,N,5.4,5.8,6.12,5.59,13.33,5.99,10.92,14,7.28,5.59,34.81,6.95,28.7
AVDL,2021-03-09,N,7.53,7.56,8.15,7.54,8.23,8.02,6.5,11,10.32,7.54,37.05,9.15,21.51
AVDL,2021-05-10,N,8.17,8.23,8.39,7.78,-4.77,8.08,-1.1,14,8.57,7.12,-12.85,7.92,-3.05
AVDL,2021-08-09,N,7.9,7.92,8.0,7.61,-3.67,7.79,-1.39,14,8.5,7.28,-7.84,7.79,-1.39
AVDL,2021-11-08,N,10.42,10.09,11.45,9.98,9.88,10.94,4.99,14,11.59,9.56,11.22,9.78,-6.14
AVDL,2022-03-17,N,7.03,7.25,7.94,7.25,12.94,7.32,4.12,2,7.94,7.17,12.94,7.36,4.69
AVDL,2022-05-09,N,4.18,4.25,4.33,3.82,-8.61,3.93,-5.98,14,4.43,3.49,-16.5,3.84,-8.13
AVDL,2022-08-09,N,6.31,6.12,7.63,5.95,20.91,7.31,15.84,11,7.63,5.95,20.91,6.68,5.86
AVDL,2022-11-09,N,6.22,6.06,6.45,5.64,-9.32,5.73,-7.87,10,8.73,5.64,40.35,8.03,29.09
