Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AVNW,2002-01-16,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2002-04-24,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2002-07-24,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2002-10-17,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2003-01-22,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2003-04-29,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2003-07-23,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2003-10-22,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2004-01-21,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2004-04-28,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVNW,2004-07-21,Y,2.46,2.4,2.58,2.25,-8.9,2.5,1.61,30,2.58,2.15,-12.95,2.53,2.42
AVNW,2004-10-25,Y,2.1,2.08,2.08,1.75,-16.66,1.86,-11.42,25,2.09,1.65,-21.42,1.85,-11.9
AVNW,2005-01-27,N,2.24,2.18,2.35,2.18,4.91,2.29,2.67,22,2.35,2.02,-9.82,2.19,-2.23
AVNW,2005-05-09,Y,1.68,1.52,1.64,1.52,-9.52,1.61,-4.16,11,1.68,1.44,-14.28,1.65,-1.78
AVNW,2005-08-03,Y,2.23,2.2,2.29,2.14,-4.03,2.25,0.89,16,2.44,2.14,9.41,2.4,7.62
AVNW,2005-11-02,Y,2.6,2.65,2.85,2.65,9.61,2.71,4.23,16,3.18,2.65,22.3,3.02,16.15
AVNW,2006-02-02,Y,4.07,4.5,4.5,4.19,10.56,4.24,4.17,15,5.09,4.19,25.06,5.07,24.57
AVNW,2006-05-18,Y,5.0,5.16,5.19,3.95,-20.99,4.15,-16.99,1,5.19,3.95,-20.99,4.15,-16.99
AVNW,2006-08-02,Y,3.56,3.45,3.49,3.02,-15.16,3.23,-9.26,16,3.49,3.02,-15.16,3.39,-4.77
AVNW,2006-11-01,Y,4.49,4.43,4.48,4.18,-6.9,4.42,-1.55,16,4.67,4.18,-6.9,4.38,-2.44
AVNW,2007-01-29,Y,20.0,20.52,20.52,19.5,2.59,20.2,0.99,18,22.4,19.5,11.99,20.72,3.59
AVNW,2007-05-01,Y,19.84,15.1,16.11,14.85,-25.15,15.75,-20.61,17,16.29,14.85,-25.15,15.97,-19.5
AVNW,2007-08-07,Y,17.35,18.89,20.9,18.76,20.46,20.34,17.23,10,20.9,18.1,20.46,19.59,12.91
AVNW,2007-11-01,Y,18.52,18.88,19.97,18.5,7.82,19.86,7.23,15,19.97,17.41,7.82,18.48,-0.16
AVNW,2008-01-30,Y,14.33,11.55,11.98,10.11,-29.44,10.89,-24.0,16,11.98,9.93,-30.7,10.45,-27.07
AVNW,2008-04-29,Y,9.06,9.53,9.65,9.08,6.51,9.49,4.74,17,10.94,8.92,20.75,10.87,19.97
AVNW,2008-09-18,Y,7.92,8.57,9.09,8.27,14.77,8.5,7.32,1,9.09,8.27,14.77,8.5,7.32
AVNW,2008-10-29,Y,5.5,5.76,6.57,5.76,19.45,6.32,14.9,23,7.5,4.13,36.36,5.01,-8.9
AVNW,2009-02-04,Y,6.44,6.14,6.41,5.69,-11.64,5.88,-8.69,16,6.41,4.45,-30.9,4.45,-30.9
AVNW,2009-05-05,Y,4.46,4.5,5.17,4.36,15.91,5.05,13.22,10,6.47,4.36,45.06,5.57,24.88
AVNW,2009-08-20,Y,6.39,6.07,6.13,5.8,-9.23,5.91,-7.51,1,6.13,5.8,-9.23,5.91,-7.51
AVNW,2009-11-05,Y,6.6,6.11,6.74,5.86,-11.21,5.99,-9.24,15,6.74,5.81,-11.96,6.38,-3.33
AVNW,2010-02-03,Y,7.27,6.65,6.76,5.98,-17.74,6.24,-14.16,16,6.76,5.85,-19.53,6.38,-12.24
AVNW,2010-05-05,Y,6.05,5.25,5.25,4.72,-21.98,4.75,-21.48,16,5.25,4.12,-31.9,4.38,-27.43
AVNW,2010-08-25,Y,3.84,3.77,4.09,3.7,6.51,4.0,4.16,23,4.26,3.7,10.93,3.93,2.34
AVNW,2010-11-04,Y,4.72,4.7,4.7,4.37,-7.41,4.38,-7.2,15,4.7,4.01,-15.04,4.26,-9.53
AVNW,2011-02-03,Y,5.22,6.06,6.5,6.03,24.52,6.23,19.34,15,6.5,5.82,24.52,6.26,19.92
AVNW,2011-05-05,Y,4.74,4.62,4.72,4.4,-7.17,4.63,-2.32,15,4.93,4.4,-7.17,4.58,-3.37
AVNW,2011-08-24,Y,2.97,2.72,2.79,2.4,-19.19,2.46,-16.83,23,2.86,2.25,-24.24,2.76,-7.07
AVNW,2011-11-02,Y,2.06,1.93,2.31,1.93,11.59,2.28,10.14,16,2.31,1.91,11.59,1.98,-4.34
AVNW,2012-02-01,Y,2.39,2.49,2.49,2.19,-8.36,2.29,-4.18,16,2.85,2.19,19.24,2.82,17.99
AVNW,2012-05-02,Y,2.63,2.94,3.03,2.84,15.2,2.85,8.36,16,3.03,2.4,15.2,2.42,-7.98
AVNW,2012-08-15,Y,2.35,2.29,2.5,2.27,6.38,2.46,5.1,2,2.5,2.27,6.38,2.5,6.38
AVNW,2012-11-01,Y,2.29,2.79,2.95,2.6,28.26,2.65,15.21,15,2.95,2.31,28.26,2.41,4.78
AVNW,2013-01-30,Y,3.74,3.32,3.77,3.22,-13.9,3.75,0.26,16,3.9,3.22,-13.9,3.75,0.26
AVNW,2013-05-01,Y,2.97,2.82,3.0,2.5,-15.82,2.57,-13.46,16,3.0,2.5,-15.82,2.65,-10.77
AVNW,2013-08-14,Y,2.57,2.54,2.57,2.38,-7.39,2.39,-7.0,2,2.57,2.31,-10.11,2.46,-4.28
AVNW,2013-10-30,Y,2.11,2.09,2.09,1.94,-8.05,2.06,-2.36,16,2.17,1.92,-9.0,2.08,-1.42
AVNW,2014-02-06,Y,1.9,1.88,2.0,1.81,5.26,2.0,5.78,15,2.08,1.81,9.47,2.02,6.84
AVNW,2014-05-06,Y,1.49,1.3,1.3,1.04,-30.2,1.09,-26.84,10,1.3,0.99,-33.55,1.04,-30.2
AVNW,2014-09-02,Y,1.56,1.62,1.63,1.39,-10.89,1.44,-7.69,17,1.8,1.39,15.38,1.73,10.89
AVNW,2014-12-10,Y,1.43,1.45,1.55,1.39,8.39,1.42,-0.69,10,1.59,1.35,11.18,1.55,8.39
AVNW,2015-01-29,Y,1.39,1.41,1.41,1.26,-9.35,1.28,-7.91,22,1.41,1.09,-21.58,1.27,-8.63
AVNW,2015-05-07,Y,1.14,1.11,1.23,1.11,7.89,1.14,0.87,8,1.24,1.11,8.77,1.21,6.14
AVNW,2016-02-10,Y,0.57,0.59,0.67,0.52,15.51,0.55,-5.17,9,0.8,0.52,37.93,0.74,27.58
AVNW,2016-05-11,Y,0.67,0.69,0.69,0.64,-4.47,0.64,-4.47,9,0.69,0.56,-16.41,0.57,-13.43
AVNW,2016-09-08,Y,9.05,8.9,9.0,8.34,-7.84,8.35,-7.73,8,9.0,8.08,-10.71,8.9,-1.65
AVNW,2016-11-14,Y,9.19,9.25,10.6,9.25,15.21,10.37,12.71,4,11.22,9.25,21.95,11.22,21.95
AVNW,2017-02-08,Y,12.02,14.42,14.82,13.8,23.29,13.82,14.97,9,14.95,13.8,24.37,14.68,22.12
AVNW,2017-05-11,Y,19.25,19.07,20.65,18.05,7.27,20.14,4.67,8,21.85,17.61,13.5,18.91,-1.76
AVNW,2017-09-06,Y,14.75,15.32,17.84,14.72,20.94,16.71,13.28,9,17.84,14.72,20.94,16.79,13.83
AVNW,2017-11-13,Y,12.9,15.22,15.98,14.23,23.87,15.98,23.87,4,16.98,14.23,31.62,15.76,22.17
AVNW,2021-05-05,Y,34.03,28.71,30.0,26.09,-23.33,28.35,-16.69,16,36.0,26.09,-23.33,35.67,4.81
AVNW,2021-08-25,Y,38.72,38.54,38.71,33.04,-14.66,33.59,-13.24,23,38.71,33.04,-14.66,34.34,-11.31
AVNW,2021-11-03,Y,30.97,31.61,32.94,30.92,6.36,32.19,3.93,16,33.74,29.51,8.94,30.13,-2.71
AVNW,2022-02-02,Y,30.92,32.25,33.66,29.67,8.86,29.74,-3.81,16,33.66,28.13,-9.02,28.89,-6.56
AVNW,2022-05-04,Y,31.67,31.94,31.94,30.04,-5.14,30.16,-4.76,16,31.94,26.45,-16.48,29.74,-6.09
AVNW,2022-08-23,Y,32.37,33.0,33.12,30.49,-5.8,32.72,1.08,24,33.59,30.49,-5.8,31.55,-2.53
