Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AVT,2002-01-24,N,23.85,23.85,24.53,23.82,2.85,24.15,1.25,22,26.91,23.81,12.83,25.64,7.5
AVT,2002-04-23,Y,27.53,27.4,27.45,25.85,-6.1,25.95,-5.73,24,27.45,23.05,-16.27,25.05,-9.0
AVT,2002-08-07,Y,15.32,15.35,16.23,14.88,5.93,16.13,5.28,9,17.0,14.3,10.96,16.7,9.0
AVT,2002-10-24,Y,8.0,8.01,9.0,8.01,12.5,8.84,10.49,22,10.4,8.01,30.0,9.21,15.12
AVT,2003-01-23,Y,10.57,10.65,11.01,10.4,4.16,10.74,1.6,29,11.25,9.31,-11.92,10.31,-2.45
AVT,2003-04-24,Y,12.72,12.6,12.7,12.16,-4.4,12.41,-2.43,22,13.25,11.53,-9.35,12.5,-1.72
AVT,2003-08-06,Y,13.55,13.25,13.28,12.18,-10.11,12.5,-7.74,9,14.35,12.18,-10.11,14.1,4.05
AVT,2003-10-30,Y,18.67,19.0,19.6,18.89,4.98,19.39,3.91,22,21.94,18.89,17.51,20.46,9.58
AVT,2004-01-29,Y,24.46,25.11,27.52,25.11,12.51,26.35,7.72,22,27.52,23.39,12.51,23.75,-2.9
AVT,2004-04-29,Y,22.46,23.97,23.99,21.01,6.81,21.64,-3.65,22,23.99,20.87,-7.07,21.99,-2.09
AVT,2004-08-11,Y,17.14,17.14,17.21,16.47,-3.96,16.64,-2.91,9,17.87,16.12,-6.0,17.43,1.63
AVT,2004-10-28,Y,16.98,16.14,17.28,16.04,-5.53,16.96,-0.11,22,18.98,16.04,11.77,18.1,6.59
AVT,2005-01-27,Y,16.64,17.0,17.8,16.93,6.9,17.39,4.44,22,19.45,16.93,16.81,18.76,12.67
AVT,2005-04-28,N,17.72,17.72,18.04,17.52,1.8,17.55,-0.9,22,19.39,17.52,9.42,19.35,9.19
AVT,2005-08-10,Y,23.49,23.5,24.5,23.5,4.29,24.07,2.46,9,24.63,23.4,4.85,23.75,1.1
AVT,2005-10-27,Y,22.75,22.75,22.9,22.31,-1.93,22.7,-0.21,22,23.44,22.07,3.03,23.29,2.37
AVT,2006-01-25,Y,25.24,25.1,25.24,24.09,-4.55,24.09,-4.55,23,26.5,23.75,-5.9,25.9,2.61
AVT,2006-04-27,Y,26.05,26.05,26.42,26.0,1.42,26.15,0.38,22,27.0,22.21,-14.74,22.48,-13.7
AVT,2006-08-09,Y,16.98,16.98,17.07,16.71,-1.59,16.96,-0.11,9,20.12,16.71,18.49,19.85,16.9
AVT,2006-10-26,Y,22.67,22.68,23.24,22.45,2.51,22.45,-0.97,22,25.9,22.45,14.24,25.68,13.27
AVT,2007-01-25,Y,29.6,29.85,29.95,29.3,1.18,29.66,0.2,22,36.17,29.3,22.19,35.31,19.29
AVT,2007-04-26,N,39.36,39.38,42.26,38.5,7.34,41.87,6.35,22,43.71,38.5,11.02,42.29,7.41
AVT,2007-08-08,N,36.5,38.75,40.29,35.22,10.38,36.17,-0.9,9,41.1,32.43,12.6,39.06,7.01
AVT,2007-10-25,N,39.59,42.18,42.44,38.69,7.19,40.04,1.16,22,42.44,32.79,-17.17,33.43,-15.55
