Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AVXL,2015-12-28,Y,7.03,5.96,6.74,5.54,-21.19,6.28,-10.66,18,6.74,3.3,-53.05,4.01,-42.95
AVXL,2016-05-11,N,4.49,4.47,4.67,4.28,-4.67,4.38,-2.22,9,4.67,3.87,-13.8,4.43,-1.33
AVXL,2016-08-11,N,3.03,3.1,3.16,3.0,4.29,3.02,-0.33,8,3.88,3.0,28.05,3.21,5.94
AVXL,2016-11-09,Y,3.23,3.33,3.33,3.12,-3.4,3.21,-0.61,9,3.48,3.11,7.73,3.28,1.54
AVXL,2016-12-12,N,4.34,4.65,4.88,4.43,12.18,4.88,12.18,4,4.88,3.89,12.18,4.08,-6.2
AVXL,2017-08-09,N,3.74,3.71,3.76,3.33,-10.96,3.42,-8.55,10,4.19,3.33,12.03,3.93,5.08
AVXL,2017-12-12,N,3.3,3.27,3.46,3.2,4.84,3.2,-3.03,4,3.46,3.06,-7.27,3.15,-4.54
AVXL,2018-02-07,N,2.85,3.02,3.02,2.51,-11.92,2.65,-7.01,10,3.02,2.45,-14.03,2.58,-9.47
AVXL,2018-08-09,Y,2.83,2.79,2.81,2.69,-4.94,2.74,-3.18,8,2.85,2.62,-7.42,2.71,-4.24
AVXL,2018-12-12,N,2.12,2.11,2.19,2.11,3.3,2.12,0.0,10,2.19,1.4,-33.96,1.41,-33.49
AVXL,2019-05-09,N,3.05,3.0,3.09,2.91,-4.59,3.07,0.65,9,3.57,2.91,17.04,3.47,13.77
AVXL,2019-08-07,Y,2.47,2.5,2.64,2.43,6.88,2.5,1.21,9,2.73,2.26,10.52,2.71,9.71
AVXL,2019-12-16,N,2.44,2.44,2.51,2.42,2.86,2.49,2.04,7,2.54,2.35,4.09,2.45,0.4
AVXL,2020-02-06,Y,4.15,4.17,4.59,3.87,10.6,3.99,-3.85,15,6.31,3.87,52.04,5.09,22.65
AVXL,2020-05-07,Y,3.34,3.36,3.53,3.25,5.68,3.48,4.19,8,4.24,3.25,26.94,3.5,4.79
AVXL,2020-08-06,N,4.55,5.0,5.05,3.72,-18.24,4.24,-6.81,16,5.05,3.72,-18.24,4.39,-3.51
AVXL,2020-12-28,Y,5.62,5.55,5.74,5.26,-6.4,5.51,-1.95,18,6.24,5.12,11.03,5.82,3.55
AVXL,2021-02-11,Y,12.71,12.36,13.9,11.8,9.36,13.21,3.93,8,13.9,11.8,9.36,12.54,-1.33
AVXL,2021-05-13,Y,10.16,10.4,11.28,10.19,11.02,11.08,9.05,8,12.1,10.19,19.09,11.68,14.96
AVXL,2021-08-12,Y,19.27,19.12,20.97,18.59,8.82,19.55,1.45,8,20.97,18.03,8.82,18.36,-4.72
AVXL,2021-11-24,Y,18.99,18.2,19.95,18.1,5.05,19.45,2.42,23,21.3,16.25,-14.42,18.14,-4.47
AVXL,2022-02-09,Y,11.74,11.61,13.28,11.41,13.11,12.64,7.66,9,13.28,11.31,13.11,11.39,-2.98
AVXL,2022-05-10,Y,7.69,7.69,8.16,7.23,6.11,7.31,-4.94,10,9.66,7.13,25.61,9.62,25.09
AVXL,2022-08-09,Y,10.8,11.13,11.67,11.04,8.05,11.67,8.05,10,11.97,9.96,10.83,10.08,-6.66
AVXL,2022-11-28,N,11.89,12.46,12.49,8.87,-25.39,9.1,-23.46,21,13.23,7.63,-35.82,8.64,-27.33
AVXL,2023-02-07,N,11.11,11.0,11.93,10.78,7.38,11.75,5.76,11,11.93,10.18,-8.37,10.58,-4.77
