Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
AWAY,2011-07-27,Y,42.77,42.46,43.48,39.0,-8.81,41.39,-3.22,23,43.48,30.07,-29.69,34.97,-18.21
AWAY,2011-10-27,Y,37.32,36.4,38.11,33.06,-11.41,33.71,-9.67,22,38.11,30.52,-18.22,31.11,-16.63
AWAY,2012-02-22,Y,26.05,24.02,24.77,21.23,-18.5,24.01,-7.83,23,27.38,21.23,-18.5,26.22,0.65
AWAY,2012-04-24,Y,25.1,25.73,26.33,24.45,4.9,25.12,0.07,24,26.87,24.26,7.05,24.74,-1.43
AWAY,2012-07-25,Y,21.55,20.85,23.04,20.85,6.91,22.42,4.03,23,25.1,20.85,16.47,25.0,16.0
AWAY,2012-11-01,Y,25.9,26.05,26.05,22.56,-12.89,22.97,-11.31,15,26.05,20.0,-22.77,21.37,-17.49
AWAY,2013-02-20,Y,25.04,27.0,28.74,27.0,14.77,28.38,13.33,23,31.25,27.0,24.8,30.33,21.12
AWAY,2013-04-23,Y,33.81,31.21,33.0,31.15,-7.86,32.02,-5.29,24,33.0,28.13,-16.79,30.21,-10.64
AWAY,2013-07-25,Y,33.42,31.53,32.5,30.5,-8.73,31.72,-5.08,22,32.5,29.12,-12.86,29.58,-11.49
AWAY,2013-11-06,Y,29.09,34.9,34.93,33.29,20.07,33.7,15.84,9,39.22,32.63,34.82,38.25,31.48
AWAY,2014-02-19,Y,42.96,45.98,48.9,44.73,13.82,48.36,12.56,2,48.9,44.73,13.82,47.74,11.12
AWAY,2014-04-24,Y,36.94,34.86,35.58,33.26,-9.96,33.32,-9.79,22,35.58,29.8,-19.32,30.65,-17.02
AWAY,2014-07-24,Y,32.65,36.5,36.9,34.0,13.01,35.57,8.94,22,36.9,31.61,13.01,33.02,1.13
AWAY,2014-11-04,Y,33.75,32.86,32.86,28.5,-15.55,28.58,-15.31,18,32.86,28.06,-16.85,30.66,-9.15
AWAY,2015-02-24,Y,31.38,31.73,33.72,31.44,7.45,33.15,5.67,24,33.72,30.08,7.45,31.29,-0.28
AWAY,2015-04-23,Y,32.17,28.6,29.02,27.11,-15.72,27.18,-15.51,22,29.02,26.51,-17.59,28.14,-12.52
AWAY,2015-08-04,Y,28.48,30.85,31.86,30.37,11.86,31.07,9.09,17,31.86,29.08,11.86,29.2,2.52
AWAY,2015-11-04,Y,32.04,39.54,40.76,39.17,27.21,40.15,25.31,16,40.76,34.54,27.21,36.01,12.39
