Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BABA,2014-11-04,N,101.8,100.42,106.36,99.51,4.47,106.07,4.19,18,120.0,99.51,17.87,113.92,11.9
BABA,2015-01-29,N,98.45,90.53,90.74,87.36,-11.26,89.81,-8.77,22,92.0,85.42,-13.23,86.64,-11.99
BABA,2015-05-07,N,80.0,88.83,89.29,84.91,11.61,86.0,7.5,8,89.29,84.91,11.61,88.46,10.57
BABA,2015-08-12,N,77.34,72.31,73.84,71.03,-8.15,73.38,-5.12,9,76.73,68.18,-11.84,68.18,-11.84
BABA,2015-10-27,N,76.34,82.11,82.79,78.25,8.43,79.44,4.04,24,86.42,75.64,13.18,79.95,4.71
BABA,2016-01-28,N,69.54,72.55,73.15,66.67,5.19,66.92,-3.76,22,73.15,59.25,-14.79,67.28,-3.24
BABA,2016-05-05,N,75.81,79.52,79.94,78.09,5.43,78.83,3.96,15,80.48,76.97,6.14,78.79,3.91
BABA,2016-08-11,N,87.33,92.14,92.8,91.26,6.26,91.77,5.08,8,98.86,91.26,13.2,96.86,10.91
BABA,2016-11-02,N,101.15,103.85,104.1,97.3,-3.8,98.51,-2.6,16,104.1,87.88,-13.11,93.39,-7.67
BABA,2017-01-24,N,98.41,103.15,103.19,99.94,4.85,101.43,3.06,24,104.57,99.94,6.25,100.52,2.14
BABA,2017-05-18,N,120.72,116.31,122.63,114.0,-5.56,121.27,0.45,2,126.4,114.0,-5.56,123.22,2.07
BABA,2017-08-17,N,159.5,166.12,168.0,163.51,5.32,163.92,2.77,2,169.5,163.51,6.26,167.5,5.01
BABA,2017-11-02,N,186.08,190.99,191.22,183.31,2.76,184.81,-0.68,16,191.22,176.74,-5.01,185.13,-0.51
BABA,2018-02-01,N,204.29,192.75,199.49,191.14,-6.43,192.22,-5.9,16,199.49,168.88,-17.33,183.68,-10.08
BABA,2018-05-04,N,182.45,180.4,190.6,178.62,4.46,188.89,3.52,15,200.0,178.62,9.61,195.0,6.87
BABA,2018-08-23,N,177.85,184.97,186.5,171.91,4.86,172.23,-3.15,30,186.5,152.85,-14.05,164.63,-7.43
BABA,2018-11-02,N,151.25,152.56,154.36,146.28,-3.28,147.59,-2.41,15,157.4,139.97,-7.45,154.1,1.88
BABA,2019-01-30,N,156.88,161.29,167.84,160.5,6.98,166.82,6.33,17,173.09,160.5,10.33,166.15,5.9
BABA,2019-05-15,N,174.84,177.06,180.24,173.32,3.08,177.6,1.57,3,180.24,168.49,-3.63,169.57,-3.01
BABA,2019-08-15,N,162.06,170.11,171.0,164.36,5.51,166.97,3.02,2,177.55,164.36,9.55,174.6,7.73
BABA,2019-11-01,N,176.67,179.01,182.12,176.06,3.08,176.46,-0.11,15,188.28,176.06,6.57,185.49,4.99
BABA,2020-02-13,N,224.31,220.0,225.0,218.99,-2.37,220.36,-1.76,9,225.0,211.56,-5.68,212.59,-5.22
BABA,2020-05-22,N,212.16,203.23,204.88,198.99,-6.2,199.7,-5.87,29,226.5,196.7,-7.28,220.64,3.99
BABA,2020-08-20,N,260.59,256.89,258.88,254.18,-2.45,257.97,-1.0,2,267.43,254.18,2.62,265.8,1.99
BABA,2020-11-05,N,295.71,289.09,291.25,279.6,-5.44,287.75,-2.69,16,304.0,252.55,-14.59,270.74,-8.44
BABA,2021-02-02,N,264.69,264.57,265.0,254.04,-4.02,254.5,-3.84,18,274.29,254.04,-4.02,263.59,-0.41
BABA,2021-05-13,N,219.9,213.15,215.5,204.39,-7.05,206.08,-6.28,9,217.63,204.39,-7.05,211.06,-4.02
BABA,2021-08-03,N,200.09,195.01,197.44,192.0,-4.04,197.38,-1.35,18,203.28,155.5,-22.28,157.96,-21.05
BABA,2021-11-18,N,161.58,146.91,148.5,141.89,-12.18,143.6,-11.12,2,148.5,140.0,-13.35,140.34,-13.14
BABA,2022-02-24,N,109.72,100.07,108.95,100.02,-8.84,108.93,-0.72,23,111.74,73.28,-33.21,108.3,-1.29
BABA,2022-05-26,N,82.31,87.3,95.09,86.73,15.52,94.48,14.78,23,121.06,86.73,47.07,102.24,24.21
BABA,2022-08-04,N,95.72,101.07,103.0,95.06,7.6,97.43,1.78,16,103.0,88.52,7.6,89.63,-6.36
BABA,2022-11-17,N,78.16,76.0,85.68,75.76,9.62,84.26,7.8,2,85.68,75.76,9.62,80.48,2.96
BABA,2023-02-23,N,94.78,100.1,100.47,92.13,6.0,94.16,-0.65,23,100.47,80.15,-15.43,81.67,-13.83
