Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BAH,2011-02-09,Y,18.93,18.89,19.14,18.69,-1.26,18.77,-0.84,9,19.25,18.53,-2.11,19.22,1.53
BAH,2011-06-07,Y,17.85,17.82,17.96,17.6,-1.4,17.67,-1.0,10,18.46,17.39,3.41,18.16,1.73
BAH,2011-08-09,N,15.03,15.9,16.48,15.6,9.64,16.26,8.18,10,16.55,15.3,10.11,15.86,5.52
BAH,2011-11-03,N,15.82,14.91,16.38,14.91,-5.75,16.38,3.53,15,16.41,14.43,-8.78,14.58,-7.83
BAH,2012-02-03,N,17.86,17.62,18.05,17.46,-2.23,17.7,-0.89,14,18.05,17.2,-3.69,17.94,0.44
BAH,2012-05-30,N,14.88,16.2,17.19,15.7,15.52,16.86,13.3,16,17.19,14.69,15.52,15.25,2.48
BAH,2012-08-01,N,17.43,17.66,17.96,17.2,3.04,17.5,0.4,16,19.23,17.2,10.32,18.89,8.37
BAH,2012-10-31,N,12.55,13.61,14.23,12.58,13.38,14.21,13.22,16,14.32,12.58,14.1,13.65,8.76
BAH,2013-01-30,N,14.59,14.22,14.27,13.74,-5.82,13.8,-5.41,16,14.27,12.64,-13.36,12.82,-12.13
BAH,2013-05-22,N,16.97,17.57,18.73,17.07,10.37,18.38,8.3,30,18.73,16.5,10.37,17.02,0.29
BAH,2013-07-31,N,19.32,20.14,21.5,19.97,11.28,21.38,10.66,16,22.27,18.66,15.26,20.9,8.17
BAH,2013-10-30,N,19.54,20.0,20.55,19.02,5.16,19.57,0.2,16,20.55,16.61,-14.99,17.27,-11.61
BAH,2014-01-31,N,17.71,17.2,18.57,17.2,4.85,18.28,3.21,21,20.83,17.2,17.61,20.52,15.86
BAH,2014-05-21,N,24.41,23.23,23.35,21.55,-11.71,22.17,-9.17,30,24.13,20.84,-14.62,21.7,-11.1
BAH,2014-07-30,N,21.09,21.58,22.52,21.5,6.78,22.48,6.59,16,22.92,20.81,8.67,21.19,0.47
BAH,2014-10-29,N,26.18,26.11,26.17,24.94,-4.73,25.19,-3.78,24,26.83,24.94,-4.73,26.31,0.49
BAH,2015-01-28,N,29.62,30.75,31.3,28.65,5.67,29.38,-0.81,23,31.3,28.12,5.67,30.12,1.68
BAH,2015-05-21,N,28.5,26.8,26.9,24.85,-12.8,25.13,-11.82,29,26.9,23.87,-16.24,26.28,-7.78
BAH,2015-07-29,N,25.92,26.27,28.05,26.1,8.21,27.99,7.98,23,28.11,25.96,8.44,26.88,3.7
BAH,2015-10-28,N,27.64,28.8,30.57,28.32,10.6,30.3,9.62,23,30.57,28.17,10.6,30.02,8.61
BAH,2016-01-27,N,29.55,28.11,28.69,27.32,-7.54,27.62,-6.53,23,28.69,25.03,-15.29,26.81,-9.27
BAH,2016-05-18,N,27.51,27.7,29.09,27.26,5.74,28.94,5.19,2,29.55,27.26,7.41,29.48,7.16
BAH,2016-07-27,N,31.12,31.17,31.5,30.96,1.22,31.39,0.86,23,31.5,29.66,-4.69,29.81,-4.2
BAH,2016-11-02,N,30.04,31.39,32.11,30.9,6.89,31.19,3.82,16,35.81,30.9,19.2,35.11,16.91
BAH,2017-01-30,N,36.26,35.54,35.54,32.75,-9.68,33.9,-6.5,18,35.54,32.75,-9.68,34.71,-4.27
BAH,2017-05-22,N,35.95,37.75,38.6,37.19,7.37,38.5,7.09,28,39.67,31.33,-12.85,31.9,-11.26
BAH,2017-08-07,N,34.61,34.26,34.46,32.04,-7.42,33.39,-3.52,14,34.46,31.56,-8.81,33.68,-2.68
BAH,2017-11-06,N,38.13,37.75,37.92,35.71,-6.34,36.6,-4.01,14,38.61,35.71,-6.34,37.02,-2.91
BAH,2018-02-15,N,37.9,38.05,38.3,37.7,1.05,38.3,1.05,2,38.72,37.7,2.16,38.3,1.05
BAH,2018-05-29,N,41.79,42.39,44.17,42.24,5.69,44.02,5.33,21,45.73,42.24,9.42,45.03,7.75
BAH,2018-07-30,N,45.74,47.12,47.31,44.23,3.43,44.8,-2.05,21,49.79,44.23,8.85,49.74,8.74
BAH,2018-10-29,N,46.82,48.25,50.39,47.65,7.62,48.68,3.97,21,52.81,47.22,12.79,52.72,12.6
BAH,2019-02-01,N,49.13,52.21,53.0,51.05,7.87,51.59,5.0,15,54.74,51.05,11.41,53.8,9.5
BAH,2019-05-28,N,62.36,61.11,63.07,59.71,-4.24,62.84,0.76,28,67.0,59.71,7.44,66.1,5.99
BAH,2019-07-29,N,69.2,70.67,71.92,69.83,3.93,71.54,3.38,21,73.67,66.75,6.45,72.92,5.37
BAH,2019-11-01,N,70.37,72.37,74.96,72.21,6.52,74.28,5.55,15,74.96,70.8,6.52,73.67,4.68
BAH,2020-01-31,N,78.75,78.85,82.0,77.86,4.12,78.04,-0.9,22,82.0,72.71,-7.66,73.14,-7.12
BAH,2020-05-26,N,75.81,77.03,77.5,74.33,2.22,76.25,0.58,28,82.22,74.33,8.45,79.79,5.24
BAH,2020-07-31,N,77.73,78.45,81.87,77.82,5.32,81.76,5.18,22,87.07,77.82,12.01,86.32,11.05
BAH,2020-10-30,N,75.31,76.77,79.08,75.33,5.0,78.5,4.23,22,89.86,75.33,19.32,87.19,15.77
BAH,2021-01-29,N,95.4,91.25,91.45,84.89,-11.01,85.17,-10.72,22,91.45,78.25,-17.97,78.71,-17.49
BAH,2021-05-21,N,82.06,82.47,83.83,82.38,2.15,83.62,1.9,1,83.83,82.38,2.15,83.62,1.9
BAH,2021-07-30,N,89.71,87.63,88.16,85.09,-5.14,85.81,-4.34,22,88.16,79.55,-11.32,82.25,-8.31
BAH,2021-10-29,N,80.56,81.59,87.01,81.4,8.0,86.86,7.82,22,90.59,81.4,12.45,87.34,8.41
BAH,2022-01-28,N,82.04,75.11,77.89,73.32,-10.62,75.25,-8.27,22,78.64,72.64,-11.45,73.03,-10.98
BAH,2022-05-20,N,80.84,80.68,81.25,76.6,-5.24,78.84,-2.47,1,81.25,76.6,-5.24,78.84,-2.47
BAH,2022-07-29,N,95.64,95.33,96.98,94.93,1.4,95.98,0.35,22,99.22,94.04,3.74,99.0,3.51
BAH,2022-10-28,N,103.61,104.95,110.07,104.86,6.23,108.68,4.89,22,112.55,102.44,8.62,107.23,3.49
BAH,2023-01-27,N,97.18,96.47,97.04,91.5,-5.84,92.73,-4.57,22,97.99,91.5,-5.84,96.92,-0.26
