Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BBGI,2002-02-11,N,11.87,11.89,12.09,11.56,-2.61,11.95,0.67,4,12.3,11.55,3.62,12.16,2.44
BBGI,2002-04-29,N,16.3,16.3,16.7,16.3,2.45,16.7,2.45,18,16.75,14.4,-11.65,14.81,-9.14
BBGI,2002-08-02,N,10.5,11.16,11.65,9.85,10.95,10.46,-0.38,14,11.7,9.85,11.42,10.85,3.33
BBGI,2002-10-30,N,13.13,13.0,13.0,12.07,-8.07,12.4,-5.55,16,13.0,10.39,-20.86,11.35,-13.55
BBGI,2003-02-24,N,10.32,10.3,10.38,9.6,-6.97,9.86,-4.45,25,10.64,8.94,-13.37,10.15,-1.64
BBGI,2003-05-05,N,11.37,11.31,11.34,11.21,-1.4,11.23,-1.23,11,11.54,10.95,-3.69,11.4,0.26
BBGI,2003-08-04,N,13.1,13.22,13.43,13.1,2.51,13.19,0.68,11,13.85,13.1,5.72,13.85,5.72
BBGI,2003-11-03,N,14.58,14.45,14.9,14.45,2.19,14.68,0.68,18,15.21,14.05,4.32,14.52,-0.41
BBGI,2004-03-03,N,17.7,17.59,18.23,16.8,-5.08,17.6,-0.56,16,18.72,16.8,5.76,18.16,2.59
BBGI,2004-05-03,N,15.8,15.54,16.07,14.51,-8.16,14.79,-6.39,18,16.47,13.07,-17.27,14.92,-5.56
BBGI,2004-07-29,N,14.6,14.74,14.94,14.5,2.32,14.76,1.09,22,15.6,12.9,-11.64,14.48,-0.82
BBGI,2004-10-28,N,15.3,15.29,15.95,15.18,4.24,15.77,3.07,22,17.77,15.18,16.14,17.52,14.5
BBGI,2005-02-09,N,16.55,17.25,17.39,16.71,5.07,16.73,1.14,9,17.39,16.44,5.07,17.11,3.38
BBGI,2005-05-02,N,15.76,15.83,17.34,15.82,10.02,17.09,8.43,18,17.89,15.82,13.51,17.14,8.81
BBGI,2005-07-28,N,15.89,15.69,15.69,14.65,-7.8,15.05,-5.28,22,15.69,13.06,-17.8,14.0,-11.89
BBGI,2005-11-03,N,14.59,14.79,14.95,14.5,2.46,14.68,0.61,15,14.95,12.83,-12.06,14.22,-2.53
BBGI,2006-02-13,N,14.0,14.0,14.09,13.67,-2.35,13.88,-0.85,4,14.09,13.02,-7.0,13.99,-0.07
BBGI,2006-05-04,N,8.34,8.93,8.93,8.06,7.07,8.06,-3.35,15,8.93,6.96,-16.54,7.11,-14.74
BBGI,2006-08-03,N,6.32,6.39,6.68,6.39,5.69,6.6,4.43,15,7.24,6.38,14.55,7.01,10.91
BBGI,2006-10-30,N,6.95,6.85,7.1,6.85,2.15,7.05,1.43,18,7.15,6.83,2.87,6.97,0.28
BBGI,2007-02-12,N,9.17,9.17,9.21,9.09,-0.87,9.09,-0.87,4,9.25,9.08,-0.98,9.13,-0.43
BBGI,2007-05-02,N,9.0,9.07,9.1,9.02,1.11,9.08,0.88,16,9.1,8.66,-3.77,8.98,-0.22
BBGI,2007-08-02,N,8.59,8.56,8.68,8.51,1.04,8.65,0.69,15,8.8,6.8,-20.83,7.12,-17.11
BBGI,2007-11-05,N,7.34,7.21,7.51,7.13,-2.86,7.42,1.08,11,7.51,6.88,-6.26,6.89,-6.13
BBGI,2008-02-14,N,5.39,5.41,5.81,5.33,7.79,5.41,0.37,1,5.88,5.33,9.09,5.42,0.55
BBGI,2008-05-05,N,4.9,4.76,4.79,4.59,-6.32,4.61,-5.91,11,5.55,4.59,13.26,4.84,-1.02
BBGI,2008-07-31,N,4.63,4.59,4.8,4.26,-8.18,4.26,-7.97,15,4.8,2.64,-43.1,4.2,-9.48
BBGI,2008-11-05,N,1.45,1.5,1.84,1.46,26.89,1.5,3.44,16,2.1,1.07,44.82,1.14,-20.68
BBGI,2009-03-12,N,1.01,1.21,1.38,1.12,36.63,1.23,21.78,8,3.46,1.1,242.57,2.22,119.8
BBGI,2009-05-06,N,2.7,2.35,2.46,2.35,-12.96,2.42,-10.37,9,2.99,2.09,-22.59,2.6,-3.7
BBGI,2009-08-04,N,2.89,2.92,3.08,2.89,6.57,3.08,6.57,17,3.71,2.79,28.37,3.45,19.37
BBGI,2009-10-30,N,3.52,3.5,3.5,3.4,-3.4,3.41,-3.12,21,3.75,3.2,-9.09,3.6,2.27
BBGI,2010-03-05,N,4.0,3.98,4.41,3.82,10.25,3.96,-1.0,14,4.41,3.6,10.25,4.34,8.74
BBGI,2010-04-30,N,6.35,6.35,6.51,5.88,-7.4,5.88,-7.4,21,6.51,5.0,-21.25,5.96,-6.14
BBGI,2010-07-30,N,5.2,4.8,5.79,4.76,11.34,5.57,7.11,21,6.39,3.75,-27.88,3.76,-27.69
BBGI,2010-10-29,N,4.51,4.51,4.51,4.37,-3.1,4.37,-3.1,21,5.04,3.93,-12.86,4.13,-8.2
BBGI,2011-02-08,N,4.59,4.65,5.57,4.65,21.08,5.44,18.26,10,6.95,4.65,51.08,6.8,47.82
BBGI,2011-05-03,N,6.48,6.0,6.93,6.0,-7.4,6.34,-2.16,17,6.93,4.19,-35.33,4.37,-32.56
BBGI,2011-07-29,N,4.24,4.05,4.25,3.95,-6.83,4.18,-1.41,21,4.55,3.62,-14.62,4.09,-3.53
BBGI,2011-10-28,N,4.04,4.01,4.01,3.98,-1.48,3.98,-1.48,21,4.09,3.8,-5.94,3.92,-2.97
BBGI,2012-02-03,N,3.4,3.41,3.41,3.25,-4.41,3.25,-4.41,14,3.5,3.15,-7.35,3.35,-1.47
BBGI,2012-04-27,N,4.47,4.7,4.7,4.67,5.14,4.67,4.47,21,6.12,4.67,36.91,5.64,26.17
BBGI,2012-07-27,N,5.41,5.37,5.85,5.37,8.13,5.68,4.99,21,6.0,4.46,-17.56,5.83,7.76
BBGI,2012-10-26,N,4.98,4.84,4.84,4.78,-4.01,4.83,-3.01,21,5.0,3.53,-29.11,4.15,-16.66
BBGI,2013-02-05,N,4.9,5.0,5.0,3.6,-26.53,4.84,-1.22,10,5.47,3.6,-26.53,5.05,3.06
BBGI,2013-04-26,N,6.47,6.55,6.62,6.38,2.31,6.6,2.0,21,8.19,5.96,26.58,7.44,14.99
BBGI,2013-07-26,N,9.17,8.92,8.92,8.52,-6.97,8.74,-4.68,21,8.92,7.12,-22.35,7.35,-19.84
BBGI,2013-10-25,N,8.83,9.36,9.36,8.82,6.0,8.89,0.67,21,9.36,7.27,-17.66,8.69,-1.47
BBGI,2014-01-30,N,9.22,9.0,9.44,9.0,2.38,9.44,2.38,22,9.48,8.75,-5.09,8.83,-4.22
BBGI,2014-04-30,N,7.81,7.82,7.85,7.62,-2.43,7.7,-1.4,16,8.44,6.62,-15.23,7.45,-4.6
BBGI,2014-07-25,N,6.32,6.35,6.83,5.89,8.06,6.27,-0.79,21,6.83,5.8,-8.22,6.12,-3.16
BBGI,2014-10-24,N,5.31,5.49,5.49,5.15,3.38,5.15,-3.01,29,6.0,4.5,-15.25,5.67,6.77
BBGI,2015-01-29,N,5.32,5.5,5.53,5.33,3.94,5.53,3.94,22,5.53,4.82,-9.39,5.01,-5.63
BBGI,2015-03-06,N,5.05,5.18,5.2,5.09,2.76,5.2,2.76,14,5.3,4.95,4.74,4.95,-2.17
BBGI,2015-05-08,N,4.87,4.84,5.05,4.84,3.69,5.05,3.69,7,5.05,4.84,3.69,5.04,3.49
BBGI,2015-08-07,N,4.21,4.21,4.34,4.21,3.08,4.22,0.23,14,5.0,4.21,18.76,4.84,15.2
