Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BBIO,2020-05-14,N,30.78,29.67,30.93,29.09,-5.49,30.6,-0.58,2,32.49,29.09,5.55,32.19,4.58
BBIO,2020-08-12,Y,28.89,28.98,29.72,28.09,2.87,29.11,0.76,9,29.89,27.48,-4.88,28.17,-2.49
BBIO,2021-03-01,N,70.68,72.47,72.82,69.2,3.02,71.91,1.74,21,72.97,57.71,-18.35,67.66,-4.27
BBIO,2021-08-05,N,52.83,53.72,57.44,52.58,8.72,56.13,6.24,16,57.44,46.68,-11.64,49.03,-7.19
BBIO,2021-11-04,N,50.01,49.92,51.98,49.87,3.93,51.46,2.89,16,53.57,42.51,-14.99,42.65,-14.71
BBIO,2022-02-24,N,7.34,7.27,8.06,7.1,9.8,8.0,8.99,23,11.24,7.1,53.13,11.14,51.77
BBIO,2022-05-05,N,8.58,8.33,8.46,7.3,-14.91,7.51,-12.47,16,8.46,4.98,-41.95,7.61,-11.3
BBIO,2022-08-04,N,7.94,7.95,10.02,7.91,26.19,9.98,25.69,16,12.64,7.91,59.19,10.37,30.6
BBIO,2022-11-03,N,9.95,10.01,10.42,9.67,4.72,9.86,-0.9,16,11.58,8.46,16.38,9.51,-4.42
BBIO,2023-02-23,N,12.23,11.99,12.19,10.87,-11.12,11.67,-4.57,23,19.95,10.57,63.12,13.55,10.79
