Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BBW,2004-11-09,N,26.27,26.95,27.25,25.12,-4.37,25.93,-1.29,10,31.25,25.12,18.95,29.6,12.67
BBW,2005-03-10,N,32.4,32.4,32.81,30.71,-5.21,31.73,-2.06,8,32.81,29.7,-8.33,31.37,-3.17
BBW,2005-04-28,N,28.01,27.75,28.0,27.0,-3.6,27.45,-1.99,22,30.68,26.75,9.53,28.3,1.03
BBW,2005-07-28,Y,24.0,24.15,24.42,23.92,1.75,24.0,,22,24.75,22.42,-6.58,22.9,-4.58
BBW,2005-10-20,N,24.25,26.0,26.25,24.07,8.24,24.55,1.23,1,26.25,24.07,8.24,24.36,0.45
BBW,2006-02-16,N,30.13,29.85,29.85,29.1,-3.41,29.3,-2.75,1,29.85,27.91,-7.36,28.2,-6.4
BBW,2006-04-27,N,30.6,30.52,32.57,29.43,6.43,32.21,5.26,22,32.9,29.43,7.51,30.51,-0.29
BBW,2006-07-27,N,20.23,22.44,22.87,20.72,13.04,20.72,2.42,22,22.87,20.51,13.04,22.0,8.74
BBW,2006-10-19,N,26.52,26.25,26.26,24.63,-7.12,25.76,-2.86,1,27.63,24.63,-7.12,27.49,3.65
BBW,2007-02-20,N,30.44,27.76,28.25,26.25,-13.76,27.92,-8.27,24,28.25,25.5,-16.22,27.61,-9.29
BBW,2007-05-01,N,27.55,28.0,28.75,27.15,4.35,28.09,1.96,17,29.98,27.15,8.82,29.04,5.4
BBW,2007-07-26,N,23.47,23.25,23.28,21.55,-8.18,21.88,-6.77,22,23.28,16.68,-28.93,16.98,-27.6
BBW,2007-10-18,N,17.13,17.48,18.16,16.7,6.01,17.55,2.51,1,18.16,16.7,6.01,17.48,2.04
BBW,2008-02-14,N,13.0,11.02,11.96,10.3,-20.76,10.34,-20.46,1,11.96,10.25,-21.15,11.0,-15.38
BBW,2008-04-24,N,8.77,9.63,9.63,8.92,9.8,9.0,2.62,22,11.45,8.77,30.55,8.85,0.91
BBW,2008-07-24,N,7.58,6.98,7.25,6.5,-14.24,6.98,-7.91,22,7.5,6.2,-18.2,7.28,-3.95
BBW,2008-10-16,N,4.78,4.62,5.08,4.04,-15.48,4.82,0.83,1,5.08,4.04,-15.48,4.88,2.09
BBW,2009-02-19,N,4.26,4.3,4.43,4.09,-4.21,4.12,-3.51,1,4.43,3.77,-11.7,3.94,-7.72
BBW,2009-04-30,N,6.88,6.5,6.5,5.25,-23.69,5.46,-20.63,15,6.5,4.05,-41.13,4.16,-39.53
BBW,2009-07-30,N,5.05,5.01,5.01,4.55,-9.88,4.67,-7.7,22,5.07,4.41,-12.84,4.83,-4.54
BBW,2009-10-29,N,5.59,5.6,5.61,4.99,-10.73,5.31,-5.0,22,5.61,4.45,-20.39,4.55,-18.6
BBW,2010-02-18,N,5.38,5.34,5.48,4.51,-16.17,5.09,-5.39,1,5.64,4.51,-16.17,5.45,1.3
BBW,2010-04-29,N,8.27,9.0,9.46,8.77,14.38,9.0,8.82,22,9.76,7.5,18.01,7.98,-3.5
BBW,2010-07-29,N,7.19,6.22,6.4,5.28,-26.56,6.02,-16.27,22,6.4,5.28,-26.56,5.86,-18.49
BBW,2010-10-28,N,6.3,6.39,7.19,6.34,14.12,7.03,11.58,22,7.19,6.08,14.12,6.52,3.49
BBW,2011-02-17,N,7.89,8.61,8.66,6.8,-13.81,6.93,-12.16,1,8.66,6.5,-17.61,6.78,-14.06
BBW,2011-05-05,N,6.0,5.75,6.29,5.75,4.83,6.26,4.33,15,7.0,5.75,16.66,6.77,12.83
BBW,2011-07-28,N,6.04,6.07,6.17,6.03,2.15,6.12,1.32,22,6.5,4.59,-24.0,4.73,-21.68
BBW,2011-10-27,N,5.83,6.25,6.68,5.49,14.57,6.66,14.23,22,8.27,5.49,42.02,8.01,37.39
BBW,2012-02-16,N,8.13,6.6,7.0,5.82,-28.41,5.95,-26.81,1,7.0,5.82,-28.41,5.96,-26.69
BBW,2012-05-03,N,4.4,5.0,5.0,4.3,13.63,4.36,-0.9,15,5.05,4.22,14.77,4.66,5.9
BBW,2012-07-26,N,4.37,4.3,4.67,4.24,6.86,4.62,5.72,22,4.8,4.24,9.83,4.41,0.91
BBW,2012-10-25,N,4.22,3.59,3.63,3.1,-26.54,3.28,-22.27,22,3.89,3.1,-26.54,3.58,-15.16
BBW,2013-02-14,N,5.15,5.11,5.11,4.67,-9.32,4.91,-4.66,1,5.11,4.67,-9.32,5.0,-2.91
BBW,2013-05-02,N,5.05,6.0,6.75,5.76,33.66,6.73,33.26,15,7.1,5.76,40.59,6.7,32.67
BBW,2013-07-25,N,6.83,6.76,7.15,6.62,4.68,6.9,1.02,22,7.39,6.62,8.19,7.02,2.78
BBW,2013-10-24,N,7.12,7.15,8.0,7.13,12.35,7.91,11.09,22,10.35,7.13,45.36,9.66,35.67
BBW,2014-02-13,N,9.15,9.05,9.07,8.76,-4.26,9.05,-1.09,8,9.07,8.11,-11.36,8.25,-9.83
BBW,2014-05-01,N,11.22,11.75,13.81,11.75,23.08,13.63,21.47,15,14.24,11.75,26.91,13.47,20.05
BBW,2014-07-24,N,12.42,11.42,12.28,10.94,-11.91,11.04,-11.11,22,12.28,10.07,-18.92,10.81,-12.96
