Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BCLI,2014-11-13,Y,3.58,3.51,3.64,3.46,-3.35,3.47,-3.07,9,3.64,3.06,-14.52,3.29,-8.1
BCLI,2015-03-26,N,4.43,4.34,4.4,4.21,-4.96,4.26,-3.61,22,5.43,4.2,22.57,5.09,14.89
BCLI,2015-05-14,N,3.78,3.84,3.85,3.68,-2.64,3.7,-2.11,1,3.85,3.55,-6.08,3.66,-3.17
BCLI,2015-08-13,N,3.13,3.24,3.25,2.95,-5.75,2.98,-4.79,8,3.27,2.83,-9.58,2.92,-6.7
BCLI,2015-11-16,N,2.77,2.9,2.9,2.71,4.69,2.76,-0.36,4,2.9,2.5,-9.74,2.65,-4.33
BCLI,2016-08-11,N,2.4,2.49,2.49,2.35,3.75,2.35,-2.08,8,2.61,2.31,8.75,2.48,3.33
BCLI,2016-11-15,N,2.24,2.22,2.22,2.13,-4.91,2.16,-3.57,3,2.22,2.06,-8.03,2.19,-2.23
BCLI,2017-03-29,Y,3.99,4.0,4.08,3.87,-3.0,3.87,-3.0,23,5.09,3.5,27.56,4.08,2.25
BCLI,2017-05-15,N,4.02,4.08,4.16,4.0,3.48,4.13,2.73,7,4.2,3.92,4.47,4.14,2.98
BCLI,2017-08-10,N,4.22,4.16,4.38,4.13,3.79,4.15,-1.65,9,4.38,4.01,-4.97,4.18,-0.94
BCLI,2017-10-17,N,4.04,4.0,4.01,3.89,-3.71,3.92,-2.97,4,4.26,3.89,5.44,4.24,4.95
BCLI,2018-03-08,N,3.41,3.35,3.58,3.17,-7.03,3.5,2.63,9,3.65,3.17,7.03,3.45,1.17
BCLI,2018-05-14,N,3.64,3.72,3.85,3.7,5.76,3.78,3.84,7,4.4,3.7,20.87,4.29,17.85
BCLI,2018-10-29,N,3.25,3.15,3.4,3.15,4.61,3.19,-1.84,21,3.4,2.97,-8.61,3.15,-3.07
BCLI,2019-05-13,Y,3.87,3.91,3.93,3.87,1.55,3.9,0.77,4,4.01,3.78,3.61,3.89,0.51
BCLI,2019-08-13,N,3.66,3.58,3.82,3.52,4.37,3.77,3.0,4,3.82,3.5,4.37,3.62,-1.09
BCLI,2020-02-18,N,5.16,5.19,6.44,5.01,24.8,6.33,22.67,7,6.98,5.01,35.27,6.87,33.13
BCLI,2020-05-07,N,6.74,6.49,6.5,5.44,-19.28,5.91,-12.31,9,6.5,5.05,-25.07,5.28,-21.66
BCLI,2020-08-05,N,13.39,13.39,13.68,12.3,-8.14,13.11,-2.09,17,14.61,12.0,-10.38,12.87,-3.88
BCLI,2020-10-15,N,16.69,16.82,17.15,14.6,-12.52,15.29,-8.38,2,17.15,13.79,-17.37,13.86,-16.95
BCLI,2021-02-04,N,6.17,6.27,8.14,6.21,31.92,7.88,27.71,16,8.14,6.21,31.92,6.9,11.83
BCLI,2021-04-26,N,3.46,3.53,3.69,3.32,6.64,3.61,4.33,28,3.86,2.92,-15.6,3.51,1.44
BCLI,2021-08-05,N,3.77,3.7,4.03,3.69,6.89,3.94,4.5,16,4.21,3.24,-14.05,3.28,-12.99
BCLI,2021-11-15,N,2.97,3.05,3.06,2.97,3.03,3.04,2.35,7,3.3,2.88,11.11,2.91,-2.02
BCLI,2022-05-16,N,2.72,2.78,2.99,2.7,9.92,2.85,4.77,7,3.02,2.7,11.02,2.89,6.24
BCLI,2022-08-15,N,3.5,4.1,4.7,3.15,34.28,3.45,-1.42,7,4.7,3.15,34.28,3.78,7.99
BCLI,2022-11-14,N,1.52,1.5,1.8,1.5,18.42,1.64,7.89,7,1.98,1.5,30.26,1.53,0.65
