Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BCO,2002-01-30,N,20.77,20.95,22.0,20.63,5.92,21.75,4.71,16,23.85,20.63,14.82,22.95,10.49
BCO,2002-04-25,Y,28.31,28.6,28.92,27.3,-3.56,27.35,-3.39,22,28.92,26.37,-6.85,27.95,-1.27
BCO,2002-07-25,Y,21.53,21.42,21.86,20.95,-2.69,21.6,0.32,22,24.2,20.95,12.4,24.03,11.61
BCO,2002-10-31,N,23.08,22.15,22.15,20.45,-11.39,21.17,-8.27,15,22.15,18.7,-18.97,18.86,-18.28
BCO,2003-02-11,N,14.55,14.55,15.18,14.4,4.32,14.69,0.96,10,15.18,12.9,-11.34,14.27,-1.92
BCO,2003-04-30,N,14.69,13.77,14.15,12.68,-13.68,12.75,-13.2,16,14.45,12.39,-15.65,14.45,-1.63
BCO,2003-07-31,N,15.24,15.18,16.71,15.0,9.64,16.44,7.87,15,16.71,15.0,9.64,16.18,6.16
BCO,2003-10-30,N,19.46,19.98,19.98,19.98,2.67,19.98,2.67,22,20.97,19.62,7.75,20.75,6.62
BCO,2004-02-04,N,23.2,23.1,24.61,23.07,6.07,24.12,3.96,16,27.24,23.07,17.41,26.98,16.29
BCO,2004-05-05,N,28.92,30.75,31.2,29.99,7.88,30.05,3.9,16,31.2,27.8,7.88,29.9,3.38
BCO,2004-08-04,N,32.04,29.5,29.5,25.8,-19.5,27.32,-14.75,16,29.5,25.8,-19.5,28.94,-9.7
BCO,2004-11-03,N,31.79,33.0,35.7,32.85,12.29,35.0,10.09,16,37.86,32.85,19.09,37.51,17.99
BCO,2005-02-08,N,35.68,35.29,37.07,35.25,3.89,37.03,3.78,10,37.52,35.04,5.15,35.06,-1.73
BCO,2005-05-04,N,32.78,32.78,33.18,30.63,-6.55,33.18,1.22,16,33.53,29.73,-9.3,30.87,-5.82
BCO,2005-08-03,N,37.04,37.04,39.0,36.75,5.26,38.82,4.77,16,40.04,36.75,8.07,39.81,7.44
BCO,2005-11-02,N,38.81,41.0,42.07,39.97,8.39,41.91,7.98,16,49.14,39.97,26.61,46.53,19.89
BCO,2006-02-09,Y,48.8,48.75,49.45,46.9,-3.89,48.8,,8,50.32,46.9,-3.89,50.01,2.47
BCO,2006-05-03,N,50.93,52.15,56.8,52.15,11.52,56.36,10.66,16,57.9,52.15,13.68,54.34,6.69
BCO,2006-08-02,Y,55.14,55.14,56.15,54.91,1.83,55.97,1.5,16,57.18,53.87,3.69,56.82,3.04
BCO,2006-11-01,Y,52.97,52.75,53.02,52.44,-1.0,52.89,-0.15,16,55.23,52.25,4.26,55.17,4.15
