Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BEKE,2020-11-16,Y,73.56,70.1,71.81,66.68,-9.35,67.6,-8.1,4,71.81,57.62,-21.66,60.8,-17.34
BEKE,2021-03-15,Y,59.5,63.0,72.49,62.52,21.83,65.3,9.74,4,72.49,59.01,21.83,64.0,7.56
BEKE,2021-05-19,Y,50.26,46.55,49.94,45.44,-9.59,49.85,-0.81,2,50.96,45.44,-9.59,50.13,-0.25
BEKE,2021-08-11,Y,19.88,17.17,20.02,16.63,-16.34,19.66,-1.1,9,20.3,15.82,-20.42,16.11,-18.96
BEKE,2021-11-08,Y,17.92,18.7,21.16,18.7,18.08,19.79,10.43,11,25.08,18.7,39.95,23.81,32.86
BEKE,2022-03-09,Y,14.46,11.45,12.61,10.86,-24.89,11.0,-23.92,9,15.3,7.31,-49.44,14.15,-2.14
BEKE,2022-05-31,N,11.49,12.55,13.5,12.35,17.49,13.4,16.62,21,16.64,12.35,44.82,15.88,38.2
BEKE,2022-08-23,N,15.67,16.04,16.95,15.07,8.16,16.83,7.4,25,18.85,15.07,20.29,17.57,12.12
BEKE,2022-11-30,N,15.11,16.0,16.95,14.81,12.17,16.92,11.97,17,18.44,13.94,22.03,14.46,-4.3
BEKE,2023-03-16,N,17.21,17.8,18.68,17.49,8.54,18.11,5.22,2,19.39,17.49,12.66,18.98,10.28
