Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BIDU,2005-08-23,Y,8.19,7.8,8.5,7.5,-8.53,7.8,-4.87,24,12.25,7.5,49.39,7.84,-4.39
BIDU,2005-10-26,Y,8.1,6.95,7.42,6.9,-14.81,7.04,-13.08,23,7.47,6.75,-16.66,7.09,-12.46
BIDU,2006-02-21,Y,5.17,6.01,6.15,5.45,18.95,5.47,5.8,24,6.15,4.59,18.95,4.9,-5.22
BIDU,2006-05-09,Y,6.14,7.7,8.42,7.56,37.13,8.4,36.8,10,9.13,7.56,48.69,8.19,33.55
BIDU,2006-07-26,Y,9.19,7.75,7.87,7.26,-21.08,7.28,-20.86,23,8.19,6.79,-26.19,8.02,-12.82
BIDU,2006-10-31,Y,8.73,8.61,8.84,8.41,-3.66,8.48,-2.86,17,10.99,8.36,25.88,10.98,25.77
BIDU,2007-02-14,Y,11.5,10.29,10.78,10.08,-12.34,10.62,-7.65,2,10.78,10.08,-12.34,10.52,-8.52
BIDU,2007-04-26,N,10.47,10.58,11.15,10.53,6.49,10.94,4.48,22,13.48,10.53,28.74,13.1,25.11
BIDU,2007-07-25,Y,18.32,21.07,21.92,20.32,19.65,20.91,14.13,23,21.92,16.1,19.65,17.64,-3.65
BIDU,2007-10-25,Y,33.43,34.79,36.0,34.2,7.68,35.34,5.71,22,42.92,30.09,28.38,31.5,-5.77
BIDU,2008-02-13,Y,26.11,27.4,28.04,25.96,7.39,26.45,1.3,2,28.04,25.52,7.39,25.91,-0.76
BIDU,2008-04-24,Y,34.2,35.81,36.71,35.25,7.33,36.36,6.34,22,38.29,34.31,11.95,36.46,6.6
BIDU,2008-07-23,Y,28.87,32.6,34.1,32.14,18.11,33.51,16.07,23,35.34,30.18,22.41,32.1,11.18
BIDU,2008-10-22,Y,24.91,23.98,24.03,20.6,-17.3,21.25,-14.69,30,24.03,10.56,-57.6,11.27,-54.75
BIDU,2009-02-18,Y,12.81,13.46,13.9,13.18,8.5,13.26,3.51,2,13.9,12.82,8.5,13.63,6.4
BIDU,2009-04-27,Y,22.49,22.96,23.66,21.74,5.2,22.12,-1.64,18,25.8,21.74,14.71,23.5,4.49
BIDU,2009-07-23,Y,33.26,33.99,36.33,33.81,9.23,35.81,7.66,29,36.85,31.85,10.79,34.5,3.72
BIDU,2009-10-26,N,43.53,43.89,43.99,42.46,-2.45,43.3,-0.52,25,44.29,35.29,-18.92,42.76,-1.76
BIDU,2010-02-09,Y,43.5,47.19,48.29,46.5,11.01,48.21,10.82,10,50.04,46.5,15.03,50.02,14.98
BIDU,2010-04-28,Y,62.14,70.8,71.8,70.09,15.54,70.98,14.24,23,82.29,62.5,32.42,70.84,14.01
BIDU,2010-07-21,Y,73.31,76.38,76.45,72.3,4.28,74.45,1.55,30,88.32,72.3,20.47,82.17,12.08
BIDU,2010-10-21,Y,102.48,105.36,109.34,104.85,6.69,107.28,4.68,29,115.04,103.11,12.25,108.59,5.96
BIDU,2011-01-31,N,106.54,107.51,109.19,106.11,2.48,108.63,1.96,18,131.63,106.11,23.54,126.8,19.01
BIDU,2011-04-27,Y,151.11,151.47,156.04,146.35,3.26,148.25,-1.89,23,156.04,124.66,-17.5,134.69,-10.86
BIDU,2011-07-25,Y,156.54,163.56,165.96,162.1,6.01,164.36,4.99,25,165.96,125.11,-20.07,126.98,-18.88
BIDU,2011-10-27,Y,138.38,145.0,147.68,142.63,6.71,144.62,4.5,22,147.68,126.05,-8.91,126.93,-8.28
BIDU,2012-02-16,Y,141.83,140.91,140.91,134.68,-5.04,136.9,-3.47,1,140.91,134.68,-5.04,136.9,-3.47
BIDU,2012-04-24,Y,135.83,130.0,136.18,128.94,-5.07,134.82,-0.74,24,136.19,115.35,-15.07,115.37,-15.06
BIDU,2012-07-23,Y,107.1,113.92,120.12,113.83,12.15,114.95,7.32,25,134.71,113.21,25.77,133.97,25.09
BIDU,2012-10-29,Y,113.84,107.36,110.5,105.36,-7.44,106.7,-6.27,18,110.5,91.81,-19.35,92.68,-18.58
BIDU,2013-02-04,Y,107.2,99.0,99.65,95.3,-11.1,96.37,-10.1,11,99.65,94.01,-12.3,94.32,-12.01
BIDU,2013-04-25,Y,92.34,84.09,86.36,83.89,-9.15,85.02,-7.92,22,95.56,83.89,-9.15,94.72,2.57
BIDU,2013-07-24,Y,113.37,129.09,132.86,120.26,17.19,125.85,11.0,23,143.12,120.26,26.24,134.63,18.76
BIDU,2013-10-29,Y,159.41,168.6,169.75,159.75,6.48,164.93,3.46,17,169.75,142.69,-10.48,162.33,1.83
BIDU,2014-02-26,Y,172.9,174.0,180.48,171.05,4.38,178.92,3.48,23,189.34,156.75,9.5,158.31,-8.43
BIDU,2014-04-24,Y,159.74,164.32,167.36,159.28,4.77,162.91,1.98,22,167.36,148.16,-7.24,154.77,-3.11
BIDU,2014-07-24,Y,204.27,221.18,226.76,217.0,11.0,226.5,10.88,22,229.6,210.1,12.4,218.85,7.13
BIDU,2014-10-29,Y,224.55,222.3,237.55,222.0,5.78,237.01,5.54,24,251.99,222.0,12.21,243.91,8.62
BIDU,2015-02-11,Y,214.67,203.8,206.97,199.7,-6.97,205.02,-4.49,9,216.69,199.7,-6.97,209.63,-2.34
BIDU,2015-04-29,Y,219.0,209.37,211.33,199.6,-8.85,200.28,-8.54,16,211.33,188.6,-13.88,192.98,-11.88
BIDU,2015-07-27,Y,197.68,172.6,172.81,162.0,-18.04,168.03,-14.99,25,179.06,152.76,-22.72,152.91,-22.64
BIDU,2015-10-29,Y,168.99,176.88,189.55,175.9,12.16,187.47,10.93,22,210.9,175.9,24.8,206.69,22.3
BIDU,2016-02-25,Y,158.22,175.24,176.81,172.2,11.74,173.8,9.84,22,189.7,169.28,19.89,187.92,18.77
BIDU,2016-04-28,Y,186.02,189.5,201.0,189.0,8.05,194.3,4.45,22,201.0,158.38,-14.85,170.05,-8.58
BIDU,2016-07-28,Y,165.63,161.01,161.55,156.22,-5.68,159.6,-3.64,22,178.88,156.22,7.99,177.53,7.18
BIDU,2016-10-27,Y,175.1,180.74,185.2,179.27,5.76,179.59,2.56,22,185.2,159.54,-8.88,164.38,-6.12
BIDU,2017-02-23,Y,184.64,181.0,181.75,173.91,-5.81,175.17,-5.12,22,181.75,170.42,-7.7,176.62,-4.34
BIDU,2017-04-27,Y,187.86,181.08,182.96,176.07,-6.27,180.23,-4.06,22,192.37,174.77,-6.96,188.76,0.47
BIDU,2017-07-27,Y,201.0,211.01,225.6,208.8,12.23,220.0,9.45,22,233.37,208.8,16.1,220.69,9.79
BIDU,2017-10-26,Y,260.62,241.82,247.39,235.73,-9.55,239.37,-8.15,22,251.18,226.01,-13.27,239.27,-8.19
BIDU,2018-02-13,Y,225.6,236.04,239.88,232.69,6.32,235.89,4.56,3,248.74,232.69,10.25,244.72,8.47
BIDU,2018-04-26,Y,238.69,253.95,257.3,245.63,7.79,251.93,5.54,22,284.22,244.4,19.07,253.01,5.99
BIDU,2018-07-31,Y,247.18,234.99,237.72,226.64,-8.3,228.07,-7.73,17,237.72,207.95,-15.87,222.67,-9.91
BIDU,2018-10-30,Y,183.37,184.4,192.46,181.91,4.95,190.06,3.64,17,206.25,178.89,12.47,186.95,1.95
BIDU,2019-02-21,Y,171.81,173.5,174.17,164.0,-4.54,167.17,-2.7,22,174.17,158.44,-7.78,170.48,-0.77
BIDU,2019-05-16,Y,153.7,130.53,134.13,126.91,-17.43,128.31,-16.51,1,134.13,126.91,-17.43,128.31,-16.51
BIDU,2019-08-19,Y,104.22,112.08,113.4,108.56,8.8,108.72,4.31,32,113.4,101.55,8.8,105.16,0.9
BIDU,2020-02-27,Y,119.91,115.0,120.5,114.81,-4.25,119.98,0.05,22,122.97,82.0,-31.61,88.66,-26.06
BIDU,2020-05-18,Y,107.59,117.8,120.85,109.16,12.32,109.75,2.0,32,128.28,102.6,19.23,123.08,14.39
BIDU,2020-08-13,Y,124.57,118.4,118.57,115.59,-7.2,116.74,-6.28,8,126.59,115.59,-7.2,122.45,-1.7
BIDU,2020-11-16,Y,147.84,145.0,145.48,141.02,-4.61,143.92,-2.65,4,147.29,135.25,-8.51,136.11,-7.93
BIDU,2021-02-17,Y,308.68,296.3,298.49,288.14,-6.65,298.01,-3.45,2,346.0,288.14,12.09,339.91,10.11
BIDU,2021-05-18,N,189.2,197.59,197.75,187.2,4.51,188.88,-0.16,4,197.75,184.15,4.51,189.53,0.17
BIDU,2021-08-12,N,164.95,160.26,161.0,156.8,-4.94,159.63,-3.22,9,161.0,135.89,-17.61,137.65,-16.55
BIDU,2021-11-17,N,171.27,173.38,173.6,160.07,-6.53,161.82,-5.51,3,173.6,151.04,-11.81,151.77,-11.38
BIDU,2022-03-01,N,152.44,160.87,170.35,160.0,11.74,162.86,6.83,18,170.35,102.18,-32.97,149.04,-2.23
BIDU,2022-05-26,N,119.32,124.91,136.91,124.34,14.74,136.19,14.13,23,155.7,124.34,30.48,139.83,17.18
BIDU,2022-08-30,N,147.32,147.95,148.99,134.71,-8.55,137.69,-6.53,18,148.99,121.69,-17.39,123.69,-16.03
