Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BILL,2020-02-06,Y,48.51,56.88,58.97,52.8,21.56,55.81,15.04,15,64.12,52.8,32.17,56.28,16.01
BILL,2020-05-07,Y,73.22,67.27,97.84,67.0,33.62,83.62,14.2,8,97.84,67.0,33.62,77.27,5.53
BILL,2020-08-27,Y,106.06,103.5,106.58,98.19,-7.42,100.31,-5.42,22,106.58,82.19,-22.5,87.04,-17.93
BILL,2020-11-05,Y,110.88,105.88,109.25,101.0,-8.91,102.1,-7.91,15,109.97,89.19,-19.56,109.3,-1.42
BILL,2021-02-04,Y,139.87,153.88,190.3,153.88,36.05,184.69,32.04,15,195.95,153.88,40.09,184.21,31.7
BILL,2021-05-06,Y,130.33,152.28,157.56,147.01,20.89,154.23,18.33,15,157.56,130.59,20.89,145.55,11.67
BILL,2021-08-26,Y,219.05,249.03,288.88,237.0,31.87,283.98,29.64,22,301.99,237.0,37.86,294.2,34.3
BILL,2021-11-04,Y,293.9,338.5,343.5,315.3,16.87,334.46,13.8,15,348.5,312.43,18.57,318.17,8.25
BILL,2022-02-03,Y,170.28,202.14,241.69,200.25,41.93,231.67,36.05,15,262.17,200.25,53.96,224.23,31.68
BILL,2022-05-05,Y,152.24,125.16,134.99,109.09,-28.34,121.0,-20.52,15,134.99,89.87,-40.96,118.63,-22.07
BILL,2022-08-18,Y,149.4,174.4,177.71,165.66,18.94,174.29,16.65,1,177.71,165.66,18.94,174.29,16.65
BILL,2022-11-03,Y,116.13,114.0,114.5,98.35,-15.31,106.33,-8.43,15,133.09,97.37,-16.15,113.31,-2.42
BILL,2023-02-02,Y,128.91,97.74,103.6,91.0,-29.4,94.51,-26.68,15,106.96,91.0,-29.4,93.3,-27.62
