Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BLCM,2015-03-11,Y,23.36,22.96,24.49,22.55,4.83,23.52,0.68,9,27.25,22.15,16.65,25.19,7.83
BLCM,2015-05-11,Y,24.96,24.66,24.66,23.72,-4.96,24.46,-2.0,4,25.73,22.65,-9.25,23.02,-7.77
BLCM,2015-08-13,Y,17.82,17.63,18.8,16.67,-6.5,18.48,3.64,8,19.21,15.79,-11.44,17.46,-2.07
BLCM,2016-03-14,Y,10.02,9.5,9.77,8.01,-20.13,8.09,-19.34,4,9.77,7.24,-27.81,8.14,-18.84
BLCM,2016-05-09,Y,9.41,9.4,9.43,8.77,-6.8,9.36,-0.53,11,10.19,8.65,8.28,10.16,7.97
BLCM,2016-08-08,Y,17.05,18.5,19.98,17.85,17.18,19.88,16.59,11,20.07,17.85,17.71,18.12,6.27
BLCM,2016-11-07,Y,17.75,17.5,18.14,17.29,-2.59,17.73,-0.11,11,23.11,17.29,30.19,22.52,26.87
BLCM,2017-03-13,Y,14.09,13.47,13.63,12.72,-9.72,13.41,-4.82,4,14.86,12.72,-9.72,14.58,3.47
BLCM,2017-05-08,Y,12.31,12.3,12.3,11.32,-8.04,11.9,-3.33,11,13.16,11.32,-8.04,12.6,2.35
BLCM,2017-08-08,Y,10.71,10.08,10.19,8.1,-24.36,8.44,-21.19,10,10.2,7.41,-30.81,7.77,-27.45
BLCM,2017-11-08,Y,10.39,10.23,10.47,9.88,-4.9,10.15,-2.3,9,10.47,9.11,-12.31,10.0,-3.75
BLCM,2018-03-13,Y,8.08,8.28,8.35,7.75,-4.08,8.22,1.73,3,8.45,7.75,4.57,7.96,-1.48
BLCM,2018-05-08,Y,6.86,6.93,8.24,6.93,20.11,7.93,15.59,10,8.37,6.93,22.01,8.0,16.61
BLCM,2018-08-07,Y,6.06,5.95,6.46,5.95,6.6,6.11,0.82,10,6.75,5.95,11.38,6.51,7.42
BLCM,2018-11-06,Y,4.52,4.74,4.74,4.33,4.86,4.59,1.54,10,4.78,4.12,-8.84,4.29,-5.08
BLCM,2019-03-12,Y,3.27,3.04,3.48,3.04,-7.03,3.41,4.28,3,3.48,3.04,-7.03,3.25,-0.61
BLCM,2019-05-07,Y,3.15,3.15,3.2,3.02,-4.12,3.12,-0.95,10,3.2,2.75,-12.69,2.93,-6.98
BLCM,2020-03-12,Y,5.91,5.4,5.85,3.92,-33.67,4.86,-17.76,8,5.85,3.32,-43.82,3.82,-35.36
BLCM,2020-05-07,Y,5.58,5.7,7.77,5.36,39.24,7.36,31.89,8,7.77,5.32,39.24,6.11,9.49
BLCM,2020-08-06,Y,7.49,7.5,7.66,6.87,-8.27,7.06,-5.74,15,7.66,6.1,-18.55,6.45,-13.88
BLCM,2020-11-05,Y,2.86,2.97,2.97,2.75,3.84,2.8,-2.09,15,3.25,2.74,13.63,3.04,6.29
BLCM,2021-03-30,Y,3.38,3.5,3.91,3.4,15.68,3.76,11.24,17,3.91,3.17,15.68,3.2,-5.32
BLCM,2021-05-17,Y,2.99,3.01,3.02,2.72,-9.03,2.79,-6.68,4,3.02,2.57,-14.04,2.64,-11.7
BLCM,2021-08-13,Y,2.95,3.0,3.01,2.88,-2.37,2.88,-2.37,7,3.01,2.68,-9.15,2.86,-3.05
BLCM,2022-08-11,Y,1.42,1.47,1.5,1.44,5.63,1.45,2.11,8,1.55,1.4,9.15,1.43,0.7
