Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BLIN,2008-08-14,Y,2.0,2.0,2.04,1.7,-15.0,1.81,-9.49,1,2.04,1.7,-15.0,1.81,-9.49
BLIN,2008-12-29,Y,0.65,0.65,0.65,0.61,-6.15,0.62,-4.61,18,1.52,0.5,133.84,0.75,15.38
BLIN,2009-02-12,Y,0.66,0.8,0.95,0.8,43.93,0.8,21.21,8,1.2,0.77,81.81,1.2,81.81
BLIN,2009-05-11,Y,1.77,1.46,1.69,1.3,-26.55,1.43,-19.2,4,1.69,1.3,-26.55,1.54,-12.99
BLIN,2009-08-11,Y,1.23,1.23,1.52,1.2,23.57,1.52,23.57,10,1.52,1.07,23.57,1.3,5.69
BLIN,2009-12-28,Y,1.25,1.35,1.5,1.18,20.0,1.29,3.2,18,1.5,1.11,20.0,1.27,1.6
BLIN,2010-02-16,Y,1.61,1.58,1.6,1.42,-11.8,1.5,-6.83,3,1.6,1.33,-17.39,1.39,-13.66
BLIN,2010-05-14,Y,1.25,1.22,1.26,1.2,-4.0,1.2,-4.0,7,1.26,1.07,-14.39,1.11,-11.19
BLIN,2010-08-13,Y,1.05,1.05,1.05,1.04,-0.95,1.04,-0.95,7,1.13,1.0,8.57,1.14,8.57
BLIN,2010-12-29,Y,1.54,1.45,1.55,1.3,-15.58,1.45,-5.84,23,1.56,1.3,-15.58,1.32,-14.28
BLIN,2011-02-14,Y,1.4,1.46,1.46,1.31,-6.42,1.35,-3.57,4,1.46,1.19,-15.0,1.22,-12.85
BLIN,2011-05-16,Y,1.1,1.06,1.1,1.05,-4.54,1.1,,4,1.13,1.03,-6.36,1.12,1.81
BLIN,2011-08-15,Y,0.94,0.92,0.92,0.85,-9.57,0.87,-7.44,4,0.92,0.82,-12.76,0.85,-9.57
