Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BLUE,2013-11-13,,20.49,20.39,20.71,19.75,-3.61,20.59,0.48,2,21.48,18.63,-9.07,18.94,-7.56
BLUE,2014-03-05,Y,25.91,26.0,26.01,23.98,-7.44,24.1,-6.98,16,27.99,23.25,-10.26,25.25,-2.54
BLUE,2014-08-12,Y,33.54,33.63,35.88,33.2,6.94,34.94,4.14,3,36.97,33.2,10.19,36.4,8.49
BLUE,2014-11-12,N,41.77,41.82,42.48,40.68,-2.6,41.02,-1.79,10,43.85,38.6,-7.58,42.69,2.2
BLUE,2015-02-25,Y,96.3,95.89,96.5,92.22,-4.23,96.22,-0.08,23,128.88,92.22,33.83,124.76,29.55
BLUE,2015-05-06,Y,139.62,142.85,153.21,142.85,9.73,152.41,9.16,9,169.88,142.85,21.67,154.41,10.6
BLUE,2016-02-24,Y,52.37,51.03,52.45,47.05,-10.15,48.15,-8.05,23,59.29,42.8,-18.27,44.64,-14.76
BLUE,2016-05-04,Y,40.72,40.54,41.5,38.15,-6.33,38.7,-4.98,16,41.76,35.36,-13.18,40.6,-0.31
BLUE,2016-11-02,Y,46.4,45.05,46.05,37.04,-20.17,41.3,-10.99,16,64.84,37.04,39.74,62.0,33.62
BLUE,2017-02-22,Y,74.0,74.9,79.7,74.4,7.7,78.3,5.81,23,100.4,74.4,35.67,92.4,24.86
BLUE,2017-05-03,Y,87.25,88.25,94.0,88.25,7.73,93.2,6.81,16,94.0,81.15,7.73,82.45,-5.5
BLUE,2017-08-02,Y,90.85,90.2,93.45,85.65,-5.72,93.4,2.8,16,99.18,85.65,9.16,92.45,1.76
BLUE,2018-02-21,Y,207.4,205.0,206.65,195.05,-5.95,201.2,-2.98,23,236.17,195.05,13.87,199.8,-3.66
BLUE,2018-05-02,Y,172.5,171.1,173.35,166.0,-3.76,169.6,-1.68,16,192.35,166.0,11.5,183.7,6.49
BLUE,2018-08-02,N,155.5,151.5,157.35,147.8,-4.95,156.6,0.7,16,161.85,147.8,-4.95,158.0,1.6
BLUE,2018-10-31,N,110.87,112.9,115.72,108.25,4.37,114.7,3.45,17,139.74,108.25,26.03,125.34,13.05
BLUE,2019-02-20,Y,133.44,133.48,134.33,127.11,-4.74,127.24,-4.64,23,160.74,127.11,20.45,158.04,18.43
BLUE,2019-05-01,Y,139.62,138.5,142.25,137.02,1.88,141.98,1.69,16,147.48,120.61,-13.61,128.34,-8.07
BLUE,2019-10-31,Y,81.0,81.05,87.62,80.05,8.17,82.86,2.29,15,87.62,72.02,-11.08,74.99,-7.41
BLUE,2020-02-18,Y,88.22,85.5,86.0,78.66,-10.83,80.45,-8.8,3,86.0,78.66,-10.83,80.2,-9.09
BLUE,2020-05-11,N,59.28,63.11,63.29,56.29,6.76,60.23,1.6,7,63.55,52.63,-11.21,56.66,-4.41
BLUE,2020-11-04,Y,58.55,48.35,50.82,44.83,-23.43,48.83,-16.6,16,50.82,42.65,-27.15,43.07,-26.43
BLUE,2021-02-19,Y,26.68,26.72,27.09,26.01,-2.51,26.07,-2.28,28,34.5,24.24,29.31,31.58,18.36
BLUE,2021-02-23,Y,25.62,26.3,26.69,25.62,4.17,25.92,1.17,24,34.5,25.6,34.66,31.58,23.26
BLUE,2021-08-09,N,25.02,19.38,19.58,18.11,-27.64,18.16,-27.44,14,20.14,17.16,-31.41,17.58,-29.73
BLUE,2021-11-04,N,16.08,16.16,16.44,15.53,-3.42,16.31,1.43,16,17.85,10.35,-35.63,10.7,-33.45
BLUE,2022-03-04,Y,5.0,4.17,4.63,4.16,-16.79,4.45,-10.99,14,5.12,4.04,-19.2,4.99,-0.19
BLUE,2022-05-09,Y,3.33,3.79,3.98,3.4,19.51,3.85,15.61,11,3.98,3.08,19.51,3.27,-1.8
BLUE,2023-03-29,N,4.32,3.68,3.74,2.95,-31.71,3.26,-24.53,24,3.74,2.78,-35.64,3.43,-20.6
