Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BMY,2002-01-24,N,49.38,48.8,48.99,46.79,-5.24,46.85,-5.12,22,48.99,42.0,-14.94,45.35,-8.16
BMY,2002-03-11,N,48.0,48.29,49.0,47.7,2.08,48.6,1.25,4,51.2,47.7,6.66,50.91,6.06
BMY,2002-04-25,N,31.0,30.9,30.9,29.48,-4.9,29.89,-3.58,22,30.9,27.0,-12.9,30.47,-1.7
BMY,2002-05-08,N,28.01,28.2,29.21,28.2,4.28,28.5,1.74,9,30.48,28.0,8.81,30.47,8.78
BMY,2002-07-23,Y,21.1,20.0,20.7,19.5,-7.58,20.55,-2.6,24,24.5,19.5,16.11,22.98,8.9
BMY,2002-08-08,N,23.25,23.26,24.0,22.9,3.22,23.55,1.29,8,24.5,21.8,-6.23,22.98,-1.16
BMY,2002-10-24,N,23.79,23.81,24.79,23.4,4.2,24.17,1.59,22,27.37,23.03,15.04,24.05,1.09
BMY,2003-02-13,N,23.16,22.8,22.9,21.95,-5.22,22.4,-3.28,8,23.49,21.55,-6.95,23.14,-0.08
BMY,2003-03-10,N,22.8,22.0,23.36,21.5,-5.7,22.51,-1.27,11,23.36,21.0,-7.89,22.33,-2.06
BMY,2003-04-29,Y,25.21,25.2,25.77,24.9,2.22,25.54,1.3,17,26.68,24.9,5.83,25.82,2.41
BMY,2003-05-08,N,25.85,25.6,25.75,25.38,-1.81,25.6,-0.96,8,26.68,25.05,3.21,25.82,-0.11
BMY,2003-07-24,N,25.87,27.0,26.9,26.4,3.98,26.44,2.2,22,26.9,25.28,3.98,25.89,0.07
BMY,2003-08-07,N,25.48,25.3,26.11,25.28,2.47,26.09,2.39,8,26.67,25.28,4.67,25.89,1.6
BMY,2003-10-23,N,24.25,24.5,25.18,24.39,3.83,25.1,3.5,29,26.95,24.39,11.13,26.05,7.42
BMY,2003-11-06,N,25.0,25.26,25.26,25.26,1.04,25.26,1.04,15,26.95,24.84,7.79,26.05,4.2
BMY,2004-01-29,N,29.57,28.82,28.82,28.82,2.53,28.82,-2.53,22,30.08,27.9,-5.64,28.27,-4.39
