Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
BPMC,2015-11-09,Y,22.82,23.0,23.0,21.34,-6.48,22.64,-0.78,11,23.0,19.13,-16.17,20.01,-12.31
BPMC,2016-05-10,Y,15.36,15.5,15.71,14.92,-2.86,15.24,-0.78,10,18.3,14.04,19.14,18.02,17.31
BPMC,2016-08-09,Y,23.76,23.99,23.99,22.4,-5.72,23.57,-0.79,10,27.5,22.4,15.74,27.11,14.09
BPMC,2016-11-10,Y,33.19,34.57,35.2,33.19,6.05,34.77,4.76,8,37.01,33.19,11.5,36.34,9.49
BPMC,2017-03-09,Y,36.22,37.15,39.78,36.25,9.79,39.32,8.52,8,42.42,36.25,17.08,41.36,14.15
BPMC,2017-05-04,Y,41.57,41.45,41.45,39.67,-4.57,40.53,-2.5,15,41.66,38.38,-7.67,39.61,-4.71
BPMC,2017-08-02,N,53.22,53.37,54.2,48.05,-9.71,49.29,-7.38,17,54.2,41.63,-21.77,42.37,-20.38
BPMC,2017-10-31,N,68.53,70.37,70.37,63.86,-6.81,66.42,-3.07,18,74.42,61.58,-10.14,66.17,-3.44
BPMC,2018-02-21,N,81.84,81.57,92.5,80.95,13.02,87.49,6.9,24,109.0,80.95,33.18,99.52,21.6
BPMC,2018-05-02,N,79.64,79.0,85.38,76.27,7.2,83.06,4.29,17,86.46,75.73,8.56,82.07,3.05
BPMC,2018-08-01,N,59.54,62.23,72.34,60.66,21.49,66.79,12.17,17,72.34,60.66,21.49,69.69,17.04
BPMC,2018-10-30,N,61.63,59.47,63.89,58.73,-4.7,60.8,-1.34,18,68.24,51.27,-16.8,55.25,-10.35
BPMC,2019-02-26,N,77.63,75.5,79.07,74.22,-4.39,76.42,-1.55,18,89.0,74.22,14.64,85.74,10.44
BPMC,2019-05-09,N,76.76,76.5,82.76,76.5,7.81,82.3,7.21,9,83.78,73.37,9.14,81.3,5.91
BPMC,2019-08-01,N,100.15,99.62,99.96,92.9,-7.23,93.82,-6.32,16,99.96,81.0,-19.12,84.06,-16.06
BPMC,2020-02-13,N,64.74,64.52,66.22,63.45,2.28,63.81,-1.43,9,68.15,63.2,5.26,67.63,4.46
BPMC,2020-05-06,N,59.74,58.29,60.19,57.48,-3.78,58.97,-1.28,10,66.33,57.48,11.03,63.58,6.42
BPMC,2020-07-30,N,73.75,72.3,74.9,71.83,-2.6,73.89,0.18,23,76.68,71.83,3.97,74.37,0.84
BPMC,2020-10-29,N,104.63,106.3,108.5,102.09,3.69,106.84,2.11,23,108.5,93.13,-10.99,97.65,-6.67
BPMC,2021-02-17,N,93.2,90.47,102.67,90.41,10.16,100.25,7.56,3,102.67,90.41,10.16,100.31,7.62
BPMC,2021-04-29,N,97.26,101.13,101.78,95.81,4.64,98.87,1.65,23,101.78,88.3,-9.21,96.42,-0.86
BPMC,2021-07-29,N,82.91,82.01,86.11,80.62,3.85,84.74,2.2,23,96.5,80.62,16.39,93.83,13.17
BPMC,2021-10-28,N,104.21,103.95,113.53,103.12,8.94,113.33,8.75,23,117.86,103.12,13.09,108.92,4.51
BPMC,2022-02-16,N,83.21,82.5,82.52,72.23,-13.19,74.89,-9.99,3,82.52,66.18,-20.46,66.69,-19.85
BPMC,2022-05-03,N,59.72,60.94,64.55,59.87,8.08,62.82,5.19,18,64.55,50.95,-14.68,57.37,-3.93
BPMC,2022-08-02,N,50.6,50.0,58.58,50.0,15.77,56.29,11.24,18,73.03,50.0,44.32,69.66,37.66
BPMC,2022-11-01,N,51.84,53.81,53.81,48.08,-7.25,48.24,-6.94,18,53.81,40.78,-21.33,42.47,-18.07
BPMC,2023-02-16,N,44.03,44.92,45.98,43.59,4.42,44.71,1.54,2,46.58,43.59,5.79,46.22,4.97
