Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CALX,2010-05-06,Y,11.6,10.93,11.25,10.14,-12.58,10.4,-10.34,15,11.9,9.66,-16.72,10.85,-6.46
CALX,2010-07-22,Y,10.8,11.61,11.63,9.75,-9.72,10.45,-3.24,29,11.63,9.75,-9.72,9.93,-8.05
CALX,2010-10-21,Y,12.66,12.7,12.94,12.54,2.21,12.93,2.13,29,13.66,12.17,7.89,12.85,1.5
CALX,2011-02-03,Y,15.81,16.11,17.48,15.88,10.56,17.38,9.93,15,20.8,15.88,31.56,19.14,21.12
CALX,2011-04-28,Y,20.12,21.31,22.13,20.45,9.99,21.86,8.64,22,22.97,20.25,14.16,21.54,7.05
CALX,2011-07-21,Y,22.02,22.0,22.47,20.02,-9.08,20.3,-7.81,29,22.47,12.81,-41.82,12.92,-41.32
CALX,2011-10-20,Y,8.4,7.9,7.9,6.39,-23.92,6.82,-18.8,1,7.9,6.39,-23.92,6.82,-18.8
CALX,2012-02-07,Y,8.59,9.59,11.75,9.5,36.78,10.91,27.0,10,12.21,9.5,42.14,11.57,34.69
CALX,2012-05-01,Y,7.6,7.65,9.34,7.65,22.89,8.92,17.36,17,9.48,7.01,24.73,7.05,-7.23
CALX,2012-07-31,Y,4.61,4.38,4.65,4.28,-7.15,4.34,-5.85,17,5.34,4.25,15.83,5.17,12.14
CALX,2012-10-25,Y,5.9,6.02,6.99,6.02,18.47,6.85,16.1,22,7.04,5.47,19.32,5.68,-3.72
CALX,2013-02-05,Y,8.51,8.44,8.52,7.26,-14.68,7.68,-9.75,10,8.66,7.26,-14.68,8.65,1.64
CALX,2013-04-25,Y,8.0,8.47,8.67,7.29,-8.87,8.41,5.12,22,9.69,7.29,21.12,9.64,20.5
CALX,2013-07-30,Y,11.72,11.95,12.2,11.65,4.09,11.68,-0.34,17,13.31,11.62,13.56,12.04,2.73
CALX,2013-10-29,Y,12.5,10.34,10.34,8.43,-32.56,9.82,-21.44,17,10.56,8.43,-32.56,10.4,-16.79
CALX,2014-02-11,Y,7.95,7.31,7.7,7.12,-10.44,7.48,-5.91,10,8.32,7.12,-10.44,8.28,4.27
CALX,2014-04-29,Y,8.46,8.47,9.27,8.47,9.57,8.81,4.13,17,9.27,7.72,9.57,7.87,-6.97
CALX,2014-07-29,Y,8.21,9.0,9.63,8.84,17.29,9.5,15.71,17,9.63,8.84,17.29,9.43,14.85
CALX,2014-10-29,Y,8.84,9.46,11.09,9.46,25.45,10.76,21.71,24,11.6,9.46,31.22,10.45,18.21
CALX,2015-02-03,Y,10.55,9.01,9.5,8.44,-20.0,8.67,-17.81,17,9.5,8.19,-22.36,8.21,-22.18
CALX,2015-04-28,Y,8.69,7.48,8.49,7.32,-15.76,8.0,-7.94,17,8.49,7.25,-16.57,7.68,-11.62
CALX,2015-07-28,Y,7.0,7.9,8.77,7.9,25.42,8.19,16.99,24,8.77,6.92,25.42,7.33,4.71
CALX,2015-10-29,Y,8.86,7.48,7.6,6.3,-28.89,6.99,-21.1,22,7.6,6.3,-28.89,7.32,-17.38
CALX,2016-02-09,Y,7.23,6.91,7.07,6.0,-17.01,6.16,-14.79,10,7.07,5.64,-21.99,5.94,-17.84
CALX,2016-05-03,Y,6.9,6.97,7.76,6.94,12.46,7.32,6.08,17,7.76,6.24,12.46,6.46,-6.37
CALX,2016-08-02,Y,7.57,7.99,8.19,7.72,8.19,8.13,7.39,17,8.19,7.57,8.19,7.7,1.71
CALX,2016-11-01,Y,6.25,6.7,7.05,6.65,12.79,6.65,6.4,17,7.85,6.45,25.59,7.6,21.59
CALX,2017-02-14,Y,7.65,6.45,6.99,6.15,-19.6,6.9,-9.8,3,7.0,6.15,-19.6,6.8,-11.11
CALX,2017-05-09,Y,6.55,6.8,6.85,6.35,4.58,6.8,3.81,10,6.93,6.35,5.8,6.65,1.52
CALX,2017-08-08,Y,6.85,6.35,6.35,5.3,-22.62,5.35,-21.89,10,6.35,4.8,-29.92,4.85,-29.19
CALX,2017-11-07,Y,5.2,5.45,5.75,5.4,10.57,5.7,9.61,10,6.5,5.4,24.99,6.45,24.03
CALX,2018-02-13,Y,6.6,6.85,6.85,6.0,-9.09,6.3,-4.54,3,7.15,6.0,-9.09,6.85,3.78
CALX,2018-05-08,Y,6.5,6.05,6.55,6.0,-7.69,6.5,0.0,10,6.65,6.0,-7.69,6.6,1.53
CALX,2018-08-07,Y,6.9,7.05,7.05,6.2,-10.14,6.7,-2.89,10,7.2,6.2,-10.14,6.9,0.0
CALX,2018-11-05,Y,7.52,8.21,9.4,8.21,25.0,9.37,24.6,11,10.73,8.21,42.68,10.61,41.09
CALX,2019-02-05,Y,10.88,9.88,9.88,7.7,-29.22,7.94,-27.02,10,9.88,7.35,-32.44,8.2,-24.63
CALX,2019-05-01,N,6.85,7.3,7.57,7.05,10.51,7.4,8.02,17,7.57,6.45,10.51,6.55,-4.37
CALX,2019-10-22,Y,7.18,7.47,7.89,7.37,9.88,7.58,5.57,24,8.0,7.37,11.42,7.73,7.66
CALX,2020-10-20,Y,21.12,26.04,27.78,24.11,31.53,25.45,20.5,31,27.78,21.58,31.53,23.9,13.16
CALX,2021-01-27,Y,34.4,36.3,36.3,30.68,-10.81,32.54,-5.4,23,38.26,29.12,-15.34,36.3,5.52
CALX,2021-04-27,Y,45.03,46.23,47.72,42.75,5.97,42.85,-4.84,24,48.69,37.5,-16.72,43.47,-3.46
CALX,2021-07-26,Y,47.83,45.44,48.14,43.63,-8.78,44.26,-7.46,25,48.14,41.76,-12.69,42.96,-10.18
CALX,2021-10-25,Y,53.5,52.63,58.45,50.55,9.25,58.07,8.54,25,76.6,50.55,43.17,71.66,33.94
CALX,2022-01-26,Y,41.03,43.65,46.1,40.26,12.35,40.4,-1.53,23,57.96,40.26,41.26,53.54,30.48
CALX,2022-04-25,Y,39.62,40.8,42.87,38.09,8.2,38.09,-3.86,25,42.87,32.82,-17.16,34.83,-12.08
CALX,2022-07-25,Y,44.32,48.15,51.33,47.01,15.81,50.38,13.67,25,59.32,47.01,33.84,57.83,30.48
CALX,2022-10-24,Y,60.34,66.19,72.58,65.16,20.28,71.4,18.32,25,75.46,61.5,25.05,69.82,15.71
CALX,2023-01-25,Y,57.95,61.27,63.9,55.56,10.26,56.5,-2.5,23,63.9,49.63,-14.35,52.39,-9.59
CALX,2023-04-19,Y,48.47,53.5,53.5,46.13,10.37,47.19,-2.64,2,53.5,45.4,10.37,48.02,-0.92
