Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CBAY,2014-11-12,Y,7.74,7.74,8.02,7.4,-4.39,7.68,-0.77,10,8.02,6.59,-14.85,7.1,-8.26
CBAY,2015-03-18,Y,8.86,8.6,9.3,7.85,-11.39,9.01,1.69,2,9.3,7.85,-11.39,8.96,1.12
CBAY,2015-05-07,Y,3.9,3.92,3.98,2.86,-26.66,3.03,-22.3,8,3.98,2.67,-31.53,3.4,-12.82
CBAY,2015-08-10,Y,2.85,2.69,2.82,2.55,-10.52,2.77,-2.8,11,2.9,2.55,-10.52,2.69,-5.61
CBAY,2015-11-12,Y,1.44,1.45,1.61,1.42,11.8,1.52,5.55,8,1.68,1.28,16.66,1.3,-9.72
CBAY,2016-03-29,Y,1.41,1.41,1.45,1.35,-4.25,1.35,-4.25,17,1.92,1.32,36.17,1.63,15.6
CBAY,2016-05-11,Y,2.4,2.39,2.45,2.16,-9.99,2.21,-7.91,9,2.61,2.16,-9.99,2.41,0.41
CBAY,2016-08-09,Y,1.79,1.8,1.8,1.65,-7.82,1.77,-1.11,10,2.45,1.65,36.87,2.25,25.69
CBAY,2016-11-09,Y,1.45,1.6,1.65,1.42,13.79,1.53,5.51,9,2.39,1.42,64.82,2.08,43.44
CBAY,2017-03-23,Y,3.81,3.8,4.33,3.79,13.64,4.19,9.97,29,4.4,3.49,15.48,3.58,-6.03
CBAY,2017-05-10,Y,3.66,3.66,3.66,3.4,-7.1,3.62,-1.09,9,4.2,3.4,14.75,3.91,6.83
CBAY,2017-08-10,Y,6.66,6.17,6.57,5.56,-16.51,6.57,-1.35,8,6.73,5.56,-16.51,6.26,-6.0
CBAY,2017-11-08,Y,8.33,8.36,9.08,8.3,9.0,8.69,4.32,9,9.3,7.96,11.64,8.66,3.96
CBAY,2018-03-06,Y,14.36,14.2,14.93,14.2,3.96,14.62,1.81,10,15.21,12.08,-15.87,13.74,-4.31
CBAY,2018-05-08,Y,12.3,11.9,12.64,10.3,-16.26,11.66,-5.2,10,12.93,10.3,-16.26,12.88,4.71
CBAY,2018-08-09,Y,11.64,11.97,13.4,11.72,15.12,12.09,3.86,8,13.4,11.72,15.12,12.25,5.24
CBAY,2018-11-06,Y,10.91,10.9,11.91,10.9,9.16,11.67,6.96,10,11.91,7.37,-32.44,9.66,-11.45
CBAY,2019-02-28,Y,11.81,12.6,13.2,11.93,11.76,12.69,7.45,15,14.0,11.93,18.54,12.85,8.8
CBAY,2019-05-08,Y,12.75,12.55,12.97,11.75,-7.84,12.88,1.01,9,13.32,11.75,-7.84,12.62,-1.01
CBAY,2019-08-07,Y,5.56,5.59,5.97,5.15,7.37,5.92,6.47,9,6.12,5.15,10.07,5.82,4.67
CBAY,2020-03-12,Y,1.41,1.6,1.68,1.53,19.14,1.59,12.76,8,1.68,1.21,19.14,1.4,-0.7
CBAY,2020-05-11,Y,1.84,4.59,4.95,4.02,169.02,4.18,127.17,4,4.95,3.47,169.02,4.05,120.1
CBAY,2020-08-10,Y,6.9,6.45,6.68,5.7,-17.39,5.72,-17.1,11,6.98,5.48,-20.57,6.46,-6.37
CBAY,2020-11-05,Y,8.5,8.34,8.37,7.81,-8.11,7.85,-7.64,15,8.48,7.54,-11.29,7.77,-8.58
CBAY,2021-03-25,Y,4.59,4.7,4.76,4.31,-6.1,4.49,-2.17,22,4.76,4.1,-10.67,4.32,-5.88
CBAY,2021-05-13,Y,4.12,4.05,4.36,3.9,5.82,4.3,4.36,8,4.53,3.9,9.95,4.4,6.79
CBAY,2021-08-12,Y,3.96,3.94,3.94,3.56,-10.1,3.63,-8.33,8,3.94,3.39,-14.39,3.47,-12.37
CBAY,2021-11-10,Y,4.28,4.42,4.58,4.26,7.0,4.32,0.93,9,4.58,3.83,-10.51,3.87,-9.57
CBAY,2022-03-17,Y,3.18,3.18,3.54,3.11,11.32,3.15,-0.94,1,3.54,3.11,11.32,3.15,-0.94
CBAY,2022-05-12,Y,1.78,1.81,1.88,1.77,5.61,1.8,1.12,8,2.12,1.77,19.1,2.1,17.97
CBAY,2022-08-11,Y,3.74,3.8,4.22,3.8,12.83,4.01,7.21,8,4.22,3.8,12.83,3.87,3.47
CBAY,2022-11-14,Y,3.61,3.66,3.99,3.66,10.52,3.67,1.66,4,3.99,3.26,10.52,3.36,-6.92
CBAY,2023-03-16,Y,9.14,9.05,10.05,9.05,9.95,9.59,4.92,1,10.05,9.05,9.95,9.59,4.92
