Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CBIO,2015-11-05,N,3.61,3.6,3.86,3.6,6.92,3.68,1.93,15,3.94,2.5,-30.74,2.99,-17.17
CBIO,2016-03-14,Y,1.87,1.88,2.0,1.85,6.95,1.86,-0.53,4,2.0,1.55,-17.11,1.65,-11.76
CBIO,2016-11-03,Y,0.7,0.72,0.72,0.68,2.85,0.68,-2.85,15,0.79,0.62,12.85,0.77,10.0
CBIO,2017-03-08,N,6.78,6.15,6.56,6.06,-10.61,6.15,-9.29,9,6.8,5.01,-26.1,5.12,-24.48
CBIO,2017-05-11,N,4.25,4.2,4.29,4.05,-4.7,4.16,-2.11,9,4.29,3.64,-14.35,4.03,-5.17
CBIO,2017-08-03,N,3.91,3.91,3.95,3.52,-9.97,3.72,-4.85,16,3.95,3.27,-16.36,3.32,-15.08
CBIO,2017-11-02,N,4.71,4.76,4.76,4.4,-6.58,4.51,-4.03,16,9.29,4.4,97.23,5.93,25.9
CBIO,2018-08-02,N,9.77,9.73,10.46,9.6,7.06,10.41,6.55,16,10.98,9.6,12.38,10.33,5.73
CBIO,2018-11-01,N,8.9,8.8,10.2,8.69,14.6,9.93,11.57,16,11.44,8.69,28.53,10.96,23.14
CBIO,2019-03-07,Y,7.94,7.93,7.93,7.52,-5.28,7.86,-1.0,8,9.55,7.52,20.27,9.44,18.89
CBIO,2019-05-02,Y,8.2,8.11,8.5,8.01,3.65,8.46,3.17,15,9.09,8.01,10.85,8.47,3.29
CBIO,2020-05-07,Y,6.48,6.52,6.55,6.31,-2.62,6.36,-1.85,8,6.95,6.01,7.25,6.19,-4.47
CBIO,2020-08-06,N,5.4,5.34,5.39,5.15,-4.62,5.37,-0.55,16,5.71,5.15,5.74,5.32,-1.48
CBIO,2020-11-05,N,5.56,5.62,5.88,5.47,5.75,5.81,4.49,16,6.18,5.4,11.15,5.81,4.49
CBIO,2021-03-04,N,6.26,6.19,6.4,5.63,-10.06,5.89,-5.91,16,6.4,5.37,-14.21,5.7,-8.94
CBIO,2021-05-06,N,4.64,4.61,4.61,4.43,-4.52,4.53,-2.37,16,4.61,4.11,-11.42,4.25,-8.4
CBIO,2021-08-05,N,4.07,4.1,4.19,3.92,-3.68,4.09,0.49,16,4.45,3.72,9.33,3.93,-3.43
CBIO,2021-11-11,N,3.05,3.08,3.1,2.92,-4.26,2.94,-3.6,9,3.1,1.29,-57.7,1.31,-57.04
CBIO,2022-03-30,Y,0.66,0.65,0.69,0.65,4.54,0.66,0.0,15,0.69,0.54,-18.18,0.54,-18.18
CBIO,2022-08-15,Y,1.93,1.9,1.93,1.89,-2.07,1.89,-2.07,4,1.99,1.87,3.1,1.99,3.1
