Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CCI,2002-02-28,Y,6.21,6.4,8.36,6.35,34.62,7.9,27.21,15,10.02,6.35,61.51,7.6,22.38
CCI,2002-05-08,Y,5.8,5.75,5.76,4.82,-16.89,4.86,-16.2,9,5.76,4.05,-30.17,4.84,-16.37
CCI,2002-08-08,Y,1.88,1.5,1.51,1.07,-43.08,1.14,-38.82,8,1.51,1.0,-46.8,1.47,-21.8
CCI,2002-11-14,Y,3.3,3.5,3.65,3.43,10.6,3.59,8.78,1,3.65,3.43,10.6,3.59,8.78
CCI,2003-02-26,Y,3.9,4.0,4.05,3.77,3.84,3.83,-1.79,23,5.75,3.77,47.43,5.69,45.89
CCI,2003-05-05,Y,6.46,6.53,7.2,6.52,11.45,7.2,11.45,11,7.6,6.52,17.64,7.03,8.82
CCI,2003-07-31,Y,9.9,10.1,10.1,9.47,-4.34,9.63,-2.72,15,10.97,9.47,10.8,10.09,1.91
CCI,2003-10-28,Y,11.85,12.05,13.1,12.0,10.54,12.96,9.36,24,13.1,11.44,10.54,11.9,0.42
CCI,2004-02-18,Y,12.1,12.14,12.14,12.14,0.33,12.14,0.33,2,12.2,11.86,-1.98,11.98,-0.99
CCI,2004-05-05,Y,14.75,14.55,14.55,14.55,1.35,14.55,-1.35,16,14.6,12.99,-11.93,14.0,-5.08
CCI,2004-07-28,Y,14.42,14.43,14.99,14.17,3.95,14.21,-1.45,23,14.99,12.65,-12.27,13.65,-5.33
CCI,2004-10-26,Y,15.38,15.09,15.6,14.6,-5.07,15.52,0.91,24,16.98,14.6,10.4,16.42,6.76
CCI,2005-03-17,N,16.46,16.21,16.61,16.1,-2.18,16.42,-0.24,1,16.61,16.1,-2.18,16.25,-1.27
CCI,2005-04-28,Y,16.19,16.22,16.39,15.82,-2.28,16.13,-0.37,22,17.23,15.82,6.42,16.95,4.69
CCI,2005-08-02,Y,21.4,21.65,22.42,21.51,4.76,22.3,4.2,17,23.29,21.37,8.83,23.25,8.64
CCI,2005-10-26,Y,23.97,24.0,24.68,23.7,2.96,24.65,2.83,23,29.2,23.7,21.81,26.84,11.97
CCI,2006-02-28,Y,31.35,31.35,31.39,29.83,-4.84,29.89,-4.65,17,31.39,29.08,-7.24,29.1,-7.17
CCI,2006-04-26,Y,32.43,32.75,32.75,31.74,-2.12,32.36,-0.21,23,34.93,31.35,7.7,31.78,-2.0
CCI,2006-08-03,Y,35.4,34.99,35.4,33.47,-5.45,34.03,-3.87,15,35.4,32.22,-8.98,34.02,-3.89
CCI,2006-10-25,Y,33.02,33.5,34.97,33.5,5.9,34.6,4.78,23,34.97,32.31,5.9,34.54,4.63
CCI,2007-02-08,Y,35.15,35.15,35.79,34.47,-1.93,34.85,-0.85,8,35.79,33.96,-3.38,34.88,-0.76
CCI,2007-05-02,Y,35.19,35.24,35.24,33.68,-4.29,34.17,-2.89,16,36.0,33.52,-4.74,35.63,1.25
CCI,2007-07-31,Y,36.25,36.15,36.2,34.4,-5.1,35.71,-1.48,17,40.63,33.4,12.08,36.43,0.49
CCI,2007-10-30,Y,41.32,39.5,41.2,38.99,-5.63,41.07,-0.6,17,41.24,36.11,-12.6,41.17,-0.36
CCI,2008-02-06,Y,34.79,34.45,34.57,32.72,-5.97,33.21,-4.56,9,36.74,32.72,-5.97,35.36,1.6
CCI,2008-04-23,Y,39.0,38.02,39.54,38.02,-2.51,38.92,-0.2,23,42.8,38.0,9.74,42.62,9.28
CCI,2008-07-24,Y,35.64,37.52,38.0,36.4,6.62,37.25,4.51,22,38.9,35.88,9.14,38.07,6.81
CCI,2008-11-05,Y,20.75,20.78,20.93,17.14,-17.39,17.53,-15.51,16,20.93,8.75,-57.83,10.19,-50.89
CCI,2009-02-24,Y,16.8,16.5,18.25,15.88,8.63,17.76,5.71,24,20.61,15.4,22.67,19.45,15.77
CCI,2009-04-29,Y,23.61,24.97,27.23,22.88,15.33,24.52,3.85,16,27.23,21.69,15.33,21.9,-7.24
CCI,2009-07-29,Y,27.06,27.43,29.43,27.43,8.75,29.09,7.5,23,29.99,26.51,10.82,28.92,6.87
CCI,2009-11-03,Y,31.59,32.38,34.27,31.92,8.48,31.96,1.17,17,37.94,31.92,20.1,37.45,18.55
CCI,2010-01-27,Y,38.25,37.2,37.42,36.01,-5.85,37.17,-2.82,23,39.03,34.11,-10.82,38.61,0.96
CCI,2010-04-28,Y,37.52,38.72,39.0,37.85,3.94,38.34,2.18,23,39.0,34.25,-8.71,36.03,-3.97
CCI,2010-07-28,Y,38.99,38.6,39.26,38.04,-2.43,39.19,0.51,23,41.44,38.04,6.28,40.6,4.12
CCI,2010-10-27,Y,42.13,42.66,43.3,42.26,2.77,42.64,1.21,23,43.64,41.31,3.58,42.7,1.35
CCI,2011-01-26,Y,43.64,43.95,44.02,43.04,-1.37,43.86,0.5,23,46.27,41.96,6.02,43.78,0.32
CCI,2011-04-27,Y,44.45,44.17,44.45,43.59,-1.93,43.67,-1.75,23,44.45,40.72,-8.39,41.38,-6.9
CCI,2011-07-27,Y,42.0,42.17,44.8,41.96,6.66,43.91,4.54,23,44.8,37.53,-10.64,40.04,-4.64
CCI,2011-10-25,Y,43.15,43.18,43.3,41.08,-4.79,41.64,-3.49,24,43.3,40.15,-6.95,40.21,-6.81
CCI,2012-01-25,Y,46.7,46.84,47.23,46.16,-1.15,46.33,-0.79,23,51.44,46.16,10.14,51.37,9.99
CCI,2012-04-25,Y,56.09,56.17,57.78,55.63,3.01,56.26,0.3,23,57.78,52.58,-6.25,52.86,-5.75
CCI,2012-07-25,Y,57.76,59.76,62.95,59.18,8.98,60.69,5.07,23,63.44,59.18,9.83,62.49,8.18
CCI,2012-10-24,Y,65.95,65.01,66.34,63.42,-3.85,66.05,0.13,23,68.69,63.42,4.13,65.18,-1.18
CCI,2013-01-23,Y,75.13,74.91,75.5,73.3,-2.43,74.31,-1.07,23,75.5,66.13,-11.97,67.9,-9.62
CCI,2013-04-24,Y,73.9,75.26,79.0,75.26,6.9,78.36,6.03,23,81.16,75.26,9.82,77.87,5.37
CCI,2013-07-24,Y,76.72,76.89,76.89,73.34,-4.4,73.69,-3.94,23,76.89,66.73,-13.02,67.91,-11.48
CCI,2013-10-21,N,75.95,74.03,75.36,72.81,-4.14,74.66,-1.71,25,76.84,72.59,-4.43,76.09,0.17
CCI,2014-01-22,Y,73.77,74.05,74.97,72.55,-1.65,73.2,-0.77,30,76.54,68.44,-7.22,74.88,1.5
CCI,2014-04-23,Y,74.84,74.81,75.04,73.12,-2.31,73.84,-1.34,23,77.95,71.29,-4.75,76.8,2.6
CCI,2014-07-23,Y,76.59,76.5,76.5,73.45,-4.11,73.83,-3.61,23,78.7,72.53,-5.31,78.45,2.42
CCI,2014-10-30,Y,83.24,81.48,82.39,76.16,-8.5,78.12,-6.15,23,82.39,76.16,-8.5,82.17,-1.28
CCI,2015-01-21,Y,81.36,83.76,85.46,83.35,5.03,85.25,4.78,30,89.44,83.35,9.93,88.71,9.03
CCI,2015-04-22,Y,86.02,85.6,86.94,85.22,1.06,86.64,0.72,23,87.46,81.29,-5.49,83.8,-2.58
CCI,2015-07-22,Y,80.61,81.38,84.32,81.38,4.6,83.26,3.28,30,86.56,81.05,7.38,82.67,2.55
