Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CCO,2006-02-21,N,19.73,19.76,20.09,19.45,1.82,20.05,1.67,24,23.95,19.45,21.38,22.43,13.68
CCO,2006-05-03,Y,23.33,23.31,23.31,22.78,-2.35,22.8,-2.27,16,23.33,21.56,-7.58,21.82,-6.47
CCO,2006-08-08,N,20.6,20.65,21.0,19.7,-4.36,19.93,-3.25,10,21.0,18.66,-9.41,19.7,-4.36
CCO,2007-02-23,N,27.9,28.0,28.98,27.68,3.87,28.48,2.07,21,28.98,24.91,-10.71,26.67,-4.4
CCO,2007-04-26,N,28.76,28.88,29.98,28.71,4.24,29.78,3.54,22,29.98,28.01,4.24,29.0,0.83
CCO,2007-07-27,N,28.0,28.0,28.62,27.5,2.21,27.85,-0.53,21,28.62,22.81,-18.53,24.05,-14.1
CCO,2007-11-08,N,24.0,24.17,25.05,23.65,4.37,23.9,-0.41,8,27.65,23.65,15.2,26.59,10.79
CCO,2008-02-14,Y,23.01,24.3,25.0,23.38,8.64,23.68,2.91,1,25.0,23.38,8.64,23.68,2.91
CCO,2008-05-09,N,18.89,18.46,18.67,17.05,-9.74,18.05,-4.44,7,20.96,17.05,10.95,20.64,9.26
CCO,2008-08-11,N,16.05,17.0,18.07,16.7,12.58,17.75,10.59,4,18.07,16.22,12.58,17.53,9.22
CCO,2008-11-10,N,5.79,5.9,5.95,3.35,-42.14,3.57,-38.34,11,5.95,3.35,-42.14,5.13,-11.39
CCO,2009-03-02,N,3.25,3.0,3.0,2.14,-34.15,2.69,-17.23,18,3.04,2.14,-34.15,2.66,-18.15
CCO,2009-05-11,N,5.41,5.18,5.44,4.26,-21.25,5.04,-6.83,4,5.44,3.46,-36.04,3.68,-31.97
CCO,2009-08-10,Y,6.57,6.53,6.63,5.77,-12.17,5.9,-10.19,11,6.78,5.77,-12.17,6.71,2.13
CCO,2009-11-09,Y,7.5,7.56,7.74,7.31,3.2,7.59,1.19,11,9.33,7.31,24.4,9.19,22.66
CCO,2010-03-11,Y,10.58,11.08,11.95,11.08,12.94,11.85,12.0,8,12.1,11.08,14.36,11.17,5.57
CCO,2010-05-10,Y,10.73,11.16,11.48,10.85,6.98,10.88,1.39,11,11.48,8.61,-19.75,9.02,-15.93
CCO,2010-08-09,Y,11.87,11.87,11.87,10.56,-11.03,11.43,-3.7,11,11.87,10.1,-14.91,10.91,-8.08
CCO,2010-11-08,Y,12.86,12.86,13.33,12.77,3.65,13.27,3.18,11,14.12,12.69,9.79,13.72,6.68
CCO,2011-02-07,Y,14.82,14.43,14.83,14.31,-3.44,14.7,-0.8,11,15.47,14.31,4.38,15.06,1.61
CCO,2011-05-06,N,14.01,14.5,14.99,14.22,6.99,14.57,3.99,14,15.38,14.22,9.77,14.69,4.85
CCO,2011-08-03,N,10.76,12.13,12.46,10.76,15.79,11.14,3.53,16,12.46,9.31,15.79,10.19,-5.2
CCO,2011-10-31,Y,11.0,10.13,10.22,9.19,-16.45,9.88,-10.18,18,11.41,9.19,-16.45,11.02,0.18
CCO,2012-02-21,N,12.62,12.17,12.91,11.7,-7.29,12.2,-3.32,24,14.88,7.79,-38.27,7.87,-37.63
CCO,2012-05-04,N,7.39,7.3,7.3,6.47,-12.44,7.02,-5.0,14,7.32,6.45,-12.71,6.53,-11.63
CCO,2012-08-01,Y,4.96,4.51,4.99,4.48,-9.67,4.68,-5.44,16,5.53,4.48,11.49,4.93,-0.6
CCO,2012-11-02,N,6.85,6.75,6.83,6.31,-7.88,6.63,-3.21,14,6.88,6.31,-7.88,6.52,-4.81
CCO,2013-02-19,Y,7.6,7.85,7.85,7.44,3.28,7.55,-0.65,24,7.88,7.35,3.68,7.81,2.76
CCO,2013-05-02,Y,7.29,7.36,7.5,7.17,2.88,7.2,-1.23,15,8.44,7.15,15.77,8.18,12.2
CCO,2013-08-01,Y,7.49,7.44,7.51,7.4,-1.2,7.44,-0.66,15,7.74,7.14,-4.67,7.68,2.53
CCO,2013-11-07,N,9.03,9.05,9.26,8.57,-5.19,8.9,-1.54,8,9.38,8.5,-5.97,8.59,-4.97
CCO,2014-02-20,N,9.88,9.91,10.07,9.83,1.92,9.88,,1,10.07,9.73,1.92,9.75,-1.31
CCO,2014-04-24,N,8.67,8.64,8.86,7.9,-8.88,8.1,-6.57,22,8.86,7.88,-9.11,8.07,-6.92
CCO,2014-07-23,N,7.68,7.8,7.97,7.7,3.77,7.74,0.78,23,7.97,6.93,-9.76,7.07,-7.94
CCO,2014-10-28,N,6.7,6.74,6.96,6.74,3.88,6.9,2.98,25,7.99,6.74,19.25,7.91,18.05
CCO,2015-02-19,N,9.97,9.89,10.21,9.72,-2.5,10.13,1.6,1,10.25,9.57,-4.01,9.72,-2.5
CCO,2015-04-30,N,11.39,11.28,11.46,10.92,-4.12,11.38,-0.08,15,11.68,10.92,-4.12,11.31,-0.7
CCO,2015-07-30,N,9.32,9.51,9.71,9.21,4.18,9.66,3.64,22,9.75,7.98,-14.37,8.03,-13.73
CCO,2015-11-05,N,7.32,6.61,6.79,5.94,-18.85,6.01,-17.89,15,6.79,5.52,-24.59,5.53,-24.45
CCO,2016-02-25,N,3.45,3.58,3.88,3.11,12.46,3.5,1.44,22,4.72,3.11,36.81,4.71,36.52
CCO,2016-05-04,N,5.2,5.95,6.03,5.31,15.96,5.62,8.07,16,6.49,5.31,24.8,6.12,17.69
CCO,2016-08-04,N,7.09,6.71,6.96,6.52,-8.03,6.8,-4.09,15,7.01,6.27,-11.56,6.42,-9.44
CCO,2017-02-23,N,5.3,5.35,5.35,5.25,0.94,5.25,-0.94,22,6.15,4.45,16.03,5.6,5.66
CCO,2017-05-04,N,5.1,5.0,5.15,4.95,-2.94,5.0,-1.96,16,5.15,3.75,-26.47,3.8,-25.49
CCO,2017-08-03,N,5.05,5.0,5.08,4.5,-10.89,4.59,-8.91,16,5.75,3.85,-23.76,4.05,-19.8
CCO,2017-11-08,N,3.95,3.75,4.0,3.75,-5.06,3.85,-2.53,10,4.25,3.75,7.59,4.2,6.32
CCO,2018-04-09,N,4.95,4.95,4.95,4.75,-4.04,4.85,-2.02,14,5.0,4.75,-4.04,4.95,0.0
CCO,2018-05-22,N,4.65,4.45,4.55,4.25,-8.6,4.5,-3.22,25,4.8,4.25,-8.6,4.7,1.07
CCO,2018-07-31,N,4.3,4.3,4.6,4.3,6.97,4.45,3.48,18,4.75,4.3,10.46,4.65,8.13
CCO,2018-11-08,N,5.97,6.05,6.25,5.98,4.69,6.2,3.85,9,6.25,5.14,-13.9,5.29,-11.39
CCO,2019-03-05,Y,5.47,5.55,5.55,5.0,-8.59,5.02,-8.22,10,5.63,5.0,-8.59,5.27,-3.65
