Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CD,2020-11-18,Y,16.34,15.6,16.88,15.49,-5.2,16.54,1.22,2,16.88,15.25,-6.67,15.45,-5.44
CD,2021-03-24,Y,15.89,16.0,16.66,14.6,-8.11,16.53,4.02,23,17.48,14.25,-10.32,14.62,-7.99
CD,2021-05-20,N,14.27,14.16,15.21,14.11,6.58,15.07,5.6,2,15.61,14.11,9.39,14.76,3.43
CD,2021-08-26,N,11.36,11.5,11.79,10.99,3.78,11.11,-2.2,23,13.37,10.01,17.69,10.54,-7.21
CD,2021-11-24,N,9.5,9.7,9.83,8.93,-6.0,9.7,2.1,24,10.23,5.4,-43.15,6.69,-29.57
CD,2022-03-10,N,6.35,5.91,6.17,5.47,-13.85,5.69,-10.39,9,7.75,3.75,-40.94,7.36,15.9
CD,2022-05-26,N,6.2,6.6,7.16,6.3,15.48,7.12,14.83,23,7.69,6.3,24.03,7.29,17.58
CD,2022-08-25,N,8.01,8.11,8.27,7.16,-10.61,8.18,2.12,23,9.08,7.16,13.35,8.49,5.99
CD,2022-11-22,N,6.6,6.72,6.8,5.63,-14.69,6.35,-3.78,25,8.07,5.63,22.27,7.56,14.54
CD,2023-03-15,N,6.51,6.5,6.59,6.09,-6.45,6.33,-2.76,3,6.59,6.09,-6.45,6.26,-3.84
