Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CERE,2012-04-12,Y,17.0,16.88,16.88,14.68,-13.64,15.13,-10.99,8,16.88,14.07,-17.23,14.76,-13.17
CERE,2012-07-12,Y,9.4,9.47,10.41,8.77,10.74,8.99,-4.36,8,10.41,8.43,10.74,8.83,-6.06
CERE,2012-11-20,Y,4.08,4.24,4.26,3.64,-10.78,3.67,-10.04,31,4.34,3.43,-15.93,4.23,3.67
CERE,2013-01-10,Y,4.72,4.75,4.84,4.59,-2.75,4.76,1.05,8,4.93,4.33,-8.26,4.42,-6.35
CERE,2013-04-11,Y,3.21,3.45,3.45,2.96,-7.78,3.03,-5.6,8,3.45,2.44,-23.98,2.6,-19.0
CERE,2013-07-11,Y,3.25,2.38,2.7,2.24,-31.07,2.34,-28.0,8,2.7,2.02,-37.84,2.14,-34.15
CERE,2013-11-21,Y,1.77,1.76,1.76,1.6,-9.6,1.67,-5.64,29,1.76,1.45,-18.07,1.56,-11.29
CERE,2014-01-09,Y,1.73,1.54,1.54,1.45,-16.18,1.47,-15.02,8,1.64,1.4,-19.07,1.56,-9.82
CERE,2014-04-10,Y,0.73,0.74,0.75,0.65,-10.95,0.67,-8.21,11,0.75,0.6,-17.8,0.64,-12.32
CERE,2014-11-20,Y,2.24,2.31,2.31,2.0,-10.71,2.17,-3.12,2,2.31,1.92,-14.28,2.18,-2.67
CERE,2015-01-13,Y,2.24,2.31,2.31,1.71,-23.66,1.84,-17.85,4,2.31,1.6,-28.57,1.68,-25.0
CERE,2015-04-09,Y,2.5,2.48,2.5,1.81,-27.88,2.1,-16.33,8,2.5,1.81,-27.88,1.9,-24.3
CERE,2015-07-10,Y,1.81,1.84,1.94,1.81,7.18,1.89,4.41,7,2.09,1.81,15.46,1.98,9.39
CERE,2015-11-23,Y,1.18,0.98,1.05,0.92,-22.03,0.98,-16.94,25,1.05,0.32,-72.88,0.35,-70.33
CERE,2016-01-14,Y,0.28,0.3,0.3,0.25,-10.71,0.27,-3.57,1,0.3,0.25,-10.71,0.27,-3.57
CERE,2021-05-17,N,13.6,13.5,13.97,12.63,-7.13,13.47,-0.95,7,14.63,12.63,7.57,13.92,2.35
CERE,2021-08-11,N,25.56,25.55,25.62,24.34,-4.77,25.0,-2.19,10,27.0,22.32,-12.67,23.69,-7.31
CERE,2021-11-10,N,43.42,41.17,43.4,38.01,-12.45,38.67,-10.93,10,43.4,35.76,-17.64,36.34,-16.3
CERE,2022-03-01,N,26.47,26.14,29.79,26.07,12.54,28.37,7.17,18,36.35,26.07,37.32,32.67,23.42
CERE,2022-05-10,N,22.18,23.3,24.23,22.02,9.24,22.68,2.25,11,26.44,19.86,19.2,24.94,12.44
CERE,2022-08-01,N,26.29,25.9,29.69,25.5,12.93,27.66,5.21,21,41.46,25.5,57.7,32.7,24.38
CERE,2022-11-08,N,27.11,27.51,28.09,24.41,-9.95,25.7,-5.2,11,30.32,24.41,11.84,28.8,6.23
CERE,2023-02-22,N,31.0,31.83,32.41,25.98,-16.19,26.73,-13.77,24,32.41,22.63,-27.0,23.39,-24.54
