Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
CHKP,2002-01-15,N,44.42,40.07,40.7,30.7,-30.88,38.68,-12.92,3,40.7,30.7,-30.88,35.7,-19.63
CHKP,2002-04-23,Y,18.2,19.61,19.64,17.78,7.91,18.25,0.27,24,20.68,15.73,13.62,20.21,11.04
CHKP,2002-07-22,Y,14.93,15.1,15.5,14.12,-5.42,14.22,-4.75,25,18.29,13.5,22.5,18.0,20.56
CHKP,2002-10-17,Y,16.73,13.65,14.0,13.03,-22.11,13.28,-20.62,1,14.0,13.03,-22.11,13.28,-20.62
CHKP,2003-01-22,Y,14.26,15.7,15.79,15.22,10.72,15.45,8.34,30,15.79,13.55,10.72,15.22,6.73
CHKP,2003-04-15,N,15.1,15.15,15.76,14.96,4.37,15.54,2.91,3,15.87,14.96,5.09,15.8,4.63
CHKP,2003-05-07,Y,17.48,17.22,17.76,17.05,-2.45,17.48,,9,18.6,16.72,6.4,17.03,-2.57
CHKP,2003-07-21,N,19.8,18.39,18.48,16.64,-15.95,17.13,-13.48,25,18.48,15.73,-20.55,15.89,-19.74
CHKP,2003-08-22,Y,16.75,16.93,16.93,16.51,-1.43,16.85,0.59,28,20.57,16.12,22.8,18.36,9.61
CHKP,2003-10-20,N,17.39,17.57,17.87,16.94,2.7,17.57,1.03,32,18.54,16.01,-7.98,16.68,-4.13
CHKP,2003-11-06,Y,17.97,18.48,18.54,17.71,3.17,17.75,-1.22,15,18.54,16.3,-9.29,16.68,-7.17
CHKP,2004-01-22,N,21.15,20.94,21.52,20.13,-4.82,21.07,-0.37,29,24.12,19.62,14.04,22.95,8.51
CHKP,2004-04-20,N,21.94,22.48,24.57,22.35,11.98,23.68,7.93,31,25.68,22.1,17.04,23.0,4.83
CHKP,2004-04-29,Y,24.75,24.77,24.8,23.13,-6.54,23.51,-5.01,22,24.8,22.1,-10.7,23.0,-7.07
CHKP,2004-07-26,N,20.74,18.55,19.14,17.7,-14.65,18.48,-10.84,25,20.01,16.46,-20.63,18.23,-12.05
CHKP,2004-10-18,N,17.92,19.89,21.22,19.8,18.41,21.1,17.74,32,24.75,19.8,38.11,24.05,34.2
CHKP,2005-01-18,Y,22.97,24.0,24.73,23.87,7.66,23.96,4.3,3,24.73,23.77,7.66,24.23,5.48
CHKP,2005-04-18,N,21.8,20.87,21.72,20.11,-7.75,21.37,-1.97,32,23.01,20.11,-7.75,22.86,4.86
CHKP,2005-07-19,N,21.62,22.78,23.95,22.76,10.77,23.04,6.56,31,23.95,21.75,10.77,22.55,4.3
CHKP,2005-10-27,N,22.0,21.94,22.1,21.5,-2.27,21.5,-2.27,22,22.75,21.45,3.4,22.42,1.9
CHKP,2005-10-28,N,21.5,21.6,22.4,21.5,4.18,22.17,3.11,21,22.75,21.45,5.81,22.42,4.27
CHKP,2006-01-30,N,22.44,22.0,22.13,21.31,-5.03,21.51,-4.14,18,22.13,20.64,-8.02,20.92,-6.77
CHKP,2006-04-24,N,19.19,18.91,19.85,18.78,3.43,19.3,0.57,25,20.5,18.16,6.82,18.55,-3.28
CHKP,2006-04-27,Y,19.37,19.36,19.57,19.25,1.03,19.37,,22,20.5,18.16,-6.24,18.55,-4.18
CHKP,2006-07-18,Y,17.3,16.94,17.28,16.55,-4.33,16.89,-2.36,3,17.28,16.27,-5.95,16.54,-4.39
CHKP,2006-08-17,Y,17.96,17.98,18.14,17.85,1.0,18.02,0.33,1,18.14,17.85,1.0,18.02,0.33
CHKP,2006-10-19,N,20.0,20.55,21.5,20.23,7.5,20.63,3.14,1,21.5,20.23,7.5,20.79,3.94
CHKP,2006-10-26,Y,21.17,21.05,21.2,20.63,-2.55,20.67,-2.36,22,22.5,20.34,6.28,22.27,5.19
CHKP,2007-01-24,N,23.19,22.95,24.29,22.89,4.74,24.08,3.83,23,25.03,22.89,7.93,24.31,4.82
CHKP,2007-04-26,N,22.95,23.65,24.9,23.64,8.49,24.16,5.27,22,24.9,23.41,8.49,23.77,3.57
CHKP,2007-07-24,N,23.7,24.4,25.99,24.4,9.66,25.36,7.0,24,25.99,21.78,9.66,22.62,-4.55
CHKP,2007-10-22,N,25.98,26.6,26.79,25.55,3.11,25.9,-0.3,25,26.79,21.4,-17.62,21.69,-16.51
CHKP,2008-01-23,N,20.91,20.71,21.22,20.01,-4.3,21.2,1.38,23,22.5,20.01,7.6,21.86,4.54
CHKP,2008-04-17,N,22.28,23.15,23.19,22.14,4.08,22.89,2.73,1,24.11,22.14,8.21,23.92,7.36
CHKP,2008-07-22,N,23.45,23.5,23.92,23.28,2.0,23.62,0.72,24,25.4,22.0,8.31,25.06,6.86
CHKP,2008-10-28,N,17.51,18.38,19.28,17.87,10.1,19.25,9.93,24,20.89,17.87,19.3,19.64,12.22
CHKP,2009-01-27,N,21.04,21.99,23.35,21.8,10.97,22.84,8.55,24,23.55,21.6,11.92,21.9,4.08
CHKP,2009-04-27,N,25.18,24.12,24.38,23.26,-7.62,23.59,-6.31,18,24.38,21.78,-13.5,22.31,-11.39
CHKP,2009-07-28,N,24.84,26.18,26.68,25.82,7.4,26.09,5.03,24,28.73,25.64,15.66,28.25,13.72
CHKP,2009-10-22,N,30.1,30.75,31.96,30.75,6.17,31.61,5.01,29,33.24,30.5,10.43,32.47,7.9
CHKP,2010-01-28,N,33.17,34.17,34.75,33.51,4.76,33.54,1.14,22,34.75,31.41,-5.3,33.1,-0.21
CHKP,2010-04-26,N,36.02,36.35,36.4,34.56,-4.05,35.53,-1.36,25,36.4,28.96,-19.6,31.12,-13.6
CHKP,2010-07-21,N,33.24,33.39,33.74,32.65,-1.77,32.96,-0.84,30,35.47,32.65,6.7,34.72,4.45
